Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,73.0,73.98,72.65,73.85,73.85,3561900
2019-04-02,73.86,74.18,73.41,73.57,73.57,3069100
2019-04-03,73.9,74.85,73.82,74.18,74.18,3485100
2019-04-04,74.3,74.4,73.32,73.79,73.79,2221800
2019-04-05,73.85,74.42,73.13,74.2,74.2,2572800
2019-04-08,74.26,74.45,73.56,74.41,74.41,2429000
2019-04-09,73.92,74.52,73.72,74.37,74.37,2036000
2019-04-10,74.45,74.77,74.31,74.6,74.6,1554200
2019-04-11,74.67,74.78,74.07,74.19,74.19,2018600
2019-04-12,74.41,74.5,73.55,74.29,74.29,2499800
2019-04-15,74.44,74.58,73.76,74.32,74.32,1690400
2019-04-16,73.0,73.17,71.58,71.9,71.9,4399500
2019-04-17,72.17,72.43,71.75,72.15,72.15,3025400
2019-04-18,72.27,72.27,70.56,71.34,71.34,5469600
2019-04-22,70.95,71.54,70.37,71.48,71.48,2046200
2019-04-23,71.77,73.05,71.55,72.85,72.85,6282900
2019-04-24,72.98,73.5,72.09,72.67,72.67,3045800
2019-04-25,72.72,73.11,72.3,72.93,72.93,2439400
