Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,125.66,126.78,121.65,122.79,100.44,103880000.0
2014-05-15,,,,,,
2014-06-01,122.93,133.57,121.72,130.55,107.7,132581600.0
2014-07-01,130.94,135.1,128.03,129.24,106.62,101737500.0
2014-08-01,127.76,129.53,124.58,129.45,106.79,91354100.0
2014-08-15,,,,,,
2014-09-01,129.2,129.38,118.66,119.32,99.27,130169500.0
2014-10-01,118.8,120.17,106.65,119.95,99.79,197236600.0
2014-11-01,119.83,119.97,108.43,108.87,90.58,130610800.0
2014-11-14,,,,,,
2014-12-01,109.38,114.82,100.15,112.18,94.2,221038700.0
2015-01-01,111.63,113.0,98.88,102.53,86.09,208880600.0
2015-02-01,103.98,112.93,102.97,106.68,89.58,147984500.0
2015-02-12,,,,,,
2015-03-01,106.32,107.69,100.66,104.98,89.02,170072300.0
2015-04-01,105.77,112.2,104.08,111.06,94.17,129543400.0
2015-05-01,110.28,110.8,102.38,103.0,87.34,132823700.0
2015-05-15,,,,,,
2015-06-01,103.47,103.75,96.22,96.47,82.61,158712800.0
2015-07-01,96.3,96.67,88.01,88.48,75.77,184572400.0
2015-08-01,87.28,87.33,69.58,80.99,69.36,287788200.0
2015-08-17,,,,,,
2015-09-01,78.76,80.47,74.31,78.88,68.4,245490400.0
2015-10-01,79.72,91.98,77.31,90.88,78.81,224431300.0
2015-11-01,90.61,98.64,87.79,91.32,79.19,176633800.0
2015-11-16,,,,,,
2015-12-01,90.97,94.0,84.25,89.96,78.96,260998300.0
2016-01-01,89.53,90.11,75.33,86.47,75.9,279793800.0
2016-02-01,85.15,89.84,79.85,83.44,73.24,234480300.0
2016-02-16,,,,,,
2016-03-01,84.12,97.91,83.37,95.4,84.8,214464600.0
2016-04-01,93.69,104.26,92.43,102.18,90.83,155565300.0
2016-05-01,101.83,103.85,98.52,101.0,89.78,130720600.0
2016-05-17,,,,,,
2016-06-01,100.24,105.0,98.77,104.83,94.17,152070500.0
2016-07-01,104.78,107.58,99.85,102.48,92.06,134146800.0
2016-08-01,101.33,103.6,97.91,100.58,90.35,132555300.0
2016-08-17,,,,,,
2016-09-01,100.35,104.35,97.53,102.92,93.43,151233400.0
2016-10-01,102.55,105.46,99.61,104.75,95.09,138580100.0
2016-11-01,105.51,112.98,104.25,111.56,101.27,169909000.0
2016-11-16,,,,,,
2016-12-01,112.79,119.0,112.21,117.7,107.91,133381600.0
2017-01-01,118.38,119.0,110.72,111.35,102.09,123814900.0
2017-02-01,111.2,114.28,109.27,112.5,103.14,123278600.0
2017-02-14,,,,,,
2017-03-01,112.92,114.39,105.82,107.37,99.38,164742200.0
2017-04-01,107.22,110.67,103.83,106.7,98.76,101472000.0
2017-05-01,106.26,107.71,103.07,103.48,95.78,118545200.0
2017-05-17,,,,,,
2017-06-01,103.69,108.49,102.55,104.33,97.55,126588800.0
2017-07-01,104.24,110.0,102.55,109.19,102.1,105290000.0
2017-08-01,109.54,111.44,105.3,107.62,100.63,109259400.0
2017-08-16,,,,,,
2017-09-01,107.68,118.33,107.51,117.5,110.97,109354600.0
2017-10-01,116.42,120.89,112.57,115.89,109.45,113304800.0
2017-11-01,116.3,119.15,113.9,118.99,112.38,101118500.0
2017-11-16,,,,,,
2017-12-01,119.81,126.2,118.52,125.19,119.34,105261400.0
2018-01-01,125.71,133.88,124.05,125.35,119.49,130262100.0
2018-02-01,125.6,125.63,108.02,111.92,106.69,170301700.0
2018-02-15,,,,,,
2018-03-01,111.53,118.35,109.83,114.04,109.79,144392700.0
2018-04-01,113.89,127.9,110.54,125.11,120.45,143076700.0
2018-05-01,124.03,131.08,120.06,124.3,119.67,147685300.0
2018-05-17,,,,,,
2018-06-01,125.49,128.38,121.55,126.43,122.78,136009000.0
2018-07-01,125.28,128.55,119.67,126.27,122.63,105554900.0
2018-08-01,125.31,125.92,117.09,118.46,115.04,113550700.0
2018-08-16,,,,,,
2018-09-01,118.93,124.24,113.39,122.28,119.89,112659000.0
2018-10-01,123.11,127.6,107.54,111.65,109.47,152330900.0
2018-11-01,111.77,121.87,110.1,118.94,116.62,151564000.0
2018-11-15,,,,,,
2018-12-01,120.77,122.43,100.22,108.79,107.71,169674800.0
2019-01-01,107.34,115.41,107.1,114.65,113.51,139022100.0
2019-02-01,116.65,121.29,115.92,119.58,118.39,113779300.0
2019-02-14,,,,,,
2019-03-01,120.39,126.92,119.2,123.18,123.18,126228100.0
2019-04-01,123.87,127.34,115.65,117.1,117.1,190426500.0
2019-04-26,118.4,118.5,115.65,117.1,117.1,11588890.0
