Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,76.57,76.84,75.77,76.69,76.69,3488800
2019-04-02,76.8,77.0,76.03,76.97,76.97,3934700
2019-04-03,76.85,77.27,76.24,76.96,76.96,3358700
2019-04-04,77.1,77.12,76.29,76.9,76.9,2701600
2019-04-05,76.91,77.5,76.44,77.47,77.47,4478300
2019-04-08,77.27,77.3,76.4,76.67,76.67,3525700
2019-04-09,76.6,76.83,76.01,76.39,76.39,3272300
2019-04-10,76.5,76.88,75.54,75.83,75.83,4466000
2019-04-11,75.88,76.31,75.69,76.3,76.3,2169900
2019-04-12,76.15,76.5,75.62,76.44,76.44,2063000
2019-04-15,76.55,76.92,76.18,76.67,76.67,3362600
2019-04-16,76.48,76.99,75.03,75.12,75.12,3079300
2019-04-17,75.22,75.69,74.67,75.27,75.27,3023000
2019-04-18,75.27,75.67,74.89,74.92,74.92,3307700
2019-04-22,74.82,75.06,74.41,74.7,74.7,2351400
2019-04-23,74.75,75.59,74.6,75.45,75.45,2922900
2019-04-24,75.54,76.38,75.38,76.29,76.29,2836500
2019-04-25,75.95,76.83,75.75,76.55,76.55,2215800
