Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,37.0,40.69,36.56,39.91,36.67,188943700.0
2014-05-07,,,,,,
2014-06-01,40.14,42.66,38.04,38.72,35.63,283535800.0
2014-07-01,39.0,40.41,34.77,37.46,34.47,317442000.0
2014-08-01,37.38,40.77,34.59,39.58,36.42,193088500.0
2014-08-06,,,,,,
2014-09-01,39.8,40.97,35.18,36.15,33.35,232775300.0
2014-10-01,35.35,40.4,30.12,40.23,37.11,500833200.0
2014-11-01,40.28,47.19,40.23,46.67,43.06,222572900.0
2014-11-05,,,,,,
2014-12-01,46.55,50.16,43.9,49.19,45.48,274515000.0
2015-01-01,49.92,51.06,44.47,47.31,43.74,236896400.0
2015-02-01,47.1,48.27,43.35,44.52,41.16,254631700.0
2015-02-18,,,,,,
2015-03-01,44.52,47.63,42.6,44.96,41.65,248871900.0
2015-04-01,43.67,47.38,41.02,44.64,41.35,248084000.0
2015-05-01,44.81,47.98,41.72,42.92,39.76,265712900.0
2015-05-06,,,,,,
2015-06-01,43.21,44.79,38.97,41.08,38.13,254145400.0
2015-07-01,41.75,46.64,38.81,44.34,41.16,241314400.0
2015-08-01,44.68,48.3,34.61,43.78,40.64,206040700.0
2015-08-05,,,,,,
2015-09-01,43.95,48.18,43.3,44.87,41.77,184890100.0
2015-10-01,44.71,51.66,43.35,50.84,47.33,212267700.0
2015-11-01,50.9,52.0,46.37,46.46,43.25,161257000.0
2015-11-04,,,,,,
2015-12-01,46.81,52.77,46.58,50.69,47.32,196292900.0
2016-01-01,49.42,49.75,42.42,44.29,41.34,237486000.0
2016-02-01,44.73,49.45,40.03,48.24,45.03,206644700.0
2016-02-12,,,,,,
2016-03-01,48.73,50.5,46.01,48.68,45.59,179705700.0
2016-04-01,47.5,49.8,41.22,41.67,39.02,220490900.0
2016-05-01,42.11,44.66,40.64,43.46,40.7,212697600.0
2016-05-09,,,,,,
2016-06-01,43.46,43.71,32.6,36.43,34.22,286089800.0
2016-07-01,36.41,41.35,34.08,38.75,36.4,235523500.0
2016-08-01,38.92,39.51,35.84,36.75,34.52,220452800.0
2016-08-10,,,,,,
2016-09-01,37.0,40.23,36.32,39.36,37.18,199247600.0
2016-10-01,39.25,42.41,37.91,41.77,39.46,238764900.0
2016-11-01,41.84,49.41,41.55,48.18,45.51,205114400.0
2016-11-08,,,,,,
2016-12-01,47.96,52.76,47.59,49.19,46.68,153531300.0
2017-01-01,49.37,52.0,46.57,47.24,44.83,165050200.0
2017-02-01,47.48,51.96,46.48,49.93,47.38,133359500.0
2017-02-22,,,,,,
2017-03-01,50.41,51.87,44.47,45.96,43.79,215936500.0
2017-04-01,45.96,47.55,43.81,45.44,43.29,173832100.0
2017-05-01,45.59,50.95,45.4,49.13,46.81,163479400.0
2017-05-17,,,,,,
2017-06-01,49.32,54.53,49.3,53.74,51.41,175748300.0
2017-07-01,54.26,55.75,49.26,49.36,47.22,161568200.0
2017-08-01,49.78,51.55,45.0,47.19,45.14,165093200.0
2017-08-21,,,,,,
2017-09-01,47.42,49.28,44.59,48.22,46.43,164672300.0
2017-10-01,48.35,54.06,47.9,50.03,48.17,161469100.0
2017-11-01,50.19,53.5,48.33,52.92,50.95,120837200.0
2017-11-16,,,,,,
2017-12-01,52.55,56.84,51.76,56.0,54.25,137221700.0
2018-01-01,56.29,60.79,53.88,56.77,55.0,217504200.0
2018-02-01,56.51,57.18,48.52,53.9,52.22,156682300.0
2018-02-22,,,,,,
2018-03-01,53.87,57.31,51.81,54.81,53.41,136801500.0
2018-04-01,54.59,56.02,50.95,52.22,50.88,166861300.0
2018-05-01,52.27,56.12,51.09,54.05,52.67,138662400.0
2018-05-10,,,,,,
2018-06-01,54.42,55.84,49.05,49.54,48.56,133617700.0
2018-07-01,49.25,55.05,48.52,54.42,53.34,150839400.0
2018-07-25,,,,,,
2018-08-01,54.79,58.87,52.94,58.48,57.71,96064700.0
2018-09-01,58.5,60.23,55.69,57.83,57.07,100806000.0
2018-10-01,57.99,58.14,49.68,54.73,54.01,186771600.0
2018-11-01,54.93,61.32,54.75,60.71,59.91,131488300.0
2018-11-06,,,,,,
2018-12-01,61.0,61.07,47.9,49.9,49.55,145415900.0
2019-01-01,49.25,50.45,45.08,49.43,49.09,199931800.0
2019-02-01,49.63,52.22,49.54,49.58,49.24,128870700.0
2019-02-28,,,,,,
2019-03-01,49.37,52.08,48.22,51.65,51.65,166809100.0
2019-04-01,51.82,58.99,51.52,57.11,57.11,141259900.0
2019-04-26,56.56,57.47,56.48,57.11,57.11,3549400.0
