Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,51.82,52.33,51.52,52.18,52.18,8501400
2019-04-02,54.53,55.94,53.92,55.33,55.33,15920700
2019-04-03,55.96,57.57,55.81,57.0,57.0,13299500
2019-04-04,57.46,57.67,56.37,57.22,57.22,8998000
2019-04-05,57.44,58.2,57.33,57.73,57.73,6918300
2019-04-08,57.5,57.9,56.91,57.71,57.71,7921600
2019-04-09,57.2,57.44,56.78,56.95,56.95,9581600
2019-04-10,58.97,58.97,56.77,57.86,57.86,14398200
2019-04-11,57.95,58.84,57.82,58.39,58.39,8452400
2019-04-12,58.83,58.84,57.55,58.05,58.05,7693900
2019-04-15,58.0,58.49,57.37,57.45,57.45,5327000
2019-04-16,57.66,58.12,57.65,58.11,58.11,3970200
2019-04-17,58.85,58.99,58.09,58.43,58.43,4987600
2019-04-18,58.5,58.58,58.02,58.17,58.17,4108100
2019-04-22,57.79,57.97,57.28,57.75,57.75,4043900
2019-04-23,57.66,58.41,57.66,58.24,58.24,4593000
2019-04-24,58.24,58.53,57.8,57.85,57.85,3275200
2019-04-25,57.84,58.48,56.38,56.71,56.71,5557400
