Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,161.64,163.08,160.68,161.91,161.91,1371400
2019-04-02,161.9,162.71,160.83,162.12,162.12,1184300
2019-04-03,163.04,164.06,162.17,163.39,163.39,1356100
2019-04-04,163.47,164.78,163.34,164.24,164.24,1197200
2019-04-05,164.84,165.45,164.21,165.03,165.03,1294600
2019-04-08,163.98,165.04,163.19,165.0,165.0,1133300
2019-04-09,162.18,162.41,158.46,158.83,158.83,2451000
2019-04-10,159.0,159.64,155.76,158.63,158.63,2746800
2019-04-11,158.64,160.3,157.9,160.16,160.16,1162200
2019-04-12,161.69,162.32,159.9,161.46,161.46,1220200
2019-04-15,161.83,162.59,161.38,162.49,162.49,1062500
2019-04-16,162.49,165.24,162.37,164.56,164.56,1310200
2019-04-17,164.86,165.79,163.85,165.45,165.45,1350700
2019-04-18,165.99,169.99,165.72,169.05,169.05,2215500
2019-04-22,168.24,169.96,167.9,169.15,169.15,1376600
2019-04-23,168.73,169.3,167.48,167.76,167.76,1891200
2019-04-24,167.3,167.72,165.26,165.31,165.31,1463400
2019-04-25,164.0,164.53,161.24,161.81,161.81,1256600
