Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,55.76,59.24,55.32,59.13,53.35,42966100.0
2014-05-06,,,,,,
2014-06-01,59.13,62.62,59.06,61.98,56.16,45905700.0
2014-07-01,62.36,64.44,61.04,61.06,55.33,53803400.0
2014-08-01,60.79,63.16,59.0,62.37,56.52,41665800.0
2014-08-05,,,,,,
2014-08-07,,,,,,
2014-09-01,62.84,65.98,62.21,64.39,58.82,44858500.0
2014-10-01,64.26,65.53,60.41,63.78,58.26,65628700.0
2014-11-01,63.95,66.75,63.44,65.55,59.88,44287600.0
2014-11-04,,,,,,
2014-12-01,65.54,66.72,60.15,65.49,60.05,59654900.0
2015-01-01,65.93,66.02,54.02,54.38,49.86,104397400.0
2015-02-01,54.41,61.5,54.09,60.98,55.91,86541300.0
2015-02-03,,,,,,
2015-03-01,60.98,61.23,56.04,56.35,51.89,78007300.0
2015-04-01,56.19,59.9,56.17,57.97,53.38,78050500.0
2015-05-01,58.21,60.57,57.7,58.27,53.66,52344600.0
2015-05-05,,,,,,
2015-06-01,58.34,59.55,57.31,57.62,53.31,64395900.0
2015-07-01,58.26,59.88,55.0,55.81,51.64,72587500.0
2015-08-01,55.78,56.84,50.92,53.73,49.71,88732700.0
2015-08-04,,,,,,
2015-09-01,52.21,54.24,50.36,51.99,48.35,66841600.0
2015-10-01,51.73,57.49,50.2,56.22,52.28,75490000.0
2015-11-01,56.2,58.08,55.38,56.76,52.79,53233400.0
2015-11-03,,,,,,
2015-12-01,57.06,57.4,51.94,53.62,50.11,72092100.0
2016-01-01,52.53,53.09,44.67,45.79,42.8,94684400.0
2016-02-01,45.79,47.77,42.86,46.42,43.39,80046300.0
2016-02-02,,,,,,
2016-03-01,46.69,51.13,46.37,50.92,47.88,65228400.0
2016-04-01,50.58,58.1,49.98,56.27,52.91,77157500.0
2016-05-01,56.51,57.1,53.55,56.81,53.42,56820800.0
2016-05-03,,,,,,
2016-06-01,56.81,57.77,50.32,53.59,50.64,74409800.0
2016-07-01,53.54,57.68,51.67,56.84,53.72,55126900.0
2016-08-01,56.82,60.05,55.28,60.0,56.7,50044700.0
2016-08-02,,,,,,
2016-09-01,60.03,60.29,55.64,56.55,53.73,61701000.0
2016-10-01,56.36,57.35,53.91,56.33,53.52,55955200.0
2016-11-01,56.46,68.88,55.41,67.77,64.39,62642500.0
2016-11-01,,,,,,
2016-12-01,68.0,73.62,66.88,72.82,69.56,58695100.0
2017-01-01,72.9,74.33,68.27,69.28,66.17,56298400.0
2017-02-01,69.7,72.31,67.73,71.14,67.95,39661400.0
2017-02-07,,,,,,
2017-03-01,72.23,72.91,65.54,68.39,65.61,45030900.0
2017-04-01,68.47,68.54,62.27,62.59,60.04,56355900.0
2017-05-01,62.35,62.63,57.82,58.7,56.31,90058300.0
2017-05-09,,,,,,
2017-06-01,58.88,63.28,58.24,62.19,59.96,64978600.0
2017-07-01,62.42,64.0,59.92,60.94,58.75,58775900.0
2017-08-01,61.29,62.54,58.13,58.95,56.83,49568000.0
2017-08-22,,,,,,
2017-09-01,59.12,64.73,57.5,64.48,62.54,49279700.0
2017-10-01,64.51,67.41,63.53,66.53,64.52,55988900.0
2017-11-01,66.68,71.18,63.31,70.6,68.47,43458300.0
2017-11-21,,,,,,
2017-12-01,70.79,77.79,68.77,76.92,75.0,47401700.0
2018-01-01,77.24,81.93,76.38,79.8,77.81,48515300.0
2018-02-01,79.51,81.34,71.31,78.83,76.86,42767600.0
2018-02-21,,,,,,
2018-03-01,78.64,79.34,69.55,71.93,70.44,49921700.0
2018-04-01,71.41,74.39,68.56,71.25,69.78,43847400.0
2018-05-01,71.09,78.97,68.48,73.86,72.33,43840600.0
2018-05-23,,,,,,
2018-06-01,74.58,76.55,69.23,70.41,69.26,43252200.0
2018-07-01,69.9,74.18,69.58,71.41,70.25,44477400.0
2018-08-01,71.6,79.69,70.98,78.12,76.85,43606000.0
2018-08-22,,,,,,
2018-09-01,78.21,80.36,76.36,76.45,75.59,34143400.0
2018-10-01,77.26,78.76,66.83,69.67,68.88,48006300.0
2018-11-01,69.79,72.05,67.76,71.3,70.5,37715300.0
2018-11-20,,,,,,
2018-12-01,71.98,72.53,54.36,58.98,58.65,56038500.0
2019-01-01,57.92,68.0,57.79,67.49,67.11,56305600.0
2019-02-01,67.59,72.28,67.42,71.61,71.21,40623200.0
2019-02-20,,,,,,
2019-03-01,72.02,74.41,69.11,71.16,71.16,41439100.0
2019-04-01,71.73,81.54,71.73,81.19,81.19,27621400.0
2019-04-26,79.09,81.54,78.36,81.19,81.19,3190238.0
