Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,119.49,119.74,118.09,118.33,118.02,2244900
2019-04-02,118.23,118.33,116.76,117.89,117.58,1733500
2019-04-03,118.5,119.06,117.81,118.17,117.86,1136900
2019-04-04,118.0,120.38,117.58,120.16,119.85,1667400
2019-04-05,120.35,123.5,120.31,122.58,122.26,3098900
2019-04-08,122.24,122.71,121.25,122.3,122.3,2003700
2019-04-09,121.76,122.26,121.0,121.42,121.42,1204000
2019-04-10,121.76,122.65,121.38,121.81,121.81,2453300
2019-04-11,122.32,122.75,121.88,122.41,122.41,1379300
2019-04-12,122.65,123.15,122.16,122.38,122.38,931700
2019-04-15,122.4,124.15,122.4,123.85,123.85,1814400
2019-04-16,124.46,124.66,123.42,123.7,123.7,1743400
2019-04-17,124.15,124.83,123.95,124.3,124.3,1344200
2019-04-18,124.3,124.77,123.48,123.55,123.55,1837000
2019-04-22,123.2,124.03,122.99,123.56,123.56,1156600
2019-04-23,123.66,124.58,122.63,124.23,124.23,1587800
2019-04-24,124.62,126.48,124.22,126.04,126.04,1382800
2019-04-25,125.96,126.84,125.55,126.38,126.38,1286000
