Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,90.35,90.85,89.83,90.14,89.62,1094500
2019-04-02,91.5,91.53,89.71,90.92,90.39,1438200
2019-04-03,91.3,91.31,90.04,90.57,90.04,914100
2019-04-04,90.5,91.03,90.08,91.02,90.49,724300
2019-04-05,90.51,90.89,90.02,90.77,90.77,1298200
2019-04-08,90.58,90.84,89.6,90.48,90.48,744400
2019-04-09,90.09,90.53,89.74,89.95,89.95,607400
2019-04-10,90.0,90.59,89.46,90.37,90.37,794300
2019-04-11,90.74,90.74,89.45,89.72,89.72,1110400
2019-04-12,89.73,90.98,89.66,89.88,89.88,944600
2019-04-15,90.39,91.05,90.02,90.99,90.99,607900
2019-04-16,91.42,91.42,88.89,89.09,89.09,2157400
2019-04-17,89.2,89.4,84.67,85.7,85.7,1576800
2019-04-18,85.78,86.56,84.32,85.75,85.75,1486500
2019-04-22,85.45,86.58,84.94,85.18,85.18,1209500
2019-04-23,86.32,94.52,86.32,93.08,93.08,3584100
2019-04-24,93.41,95.54,93.18,94.76,94.76,2239200
2019-04-25,94.74,94.89,93.23,94.24,94.24,1295200
