Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,38.85,40.58,36.57,39.33,39.33,75812100.0
2014-06-01,39.36,41.61,36.61,37.96,37.96,74453500.0
2014-07-01,37.99,44.36,37.92,43.54,43.54,72840400.0
2014-08-01,43.43,44.99,40.65,43.72,43.72,52057700.0
2014-08-07,,,,,,
2014-09-01,43.9,44.29,37.3,37.8,37.8,84263600.0
2014-10-01,37.63,37.89,33.21,35.35,35.35,80356100.0
2014-11-01,35.35,35.73,31.29,34.9,34.9,95382900.0
2014-12-01,34.63,35.78,32.48,34.45,34.45,65427200.0
2015-01-01,34.63,34.64,28.75,28.99,28.99,86656100.0
2015-02-01,29.16,33.82,28.72,32.3,32.3,117827700.0
2015-03-01,32.38,34.05,30.6,30.76,30.76,84344900.0
2015-04-01,30.83,34.31,30.51,32.36,32.36,84867100.0
2015-05-01,32.58,34.08,30.55,33.94,33.94,89086700.0
2015-06-01,34.07,34.79,32.08,33.26,33.26,57755000.0
2015-07-01,33.44,34.94,30.9,33.02,33.02,64850900.0
2015-08-01,33.0,33.43,25.11,26.6,26.6,103588800.0
2015-09-01,26.03,28.85,25.27,26.03,26.03,80345900.0
2015-10-01,26.15,30.13,25.02,29.44,29.44,63064400.0
2015-11-01,29.53,31.8,28.25,31.14,31.14,68654500.0
2015-12-01,31.22,31.38,25.83,26.68,26.68,69630400.0
2016-01-01,26.13,28.03,24.7,27.59,27.59,52899800.0
2016-02-01,27.33,28.32,23.74,25.0,25.0,77167300.0
2016-03-01,25.26,29.75,25.06,28.63,28.63,67357800.0
2016-04-01,28.27,29.26,26.99,27.31,27.31,57139300.0
2016-05-01,27.37,29.37,26.05,27.85,27.85,85275500.0
2016-06-01,27.72,28.89,23.66,25.23,25.23,82856400.0
2016-07-01,25.29,25.83,24.44,25.09,25.09,58811800.0
2016-08-01,25.16,27.73,24.73,25.51,25.51,72813400.0
2016-09-01,25.52,27.25,23.96,26.92,26.92,80521400.0
2016-10-01,26.91,28.26,25.16,26.11,26.11,69631500.0
2016-11-01,25.84,28.46,24.75,27.09,27.09,76184000.0
2016-12-01,27.22,29.72,26.52,27.41,27.41,49136000.0
2017-01-01,27.66,28.98,26.12,28.35,28.35,62057300.0
2017-02-01,28.32,29.91,27.34,28.76,28.76,55936100.0
2017-03-01,29.01,29.18,27.15,29.09,29.09,60607700.0
2017-04-01,29.1,30.25,28.22,28.78,28.78,44647500.0
2017-05-01,28.94,29.0,24.88,26.5,26.5,86222100.0
2017-06-01,26.5,27.23,25.09,25.83,25.83,63234800.0
2017-07-01,26.03,27.92,24.19,24.6,24.6,100877100.0
2017-08-01,24.77,25.04,22.11,22.21,22.21,91016300.0
2017-09-01,22.27,22.49,20.14,21.29,21.29,73336200.0
2017-10-01,21.25,21.88,18.6,18.88,18.88,95306700.0
2017-11-01,18.94,19.32,15.99,19.02,19.02,139516800.0
2017-12-01,18.9,24.1,18.79,22.38,22.38,143794300.0
2018-01-01,22.96,26.5,21.13,25.07,25.07,111187800.0
2018-02-01,24.92,26.67,21.37,24.32,24.32,113408100.0
2018-03-01,24.49,24.85,20.98,21.43,21.43,125673900.0
2018-04-01,21.66,24.75,21.42,23.65,23.65,99297600.0
2018-05-01,23.88,24.8,20.6,21.09,21.09,135080100.0
2018-06-01,21.18,28.78,20.69,27.5,27.5,135903900.0
2018-07-01,27.48,28.51,25.73,26.58,26.58,63952900.0
2018-08-01,26.39,29.72,24.72,27.83,27.83,80931400.0
2018-09-01,27.6,32.65,26.04,32.0,32.0,80359700.0
2018-10-01,32.16,34.06,29.79,32.39,32.39,104003300.0
2018-11-01,32.41,34.89,29.12,30.72,30.72,84496900.0
2018-12-01,30.59,30.72,23.79,24.74,24.74,102920900.0
2019-01-01,24.37,28.43,24.11,28.38,28.38,78512200.0
2019-02-01,28.5,29.69,26.86,28.9,28.9,79102400.0
2019-03-01,29.05,29.63,26.08,27.02,27.02,82802300.0
2019-04-01,27.47,31.53,27.29,31.51,31.51,77200200.0
2019-04-26,30.4,31.53,30.38,31.51,31.51,4524555.0
