Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,35.24,38.58,33.19,37.47,37.47,45129200.0
2014-06-01,37.52,39.96,35.46,36.29,36.29,20941400.0
2014-07-01,36.4,42.66,36.4,42.05,42.05,16399600.0
2014-08-01,41.51,43.44,38.25,42.97,42.97,38017300.0
2014-08-07,,,,,,
2014-09-01,43.05,44.0,36.92,37.28,37.28,60071400.0
2014-10-01,37.25,37.37,32.85,34.99,34.99,53441100.0
2014-11-01,34.98,35.22,31.02,34.01,34.01,71881300.0
2014-12-01,33.87,35.06,31.6,33.72,33.72,40376100.0
2015-01-01,33.76,33.76,27.82,27.88,27.88,52443900.0
2015-02-01,28.06,31.99,27.66,30.51,30.51,73545400.0
2015-03-01,30.61,32.63,29.32,29.48,29.48,44563900.0
2015-04-01,29.5,32.66,29.32,30.23,30.23,45001200.0
2015-05-01,30.28,31.58,28.24,31.45,31.45,37047300.0
2015-06-01,31.5,32.32,29.98,31.08,31.08,34796400.0
2015-07-01,31.27,32.78,28.63,30.3,30.3,29526500.0
2015-08-01,30.24,30.57,24.08,25.36,25.36,74616000.0
2015-09-01,24.97,26.69,23.76,24.29,24.29,42371800.0
2015-10-01,24.35,28.2,23.42,27.52,27.52,27862900.0
2015-11-01,27.65,29.93,26.86,29.58,29.58,39400900.0
2015-12-01,29.59,29.9,24.76,25.22,25.22,46399500.0
2016-01-01,24.72,27.69,24.15,27.21,27.21,48092200.0
2016-02-01,26.96,27.91,23.33,24.65,24.65,40497900.0
2016-03-01,24.86,28.05,24.69,27.0,27.0,45290400.0
2016-04-01,26.74,28.24,26.47,26.78,26.78,40278100.0
2016-05-01,26.85,28.53,25.03,26.77,26.77,42867700.0
2016-06-01,26.67,27.57,22.43,23.85,23.85,38106300.0
2016-07-01,23.9,24.96,23.22,24.54,24.54,38072500.0
2016-08-01,24.6,26.61,24.16,24.82,24.82,37839800.0
2016-09-01,24.88,26.52,23.24,26.31,26.31,34391400.0
2016-10-01,26.21,27.26,24.48,25.11,25.11,28489400.0
2016-11-01,24.98,27.45,23.91,26.44,26.44,38759600.0
2016-12-01,26.45,28.91,25.9,26.78,26.78,29232800.0
2017-01-01,27.04,28.24,25.56,27.71,27.71,27527900.0
2017-02-01,27.71,29.07,26.62,28.07,28.07,21639400.0
2017-03-01,28.26,28.42,26.55,28.31,28.31,33455000.0
2017-04-01,28.37,29.18,27.67,27.98,27.98,28464200.0
2017-05-01,28.09,28.09,24.18,25.83,25.83,44521200.0
2017-06-01,25.92,26.35,24.32,25.21,25.21,42320700.0
2017-07-01,25.38,27.15,22.85,23.13,23.13,44409600.0
2017-08-01,23.25,23.84,20.82,21.01,21.01,67380400.0
2017-09-01,21.05,21.28,19.36,20.26,20.26,54449300.0
2017-10-01,20.32,20.72,17.56,17.81,17.81,66029500.0
2017-11-01,17.87,18.2,14.99,18.08,18.08,93870000.0
2017-12-01,18.06,22.81,17.77,21.17,21.17,104443800.0
2018-01-01,21.48,25.26,20.03,23.86,23.86,69196600.0
2018-02-01,23.69,25.27,20.29,22.98,22.98,80032400.0
2018-03-01,22.95,23.34,19.08,19.52,19.52,153413400.0
2018-04-01,19.63,22.95,19.36,22.22,22.22,93311300.0
2018-05-01,22.58,23.36,19.25,19.77,19.77,94103800.0
2018-06-01,19.82,26.64,19.48,25.5,25.5,89237400.0
2018-07-01,25.48,26.35,23.84,24.55,24.55,35931100.0
2018-08-01,24.42,27.48,22.87,25.64,25.64,37733400.0
2018-09-01,25.62,29.96,25.1,29.58,29.58,50687800.0
2018-10-01,29.67,31.39,27.05,29.31,29.31,67834600.0
2018-11-01,29.29,31.55,26.5,27.93,27.93,57039100.0
2018-12-01,28.0,28.11,21.99,23.08,23.08,82119300.0
2019-01-01,22.79,26.69,22.51,26.65,26.65,41913800.0
2019-02-01,26.67,27.89,25.35,27.25,27.25,34711600.0
2019-03-01,27.32,27.81,24.72,25.42,25.42,40438800.0
2019-04-01,25.92,29.51,25.76,29.49,29.49,44152200.0
2019-04-26,28.66,29.51,28.53,29.49,29.49,2030039.0
