Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,89.75,89.83,88.63,89.28,89.28,4555500
2019-04-02,89.6,89.6,88.65,89.13,89.13,3386400
2019-04-03,89.0,89.19,88.22,88.85,88.85,2998800
2019-04-04,89.03,89.53,87.93,89.35,89.35,4847600
2019-04-05,89.49,90.62,89.18,90.53,90.53,5433200
2019-04-08,90.5,90.62,89.65,90.11,90.11,3115500
2019-04-09,90.06,90.48,89.82,90.25,90.25,2475300
2019-04-10,90.49,91.08,89.7,89.94,89.94,3412300
2019-04-11,90.04,90.46,89.8,90.26,90.26,2424500
2019-04-12,89.7,90.47,89.21,90.45,90.45,3520900
2019-04-15,90.5,90.74,90.16,90.44,90.44,2808900
2019-04-16,90.14,90.65,88.86,89.09,89.09,3166400
2019-04-17,89.13,89.72,88.71,89.06,89.06,4518200
2019-04-18,89.32,89.65,88.94,89.14,89.14,2822400
2019-04-22,89.01,89.56,88.53,88.73,88.73,2615800
2019-04-23,88.82,89.31,88.29,89.01,89.01,2336800
2019-04-24,89.28,89.98,88.88,89.68,89.68,1942400
2019-04-25,89.42,90.66,89.27,90.45,90.45,2506600
