Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,31.92,32.08,31.28,31.54,31.54,5252100
2019-04-02,31.6,31.83,31.16,31.21,31.21,4385200
2019-04-03,31.38,31.45,30.49,30.71,30.71,4312600
2019-04-04,30.8,31.12,30.41,31.01,31.01,5131500
2019-04-05,31.16,32.21,31.14,32.2,32.2,7171400
2019-04-08,32.39,32.49,31.64,32.03,32.03,5413700
2019-04-09,31.84,31.93,30.97,31.06,31.06,4981600
2019-04-10,31.26,31.6,31.11,31.4,31.4,4927900
2019-04-11,31.19,31.75,30.84,31.18,31.18,3416500
2019-04-12,32.99,33.81,32.6,33.48,33.48,13576000
2019-04-15,33.23,33.5,32.54,32.57,32.57,6383500
2019-04-16,32.75,32.93,32.17,32.83,32.83,5129200
2019-04-17,33.1,33.39,32.93,33.21,33.21,5092000
2019-04-18,33.27,33.82,33.14,33.55,33.55,7864600
2019-04-22,34.1,35.22,33.5,35.16,35.16,10513100
2019-04-23,35.27,35.39,34.44,34.6,34.6,6277600
2019-04-24,34.89,35.17,34.33,34.49,34.49,7331900
2019-04-25,34.32,34.49,33.51,33.54,33.54,6210000
