Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,29.37,32.15,28.58,31.24,19.85,48874800.0
2014-06-01,31.19,31.96,30.75,31.4,19.95,37908600.0
2014-06-10,,,,,,
2014-07-01,31.55,32.55,0.03,0.06,0.04,37930400.0
2014-08-01,30.85,31.31,28.29,29.7,19.01,43118100.0
2014-08-29,,,,,,
2014-09-01,29.7,30.8,23.68,25.77,16.62,115126200.0
2014-10-01,30.33,30.77,26.94,30.01,19.36,60697600.0
2014-11-01,30.03,31.74,28.1,31.49,20.31,46674700.0
2014-12-01,31.45,33.28,30.26,31.32,20.21,43303300.0
2014-12-31,,,,,,
2015-01-01,31.32,32.3,25.46,25.57,16.62,65589900.0
2015-02-01,29.97,36.41,29.71,35.23,22.89,88496500.0
2015-03-01,35.23,35.35,31.83,32.43,21.07,61494500.0
2015-03-26,,,,,,
2015-04-01,32.39,33.17,0.01,0.02,0.02,44075500.0
2015-05-01,32.19,35.27,0.02,0.02,0.01,59276000.0
2015-06-01,34.17,34.58,32.52,32.61,21.34,45840000.0
2015-06-10,,,,,,
2015-07-01,32.84,34.07,0.01,0.01,0.01,37574000.0
2015-08-01,32.5,33.78,29.2,30.8,20.3,56696400.0
2015-09-01,30.45,31.31,0.01,0.02,0.01,45470000.0
2015-09-02,,,,,,
2015-10-01,30.55,33.31,0.01,0.01,0.01,41800200.0
2015-11-01,33.1,35.35,0.01,0.01,0.01,121317900.0
2015-11-30,,,,,,
2015-12-01,27.07,29.12,0.01,0.01,0.01,77570400.0
2015-12-31,,,,,,
2016-01-01,28.27,32.16,0.01,0.01,0.01,81072700.0
2016-02-01,27.6,27.81,20.99,24.92,24.04,56122400.0
2016-03-01,25.11,29.84,24.98,29.75,28.69,33776900.0
2016-04-01,29.48,29.75,0.01,0.01,0.01,26303500.0
2016-04-01,,,,,,
2016-05-01,28.69,44.2,28.21,42.56,41.24,65098200.0
2016-06-01,42.23,45.46,40.54,42.95,41.62,51492500.0
2016-06-10,,,,,,
2016-07-01,42.89,43.41,40.84,41.38,40.22,27439800.0
2016-08-01,41.38,42.56,39.25,40.69,39.56,36620400.0
2016-08-29,,,,,,
2016-09-01,40.74,46.25,39.4,45.16,44.06,42543900.0
2016-10-01,44.92,49.26,43.61,47.1,45.95,42041500.0
2016-11-01,47.23,54.79,44.71,52.45,51.16,57475000.0
2016-12-01,52.58,53.6,50.7,51.4,50.14,30412200.0
2016-12-30,,,,,,
2017-01-01,51.4,62.79,49.36,62.2,60.84,67069100.0
2017-02-01,53.96,62.1,53.29,59.31,58.01,45086000.0
2017-03-01,59.84,71.09,55.31,69.01,67.5,59086700.0
2017-03-27,,,,,,
2017-04-01,59.97,67.47,58.62,65.17,63.9,110761300.0
2017-05-01,65.21,69.92,64.84,67.06,65.75,52235800.0
2017-06-01,66.87,68.61,63.59,66.37,65.07,57777300.0
2017-06-09,,,,,,
2017-07-01,66.4,69.84,65.43,67.8,66.66,31931500.0
2017-08-01,68.12,74.46,66.83,73.53,72.29,42868700.0
2017-09-01,73.64,74.65,72.25,74.29,73.04,38526800.0
2017-09-01,,,,,,
2017-10-01,74.29,80.8,73.4,79.17,78.03,40307200.0
2017-11-01,91.99,93.21,79.26,83.17,81.97,39002300.0
2017-12-01,83.13,83.75,79.61,82.09,80.91,31691400.0
2017-12-05,,,,,,
2018-01-01,82.08,102.95,81.79,99.55,98.33,65828200.0
2018-02-01,85.6,90.83,79.25,88.7,87.62,43387100.0
2018-03-01,88.98,93.3,86.04,86.95,85.89,46153500.0
2018-03-27,,,,,,
2018-04-01,87.06,90.82,85.07,89.15,88.24,37911800.0
2018-05-01,89.24,90.85,76.25,79.68,78.86,56442100.0
2018-06-01,80.83,85.84,77.96,80.61,79.78,55862000.0
2018-06-01,,,,,,
2018-06-05,,,,,,
2018-07-01,79.67,88.53,79.67,84.74,84.06,38693800.0
2018-08-01,84.37,91.43,84.07,91.09,90.36,39365500.0
2018-09-01,90.4,96.75,89.12,93.52,92.77,31611300.0
2018-09-04,,,,,,
2018-10-01,94.1,94.65,68.59,72.83,72.4,54758400.0
2018-11-01,73.5,73.63,57.59,63.04,62.67,90415300.0
2018-12-01,63.96,64.48,49.19,53.17,52.85,53031100.0
2018-12-04,,,,,,
2019-01-01,52.28,64.42,52.12,64.12,63.93,53463700.0
2019-02-01,64.38,69.45,63.49,65.86,65.67,48021200.0
2019-03-01,66.47,67.62,63.16,64.31,64.12,37459000.0
2019-03-26,,,,,,
2019-04-01,64.54,66.68,63.49,65.0,65.0,25086000.0
2019-04-26,64.34,65.33,64.34,65.0,65.0,811817.0
