Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,104.62,109.33,103.91,109.19,102.75,17106500.0
2014-06-01,109.12,111.57,106.31,111.34,104.77,17817200.0
2014-06-13,,,,,,
2014-07-01,111.72,112.27,108.51,108.53,102.39,18117500.0
2014-08-01,107.67,115.46,107.31,114.82,108.32,14369600.0
2014-09-01,114.94,118.46,113.87,114.83,108.33,16662500.0
2014-09-12,,,,,,
2014-10-01,114.89,115.39,103.4,111.23,105.19,35578000.0
2014-11-01,111.64,115.19,108.09,108.95,103.03,18008900.0
2014-12-01,106.6,110.41,101.26,104.52,98.84,38885000.0
2014-12-12,,,,,,
2015-01-01,104.69,107.44,97.78,103.77,98.44,39115300.0
2015-02-01,102.53,117.0,101.57,115.54,109.61,29586100.0
2015-03-01,115.52,116.89,112.75,114.38,108.51,27854900.0
2015-03-06,,,,,,
2015-04-01,114.38,117.31,110.03,111.98,106.53,23984700.0
2015-05-01,112.28,116.31,112.02,114.65,109.07,22497700.0
2015-06-01,114.99,118.27,112.65,113.07,107.57,21834100.0
2015-06-12,,,,,,
2015-07-01,113.67,116.96,107.72,115.81,110.49,23119900.0
2015-08-01,115.25,117.69,103.09,109.92,104.87,27386300.0
2015-09-01,106.78,115.35,104.94,109.72,104.68,32632500.0
2015-09-11,,,,,,
2015-10-01,110.21,122.3,109.64,120.35,115.17,32281100.0
2015-11-01,116.1,122.48,114.32,119.16,114.03,27025000.0
2015-12-01,119.5,119.79,111.77,114.38,109.46,21974100.0
2015-12-11,,,,,,
2016-01-01,112.9,113.69,99.99,107.87,103.54,30874800.0
2016-02-01,106.56,110.56,98.62,102.55,98.43,36345400.0
2016-03-01,103.55,113.4,102.38,111.52,107.04,31386300.0
2016-03-11,,,,,,
2016-04-01,110.47,116.9,109.83,114.98,110.73,22741400.0
2016-04-13,,,,,,
2016-05-01,114.47,119.5,112.3,117.24,113.26,26282900.0
2016-06-01,117.06,121.81,113.79,118.6,114.57,24028500.0
2016-06-17,,,,,,
2016-07-01,118.87,121.75,117.12,118.38,114.7,16730100.0
2016-08-01,117.71,124.23,117.24,123.05,119.22,18951000.0
2016-09-01,122.74,124.6,116.66,121.72,117.93,17864600.0
2016-09-16,,,,,,
2016-10-01,121.55,121.74,114.0,114.17,110.95,15837300.0
2016-11-01,113.8,117.44,110.65,116.73,113.43,19686300.0
2016-12-01,116.91,122.28,116.41,120.5,117.1,22444100.0
2016-12-16,,,,,,
2017-01-01,118.12,122.64,117.29,120.13,117.09,18177500.0
2017-02-01,119.74,125.98,119.09,123.97,120.84,19189300.0
2017-03-01,125.0,126.17,122.58,125.34,122.17,21993800.0
2017-03-17,,,,,,
2017-04-01,126.0,129.49,124.42,129.09,126.2,17018100.0
2017-05-01,128.69,133.01,125.05,132.84,129.87,24631100.0
2017-06-01,132.99,134.89,130.88,132.75,129.78,19310500.0
2017-06-16,,,,,,
2017-07-01,133.19,133.99,131.11,131.67,129.08,15499500.0
2017-08-01,131.08,133.46,127.18,133.3,130.68,17297700.0
2017-09-01,133.57,134.28,127.63,128.61,126.08,19348300.0
2017-09-18,,,,,,
2017-10-01,128.58,134.87,128.38,130.66,128.45,19928000.0
2017-11-01,130.09,136.78,129.16,135.92,133.62,24614900.0
2017-12-01,136.45,137.96,133.22,134.18,131.91,20782800.0
2017-12-18,,,,,,
2018-01-01,134.2,140.5,133.41,137.68,135.76,25741300.0
2018-02-01,137.3,139.3,125.74,130.45,128.64,30821300.0
2018-03-01,129.9,138.44,127.23,137.07,135.16,29701900.0
2018-03-19,,,,,,
2018-04-01,136.71,150.46,132.79,144.77,143.18,31104700.0
2018-05-01,136.0,148.64,136.0,142.61,141.04,24887200.0
2018-06-01,143.56,146.98,137.6,140.33,138.79,24480900.0
2018-06-18,,,,,,
2018-07-01,139.75,144.56,138.65,140.7,139.55,18441700.0
2018-08-01,141.4,151.06,141.25,150.48,149.25,21141600.0
2018-09-01,150.61,159.92,150.2,156.78,155.49,17186300.0
2018-09-17,,,,,,
2018-10-01,157.57,158.12,137.7,153.15,152.29,32240600.0
2018-11-01,153.27,160.92,151.61,160.49,159.59,24361400.0
2018-12-01,162.37,162.91,135.77,147.35,146.52,23292500.0
2018-12-17,,,,,,
2019-01-01,145.5,158.87,141.3,158.17,157.75,20824400.0
2019-02-01,158.49,169.43,157.11,168.91,168.46,21170100.0
2019-03-01,169.75,182.19,168.01,176.54,176.07,21795800.0
2019-03-18,,,,,,
2019-04-01,177.48,186.34,177.17,184.89,184.89,17538400.0
2019-04-26,184.06,184.9,182.87,184.89,184.89,768521.0
