Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,84.67,84.67,83.55,84.32,84.32,1771300
2019-04-02,84.3,84.79,83.79,84.76,84.76,1272100
2019-04-03,84.51,84.75,83.66,84.44,84.44,1217700
2019-04-04,84.57,84.76,83.55,83.99,83.99,1281300
2019-04-05,84.0,84.84,83.62,84.81,84.81,921100
2019-04-08,84.45,84.66,83.66,83.79,83.79,1792500
2019-04-09,83.77,84.22,83.7,84.16,84.16,951100
2019-04-10,84.27,84.98,83.78,83.87,83.87,1006300
2019-04-11,84.0,84.58,83.77,84.47,84.47,1086400
2019-04-12,84.24,84.66,83.61,84.55,84.55,1640800
2019-04-15,84.66,85.03,84.26,84.61,84.61,1017400
2019-04-16,84.65,84.89,83.32,83.62,83.62,1850900
2019-04-17,83.76,84.17,83.4,83.9,83.9,1494500
2019-04-18,83.92,84.23,83.53,83.61,83.61,1417100
2019-04-22,83.61,83.99,83.58,83.86,83.86,1298000
2019-04-23,83.94,84.33,83.48,84.19,84.19,1407300
2019-04-24,84.45,84.75,83.97,84.32,84.32,1764500
2019-04-25,84.18,84.97,83.97,84.52,84.52,1508000
