Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,70.81,71.76,69.16,70.79,66.56,10910900.0
2014-05-21,,,,,,
2014-06-01,71.02,73.39,69.67,72.54,68.45,8283500.0
2014-07-01,72.83,77.74,72.0,76.09,71.8,11194200.0
2014-08-01,76.02,79.37,74.11,78.76,74.32,7793600.0
2014-08-20,,,,,,
2014-09-01,78.93,79.94,73.8,74.74,70.76,10926200.0
2014-10-01,74.64,76.68,69.04,75.74,71.7,13893200.0
2014-11-01,75.81,80.0,75.36,79.55,75.31,8304400.0
2014-11-20,,,,,,
2014-12-01,79.43,82.63,78.34,80.87,76.8,11858400.0
2015-01-01,81.37,86.31,79.62,84.46,80.21,10740000.0
2015-02-01,84.41,94.35,82.87,93.37,88.68,15559100.0
2015-03-01,93.45,94.9,90.71,93.0,88.33,12729300.0
2015-03-02,,,,,,
2015-04-01,93.14,99.29,91.61,96.93,92.34,10180500.0
2015-05-01,97.66,100.93,97.34,100.33,95.58,11083900.0
2015-05-20,,,,,,
2015-06-01,100.35,101.13,96.85,97.09,92.77,11833600.0
2015-07-01,97.94,102.96,96.16,102.13,97.58,15631100.0
2015-08-01,102.31,105.86,90.94,98.85,94.45,15925500.0
2015-08-19,,,,,,
2015-09-01,95.93,100.5,94.59,97.18,93.11,13817200.0
2015-10-01,97.24,108.62,96.22,106.57,102.1,15857700.0
2015-11-01,106.57,112.63,104.0,111.5,106.83,10578000.0
2015-11-19,,,,,,
2015-12-01,112.38,114.46,107.2,111.37,106.98,14286300.0
2016-01-01,109.92,110.77,98.4,105.8,101.63,19380400.0
2016-02-01,105.05,107.39,91.72,104.88,100.75,21402400.0
2016-03-01,105.59,114.67,104.66,114.29,109.79,14288500.0
2016-03-01,,,,,,
2016-04-01,113.84,122.55,113.09,120.25,115.88,13175400.0
2016-05-01,120.35,126.51,118.34,125.73,121.16,13926200.0
2016-05-23,,,,,,
2016-06-01,125.3,128.41,118.05,128.4,124.07,15873600.0
2016-07-01,128.15,136.97,127.85,132.46,127.99,13589600.0
2016-08-01,132.56,134.41,129.11,131.9,127.45,11160200.0
2016-08-17,,,,,,
2016-09-01,131.87,135.32,130.15,134.58,130.37,12939300.0
2016-10-01,134.36,134.56,121.8,123.97,120.09,12112100.0
2016-11-01,124.52,127.39,112.73,114.45,110.87,23338100.0
2016-11-21,,,,,,
2016-12-01,114.45,120.06,110.87,118.23,114.84,18896400.0
2017-01-01,118.59,121.72,116.51,117.28,113.92,14539300.0
2017-02-01,117.69,132.69,116.31,131.11,127.35,18746000.0
2017-03-01,132.25,137.76,130.9,136.74,132.82,16137500.0
2017-03-01,,,,,,
2017-04-01,136.65,139.89,131.62,135.31,131.82,11419000.0
2017-05-01,135.99,139.5,133.49,136.8,133.27,11367200.0
2017-05-23,,,,,,
2017-06-01,137.0,144.01,134.51,137.42,134.26,11842200.0
2017-07-01,137.9,147.02,136.66,145.44,142.1,10394200.0
2017-08-01,146.0,146.5,139.14,142.47,139.19,10019100.0
2017-08-23,,,,,,
2017-09-01,142.73,143.37,89.59,105.99,103.84,180479500.0
2017-10-01,106.09,114.46,106.0,108.53,106.33,57282300.0
2017-11-01,109.12,114.97,105.31,114.12,111.8,27476400.0
2017-11-22,,,,,,
2017-12-01,114.12,120.77,111.29,117.92,115.93,21904500.0
2018-01-01,118.17,127.73,117.37,124.93,122.83,25378600.0
2018-02-01,124.85,125.05,108.33,113.0,111.1,24378600.0
2018-03-01,113.29,125.48,110.55,117.81,115.83,26242300.0
2018-03-09,,,,,,
2018-04-01,117.7,120.63,111.72,112.05,110.52,19068900.0
2018-05-01,111.89,116.76,110.86,113.96,112.4,17093800.0
2018-05-24,,,,,,
2018-06-01,114.18,128.53,113.27,125.11,123.82,27283300.0
2018-07-01,123.85,129.31,120.85,125.5,124.2,18196800.0
2018-08-01,125.09,136.09,124.46,133.97,132.59,15935200.0
2018-08-23,,,,,,
2018-09-01,133.66,138.69,129.45,130.57,129.6,15092800.0
2018-10-01,131.42,132.88,90.54,101.44,100.68,39158300.0
2018-11-01,102.35,106.74,97.13,102.67,101.91,34054300.0
2018-11-21,,,,,,
2018-12-01,104.51,104.97,88.68,93.13,92.8,23246200.0
2019-01-01,91.34,107.36,90.69,107.02,106.64,21804900.0
2019-02-01,107.09,113.11,105.58,109.51,109.12,28422500.0
2019-03-01,109.99,118.95,107.58,118.5,118.07,15828000.0
2019-03-11,,,,,,
2019-04-01,119.1,126.89,118.45,125.26,125.26,12620100.0
2019-04-26,124.99,125.36,123.98,125.26,125.26,325625.0
