Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,56.77,57.22,53.63,55.14,46.98,33731500.0
2014-06-01,55.04,58.24,53.78,58.11,49.51,36689800.0
2014-06-26,,,,,,
2014-07-01,58.02,58.11,54.72,54.8,46.97,33532700.0
2014-08-01,55.2,59.18,54.32,59.14,50.69,48694900.0
2014-09-01,59.25,59.54,54.12,55.92,47.93,38793100.0
2014-09-26,,,,,,
2014-10-01,56.01,62.9,55.88,62.58,53.98,58845400.0
2014-11-01,62.67,63.66,61.39,63.56,54.83,42445800.0
2014-12-01,63.13,68.74,62.78,65.48,56.49,44843700.0
2014-12-29,,,,,,
2015-01-01,65.01,69.59,64.78,68.15,59.16,43280600.0
2015-02-01,68.03,68.46,62.31,64.25,55.77,37823400.0
2015-03-01,64.1,65.99,61.02,62.47,54.23,51367600.0
2015-03-27,,,,,,
2015-04-01,62.43,64.55,59.78,60.94,53.25,54519500.0
2015-05-01,61.02,62.31,58.57,60.81,53.14,38655300.0
2015-06-01,60.91,61.22,55.18,55.58,48.57,50049300.0
2015-06-26,,,,,,
2015-07-01,55.75,61.24,55.52,60.01,52.84,44575200.0
2015-08-01,60.05,63.18,57.28,59.87,52.71,65740100.0
2015-09-01,57.87,63.15,56.68,63.07,55.53,49656800.0
2015-09-28,,,,,,
2015-10-01,63.08,66.29,59.84,60.52,53.64,49013000.0
2015-11-01,60.45,61.16,57.51,59.36,52.62,46861300.0
2015-12-01,59.5,61.35,57.85,59.21,52.48,46821900.0
2015-12-29,,,,,,
2016-01-01,58.57,62.34,57.97,61.8,55.22,50882100.0
2016-02-01,61.81,69.24,61.49,68.16,60.9,58057300.0
2016-03-01,68.75,72.34,65.6,71.89,64.23,48075500.0
2016-03-29,,,,,,
2016-04-01,71.35,72.41,67.71,70.71,63.61,33850500.0
2016-05-01,70.78,73.25,68.47,71.63,64.43,36557000.0
2016-06-01,71.51,77.71,70.72,77.67,69.87,33700800.0
2016-06-28,,,,,,
2016-07-01,78.0,78.72,74.45,77.38,70.05,33083700.0
2016-08-01,77.04,77.4,71.74,72.72,65.83,32287700.0
2016-09-01,72.66,76.3,71.31,72.25,65.4,33090900.0
2016-09-28,,,,,,
2016-10-01,72.06,73.81,69.21,73.48,66.95,32349900.0
2016-11-01,73.39,73.44,67.44,68.77,62.66,34578800.0
2016-12-01,68.39,72.62,67.73,71.99,65.59,39874300.0
2016-12-28,,,,,,
2017-01-01,71.76,72.95,70.57,72.88,66.91,28661700.0
2017-02-01,72.35,79.94,71.48,79.74,73.2,36286500.0
2017-03-01,78.92,81.33,77.89,79.61,73.08,43083200.0
2017-03-29,,,,,,
2017-04-01,79.62,81.19,78.85,79.97,73.91,29454000.0
2017-05-01,80.14,81.72,77.21,81.57,75.39,34963600.0
2017-06-01,81.31,82.82,77.26,78.19,72.27,38105300.0
2017-06-28,,,,,,
2017-07-01,78.4,79.35,76.38,78.68,73.22,30945500.0
2017-08-01,78.88,81.33,78.14,80.18,74.62,36501300.0
2017-08-28,,,,,,
2017-09-01,80.39,81.58,76.93,77.17,72.3,39616900.0
2017-09-28,,,,,,
2017-10-01,77.44,80.64,76.55,79.95,75.43,38610500.0
2017-11-01,80.12,83.38,78.63,81.27,76.68,30732000.0
2017-12-01,81.72,81.96,62.67,63.24,59.66,109005100.0
2017-12-28,,,,,,
2018-01-01,63.63,64.34,60.64,62.53,59.55,75025500.0
2018-02-01,62.45,67.56,57.63,60.59,57.71,70774400.0
2018-03-01,60.65,65.27,58.8,63.66,60.63,74610500.0
2018-03-28,,,,,,
2018-04-01,63.79,66.6,62.09,65.52,63.01,39609300.0
2018-05-01,65.61,65.81,60.23,62.16,59.77,37873900.0
2018-06-01,62.04,63.72,58.6,63.27,60.84,42007500.0
2018-06-29,,,,,,
2018-07-01,63.24,68.43,62.86,66.63,64.69,40755800.0
2018-08-01,66.12,70.62,64.9,65.73,63.82,47260900.0
2018-09-01,65.85,69.9,65.76,67.68,65.71,36624200.0
2018-09-27,,,,,,
2018-10-01,67.76,71.0,66.96,69.39,67.98,46227400.0
2018-11-01,69.35,70.13,45.5,55.32,54.2,98586400.0
2018-12-01,55.25,60.15,53.43,56.77,55.62,46453400.0
2018-12-28,,,,,,
2019-01-01,56.18,59.43,53.4,56.97,56.42,60468300.0
2019-02-01,56.91,62.94,54.99,59.89,59.31,53892800.0
2019-03-01,60.02,66.3,57.63,61.92,61.33,54070300.0
2019-03-28,,,,,,
2019-04-01,62.01,67.43,61.16,63.56,63.56,40891800.0
2019-04-26,64.12,64.44,63.41,63.56,63.56,1244922.0
