Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,72.21,76.74,71.5,76.62,71.73,42132600.0
2014-05-28,,,,,,
2014-06-01,76.6,77.34,73.82,74.26,69.71,29093000.0
2014-07-01,74.54,76.41,73.24,73.46,68.96,33239600.0
2014-08-01,73.49,77.66,72.83,76.83,72.12,32988300.0
2014-08-27,,,,,,
2014-09-01,76.68,77.24,73.92,74.72,70.32,32421500.0
2014-10-01,74.38,75.69,70.18,75.18,70.75,36656200.0
2014-11-01,75.4,76.0,70.8,74.14,69.78,43455200.0
2014-11-25,,,,,,
2014-12-01,73.69,77.98,71.77,76.2,71.95,34883600.0
2015-01-01,76.55,76.73,70.38,70.59,66.66,38212900.0
2015-02-01,70.72,82.94,70.41,82.67,78.06,44859400.0
2015-02-25,,,,,,
2015-03-01,82.67,85.28,79.98,83.16,78.76,35486100.0
2015-04-01,83.59,85.17,81.08,81.29,76.98,24581500.0
2015-05-01,81.96,90.33,81.5,87.43,82.8,38618100.0
2015-05-27,,,,,,
2015-06-01,88.01,89.49,85.98,86.66,82.29,28098500.0
2015-07-01,87.11,90.37,86.05,89.11,84.62,28469000.0
2015-08-01,89.2,91.68,73.67,79.77,75.75,61700600.0
2015-08-27,,,,,,
2015-09-01,78.3,80.88,75.4,80.68,76.85,41973200.0
2015-10-01,80.46,85.23,79.49,80.46,76.64,45694900.0
2015-11-01,84.71,88.1,81.87,84.12,80.13,41679200.0
2015-11-25,,,,,,
2015-12-01,84.26,89.93,82.99,88.06,84.17,39089100.0
2016-01-01,86.93,88.17,81.02,85.25,81.49,37265000.0
2016-02-01,85.04,93.43,84.08,91.33,87.3,40381500.0
2016-02-25,,,,,,
2016-03-01,92.23,94.93,90.73,94.31,90.44,24827200.0
2016-04-01,93.88,97.46,91.96,95.87,91.94,25930900.0
2016-05-01,95.86,97.48,89.84,91.78,88.02,36183500.0
2016-05-26,,,,,,
2016-05-27,,,,,,
2016-06-01,91.59,95.0,87.08,91.02,87.86,36790600.0
2016-07-01,91.25,94.94,90.31,92.9,89.68,22093000.0
2016-08-01,92.81,95.38,88.75,89.23,86.13,42113100.0
2016-08-29,,,,,,
2016-09-01,89.43,90.1,86.57,88.56,85.77,37864700.0
2016-10-01,88.41,88.74,85.28,87.13,84.39,28046000.0
2016-11-01,87.35,87.57,76.65,77.7,75.25,47912900.0
2016-11-28,,,,,,
2016-12-01,77.43,79.85,75.3,76.49,74.4,45608500.0
2017-01-01,77.26,83.33,76.34,81.21,78.99,38175000.0
2017-02-01,80.83,85.72,79.35,82.85,80.59,45595300.0
2017-02-24,,,,,,
2017-03-01,83.18,87.55,81.69,84.79,82.81,38770200.0
2017-04-01,84.73,88.41,83.34,87.14,85.11,31462400.0
2017-05-01,87.68,94.63,87.02,94.14,91.94,43853100.0
2017-05-26,,,,,,
2017-06-01,94.34,98.4,93.9,95.98,94.08,30476600.0
2017-07-01,96.07,99.82,93.45,98.99,97.03,29811100.0
2017-08-01,98.97,107.91,97.57,106.99,104.87,72068500.0
2017-08-29,,,,,,
2017-09-01,107.0,110.99,106.0,107.84,106.05,35974000.0
2017-10-01,108.26,112.49,107.79,111.81,109.95,32831400.0
2017-11-01,120.15,126.99,117.14,124.83,122.76,46173100.0
2017-11-29,,,,,,
2017-12-01,124.73,130.36,123.01,127.24,125.51,29838200.0
2018-01-01,127.64,138.2,126.8,134.96,133.12,30919700.0
2018-02-01,135.13,143.63,131.18,138.44,136.55,41744800.0
2018-02-27,,,,,,
2018-03-01,138.26,150.4,137.04,149.72,148.07,37097000.0
2018-04-01,149.43,153.88,144.81,148.09,146.46,37557700.0
2018-05-01,147.62,151.75,131.76,149.44,147.79,52165100.0
2018-05-30,,,,,,
2018-06-01,150.2,158.8,140.75,142.69,141.48,35726900.0
2018-07-01,142.23,144.82,132.03,134.94,133.79,36907800.0
2018-08-01,134.33,146.0,128.81,140.12,138.93,59754300.0
2018-08-30,,,,,,
2018-09-01,138.88,145.66,136.18,145.32,144.48,31629100.0
2018-10-01,145.78,147.23,121.93,137.44,136.64,57860100.0
2018-11-01,137.13,146.16,136.83,142.66,141.83,46324000.0
2018-11-29,,,,,,
2018-12-01,144.22,152.92,121.64,130.1,129.74,41055600.0
2019-01-01,129.9,136.99,121.47,136.42,136.05,53484600.0
2019-02-01,137.27,159.37,135.39,156.94,156.51,45171800.0
2019-02-27,,,,,,
2019-03-01,158.22,165.76,152.99,165.55,165.55,30524000.0
2019-04-01,165.78,172.76,162.47,172.5,172.5,19636800.0
2019-04-26,170.99,172.76,170.46,172.5,172.5,767734.0
