Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,87.04,88.32,83.11,88.26,78.25,22735100.0
2014-05-16,,,,,,
2014-05-20,,,,,,
2014-06-01,88.26,90.55,86.16,87.35,77.44,20564200.0
2014-06-05,,,,,,
2014-06-11,,,,,,
2014-07-01,87.41,89.02,78.63,78.78,70.11,28695900.0
2014-08-01,78.76,83.1,78.21,82.47,73.4,22005600.0
2014-09-01,82.81,85.21,80.73,80.89,71.99,28061300.0
2014-09-11,,,,,,
2014-10-01,80.69,81.64,70.38,80.78,72.2,40842300.0
2014-11-01,82.51,88.93,80.0,82.92,74.11,26845000.0
2014-12-01,82.99,84.6,71.06,75.86,67.8,37848000.0
2014-12-11,,,,,,
2015-01-01,76.03,76.67,67.13,70.89,63.69,40827500.0
2015-02-01,71.04,76.54,68.74,74.46,66.9,27251700.0
2015-03-01,74.46,75.43,67.87,69.26,62.23,32151800.0
2015-03-12,,,,,,
2015-04-01,68.97,77.66,67.74,76.22,68.87,35622100.0
2015-05-01,76.95,80.93,76.02,76.77,69.37,30416200.0
2015-06-01,77.43,83.9,75.82,81.82,73.93,35615100.0
2015-06-11,,,,,,
2015-07-01,82.79,82.79,71.66,78.4,71.21,38310100.0
2015-08-01,78.24,79.81,63.85,72.63,65.97,32119500.0
2015-09-01,70.15,73.32,62.84,64.72,58.78,26643600.0
2015-09-10,,,,,,
2015-10-01,65.13,73.82,63.84,72.17,65.92,29872900.0
2015-11-01,72.19,73.28,66.01,72.65,66.36,23641700.0
2015-12-01,72.81,73.72,65.88,67.51,61.67,24262200.0
2015-12-10,,,,,,
2016-01-01,66.5,68.11,56.03,61.21,56.28,30582100.0
2016-02-01,58.82,65.77,57.0,64.15,58.98,30191200.0
2016-03-01,65.16,74.98,64.71,72.23,66.41,28330700.0
2016-03-11,,,,,,
2016-04-01,71.9,78.79,70.54,76.38,70.69,24555400.0
2016-05-01,75.97,77.97,72.61,73.36,67.9,21297000.0
2016-06-01,73.01,75.13,65.19,67.9,62.84,33153200.0
2016-06-13,,,,,,
2016-07-01,68.03,72.5,64.19,65.23,60.76,29996500.0
2016-08-01,65.2,69.43,63.65,67.89,63.23,27131300.0
2016-09-01,67.88,68.8,63.1,67.68,63.04,31273400.0
2016-09-13,,,,,,
2016-10-01,67.72,72.64,62.7,71.91,67.45,34589400.0
2016-11-01,72.38,76.88,70.63,75.12,70.47,29944800.0
2016-12-01,75.62,77.98,74.18,75.21,70.55,26035200.0
2016-12-13,,,,,,
2017-01-01,75.84,80.48,74.78,77.5,73.18,31487700.0
2017-02-01,77.8,81.45,77.14,80.25,75.78,17860100.0
2017-03-01,81.2,82.1,76.02,80.8,76.3,29473600.0
2017-03-13,,,,,,
2017-04-01,80.84,82.39,77.61,79.75,75.81,18034800.0
2017-05-01,80.13,80.86,76.11,80.11,76.15,25538700.0
2017-06-01,80.56,86.28,79.93,83.99,79.84,27924800.0
2017-06-13,,,,,,
2017-07-01,84.61,86.6,81.91,83.16,79.54,17286600.0
2017-08-01,83.33,86.79,82.33,86.2,82.44,22091900.0
2017-09-01,86.58,90.97,84.42,90.49,86.55,25991200.0
2017-09-14,,,,,,
2017-10-01,90.38,94.96,86.58,90.81,87.37,30240700.0
2017-11-01,91.46,93.0,88.85,92.37,88.87,19422000.0
2017-12-01,92.64,94.27,89.64,92.64,89.13,21437300.0
2017-12-15,,,,,,
2018-01-01,93.43,102.51,92.9,99.18,96.02,22274900.0
2018-02-01,98.63,104.46,90.89,101.08,97.86,31756100.0
2018-03-01,101.11,112.45,98.54,105.58,102.21,28713500.0
2018-03-14,,,,,,
2018-04-01,105.38,109.34,99.22,102.08,99.33,22606100.0
2018-05-01,101.64,109.7,100.19,104.31,101.5,20629500.0
2018-06-01,105.23,110.17,97.89,99.96,97.27,20818800.0
2018-06-14,,,,,,
2018-07-01,98.78,103.92,98.33,103.62,101.35,16620600.0
2018-08-01,103.26,103.62,95.85,97.03,94.91,18724100.0
2018-09-01,96.74,100.51,95.43,95.72,93.63,17573600.0
2018-09-13,,,,,,
2018-10-01,96.44,98.38,73.95,78.35,77.09,38044900.0
2018-11-01,79.94,84.44,76.87,78.82,77.55,24196700.0
2018-12-01,81.08,82.99,67.4,73.11,71.93,29782200.0
2018-12-14,,,,,,
2019-01-01,72.06,83.04,71.28,80.62,80.01,26970400.0
2019-02-01,79.32,85.16,77.5,82.69,82.06,21858300.0
2019-03-01,83.35,84.46,74.03,75.88,75.31,25283200.0
2019-03-14,,,,,,
2019-04-01,76.64,86.18,76.45,80.21,80.21,22465000.0
2019-04-26,79.5,80.97,76.45,80.21,80.21,2143500.0
