Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,75.03,75.32,73.74,74.98,74.98,1465200
2019-04-02,75.09,75.88,74.23,75.69,75.69,1665400
2019-04-03,75.45,75.75,74.89,75.39,75.39,1282900
2019-04-04,75.57,75.57,74.79,75.28,75.28,762400
2019-04-05,75.25,75.75,75.03,75.61,75.61,761400
2019-04-08,75.5,75.83,75.07,75.56,75.56,831600
2019-04-09,75.69,75.8,75.13,75.39,75.39,877200
2019-04-10,75.75,76.39,75.42,76.35,76.35,1746000
2019-04-11,76.49,76.92,76.23,76.69,76.69,1926900
2019-04-12,76.5,77.46,75.92,77.45,77.45,1659300
2019-04-15,77.54,77.64,76.95,77.6,77.6,1791400
2019-04-16,77.59,77.59,75.34,75.73,75.73,1732800
2019-04-17,75.71,75.85,74.04,74.29,74.29,2010000
2019-04-18,74.26,75.18,73.91,75.07,75.07,1584600
2019-04-22,74.7,74.83,73.29,74.17,74.17,1543500
2019-04-23,74.47,75.13,74.19,74.96,74.96,1009400
2019-04-24,75.24,75.84,74.76,75.47,75.47,1230800
2019-04-25,75.1,76.19,74.95,75.97,75.97,769100
