Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,46.97,48.3,46.89,47.97,47.97,2104100
2019-04-02,47.91,48.17,47.59,48.06,48.06,1832100
2019-04-03,48.56,48.91,47.77,48.03,48.03,1692600
2019-04-04,47.99,48.7,47.99,48.43,48.43,1128800
2019-04-05,48.44,48.85,48.01,48.77,48.77,1903800
2019-04-08,48.51,48.77,48.29,48.67,48.67,1156700
2019-04-09,48.36,48.67,47.69,47.99,47.99,1895500
2019-04-10,48.04,48.13,47.53,48.04,48.04,1705400
2019-04-11,48.34,48.85,48.12,48.28,48.28,1677000
2019-04-12,49.03,49.67,48.86,49.29,49.29,2009800
2019-04-15,49.69,49.81,48.76,48.97,48.97,1809000
2019-04-16,48.93,49.85,48.93,49.82,49.82,2499000
2019-04-17,50.0,50.13,49.07,49.97,49.97,3442600
2019-04-18,51.51,52.35,50.55,51.14,51.14,5335100
2019-04-22,50.87,51.36,50.34,50.41,50.41,2030500
2019-04-23,50.37,50.99,49.84,50.46,50.46,2013000
2019-04-24,50.25,50.33,49.17,49.96,49.96,2979700
2019-04-25,49.76,50.73,49.53,50.19,50.19,1863300
