Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,57.98,58.2,57.33,57.43,57.43,1770000
2019-04-02,57.77,57.77,57.13,57.5,57.5,1612900
2019-04-03,57.56,58.0,57.15,57.32,57.32,1461800
2019-04-04,57.38,57.46,56.49,56.57,56.57,1892700
2019-04-05,56.58,57.41,56.33,57.32,57.32,1617100
2019-04-08,57.36,57.64,56.88,57.11,57.11,1359800
2019-04-09,57.05,57.35,56.83,57.28,57.28,1296700
2019-04-10,57.37,57.8,57.0,57.16,57.16,1035600
2019-04-11,57.12,57.5,57.0,57.41,57.41,1663900
2019-04-12,57.2,57.81,56.8,57.72,57.72,1184700
2019-04-15,57.79,58.09,57.62,57.79,57.79,1085400
2019-04-16,57.67,57.95,56.91,57.07,57.07,1461100
2019-04-17,57.04,57.36,56.45,56.81,56.81,1292800
2019-04-18,57.01,57.09,56.42,56.57,56.57,2316200
2019-04-22,56.77,56.93,56.33,56.41,56.41,1800800
2019-04-23,56.58,57.0,56.39,56.55,56.55,2309600
2019-04-24,56.81,57.5,56.58,57.08,57.08,1760400
2019-04-25,56.73,57.75,56.73,57.19,57.19,1635200
