Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,40.63,43.51,39.43,40.6,40.6,44071000.0
2014-06-01,40.56,44.1,39.06,42.92,42.92,42172000.0
2014-07-01,43.04,47.25,42.03,45.12,45.12,52849000.0
2014-08-01,45.1,49.67,44.71,49.63,49.63,36581600.0
2014-09-01,49.68,52.35,48.42,51.08,51.08,33358000.0
2014-10-01,51.15,61.0,48.53,60.46,60.46,47863600.0
2014-11-01,60.44,65.64,59.44,64.84,64.84,30362400.0
2014-12-01,64.79,67.14,62.67,63.69,63.69,41021400.0
2015-01-01,64.1,68.6,62.35,62.67,62.67,18614200.0
2015-02-01,62.85,68.79,61.99,66.51,66.51,19523600.0
2015-03-01,66.51,75.21,66.0,71.23,71.23,24065000.0
2015-04-01,71.03,72.93,63.04,63.33,63.33,22702800.0
2015-05-01,63.56,67.14,61.38,65.36,65.36,27062100.0
2015-06-01,65.39,73.65,64.62,71.21,71.21,24025000.0
2015-07-01,71.75,79.5,70.56,76.08,76.08,23797500.0
2015-08-01,76.12,146.21,62.53,145.59,145.59,27758500.0
2015-09-01,68.9,72.42,66.57,71.08,71.08,28654200.0
2015-10-01,70.76,79.24,70.32,78.57,78.57,63324100.0
2015-11-01,78.82,83.43,75.88,81.5,81.5,27331800.0
2015-12-01,82.16,83.0,78.0,78.98,78.98,34038500.0
2015-12-14,,,,,,
2016-01-01,78.1,80.99,72.2,78.21,78.21,40374900.0
2016-02-01,77.89,89.93,75.29,87.0,87.0,47499600.0
2016-03-01,87.28,89.58,83.9,88.21,88.21,32136800.0
2016-04-01,88.02,112.0,86.73,106.21,106.21,43589900.0
2016-05-01,106.72,107.8,97.2,98.5,98.5,40404800.0
2016-06-01,98.5,103.87,93.83,99.73,99.73,34655600.0
2016-07-01,99.83,117.46,98.02,114.52,114.52,32375400.0
2016-08-01,114.54,118.92,111.69,115.16,115.16,25753800.0
2016-09-01,115.5,121.73,113.53,120.56,120.56,21345200.0
2016-10-01,119.98,121.75,91.32,95.22,95.22,55395000.0
2016-11-01,95.5,95.73,82.84,82.85,82.85,52358900.0
2016-12-01,82.8,94.58,81.12,93.7,93.7,50194700.0
2017-01-01,93.8,99.7,93.06,96.24,96.24,35827800.0
2017-02-01,96.51,100.48,86.55,94.04,94.04,54742000.0
2017-03-01,94.55,96.49,89.2,94.07,94.07,50792100.0
2017-04-01,93.98,113.04,92.44,109.67,109.67,37004100.0
2017-05-01,109.91,116.59,108.8,115.07,115.07,27239800.0
2017-06-01,115.54,120.74,111.78,118.24,118.24,23732700.0
2017-07-01,118.6,121.45,113.36,115.18,115.18,27167000.0
2017-08-01,115.87,117.29,111.53,113.66,113.66,26076900.0
2017-09-01,113.79,115.61,107.35,109.31,109.31,26314100.0
2017-10-01,109.38,114.94,100.2,102.23,102.23,39955100.0
2017-11-01,102.37,119.04,100.85,117.2,117.2,28978900.0
2017-12-01,117.25,118.98,111.79,112.71,112.71,29510400.0
2018-01-01,111.68,128.61,110.68,126.58,126.58,23940500.0
2018-02-01,126.49,138.48,121.4,133.67,133.67,28699200.0
2018-03-01,133.64,143.22,130.89,139.52,139.52,27373100.0
2018-04-01,139.24,142.31,123.0,127.36,127.36,35524400.0
2018-05-01,128.91,139.98,128.26,137.31,137.31,24916100.0
2018-06-01,138.17,155.22,137.12,145.57,145.57,28745500.0
2018-07-01,144.86,156.87,139.76,142.45,142.45,26934500.0
2018-08-01,142.66,146.7,134.53,144.24,144.24,23423500.0
2018-09-01,144.46,175.0,139.07,174.1,174.1,28509900.0
2018-10-01,174.75,174.99,136.44,147.6,147.6,54025600.0
2018-11-01,148.78,163.8,146.98,162.01,162.01,29816300.0
2018-12-01,164.07,167.19,139.64,153.17,153.17,24751300.0
2019-01-01,151.91,172.1,140.86,170.42,170.42,28613600.0
2019-02-01,167.54,178.68,163.08,169.29,169.29,21717400.0
2019-03-01,170.82,197.86,166.37,191.33,191.33,30688100.0
2019-04-01,192.56,193.96,172.14,176.12,176.12,26153300.0
2019-04-26,175.36,177.06,174.04,176.12,176.12,1265412.0
