Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,192.56,193.96,189.58,190.0,190.0,1369000
2019-04-02,189.9,190.8,188.52,190.0,190.0,1056100
2019-04-03,190.83,191.75,189.87,190.71,190.71,1374000
2019-04-04,191.26,191.66,188.0,189.3,189.3,837200
2019-04-05,189.31,190.65,188.19,188.31,188.31,861300
2019-04-08,188.07,188.65,185.79,188.53,188.53,898900
2019-04-09,188.23,190.45,188.22,189.96,189.96,914100
2019-04-10,189.68,190.21,188.2,188.83,188.83,1086000
2019-04-11,189.9,190.51,186.89,190.36,190.36,835700
2019-04-12,190.5,192.52,190.3,191.71,191.71,1048400
2019-04-15,192.0,192.99,189.14,189.23,189.23,807900
2019-04-16,190.87,191.54,188.52,190.39,190.39,1626700
2019-04-17,190.66,191.0,176.36,177.49,177.49,2803500
2019-04-18,178.01,180.0,172.14,177.26,177.26,2674900
2019-04-22,176.08,180.51,175.69,178.27,178.27,1261200
2019-04-23,178.07,182.18,177.28,180.98,180.98,1578800
2019-04-24,178.89,181.0,173.0,177.73,177.73,2400400
2019-04-25,178.42,179.86,174.81,177.22,177.22,1434500
