Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,35.45,36.85,33.5,36.83,30.44,175572200.0
2014-05-14,,,,,,
2014-06-01,36.62,37.73,34.81,36.48,30.41,212120700.0
2014-07-01,36.08,36.26,30.8,31.08,25.91,177331800.0
2014-08-01,31.14,33.42,30.66,33.42,27.86,117128000.0
2014-08-13,,,,,,
2014-09-01,33.43,34.91,32.58,34.09,28.7,120409900.0
2014-10-01,34.19,36.89,33.07,36.59,30.81,160450400.0
2014-11-01,36.55,37.9,34.69,36.17,30.45,118333400.0
2014-11-12,,,,,,
2014-12-01,35.94,38.93,35.09,37.08,31.48,138203200.0
2015-01-01,37.08,38.25,36.01,36.04,30.6,114173200.0
2015-02-01,36.0,36.99,32.61,33.92,28.8,153539200.0
2015-02-11,,,,,,
2015-03-01,33.92,34.02,31.71,33.61,28.79,166955900.0
2015-04-01,32.62,34.35,32.3,34.02,29.14,135782700.0
2015-05-01,34.06,34.98,32.95,33.83,28.98,114356700.0
2015-05-13,,,,,,
2015-06-01,34.01,34.53,31.28,31.42,27.16,143676500.0
2015-07-01,31.51,33.78,30.63,32.09,27.74,197709900.0
2015-08-01,32.07,34.44,30.31,31.72,27.42,224644900.0
2015-08-12,,,,,,
2015-09-01,30.41,31.94,28.41,29.7,25.93,176697300.0
2015-10-01,29.67,31.37,27.71,27.92,24.37,179229200.0
2015-11-01,27.97,29.21,27.28,27.31,23.84,160243500.0
2015-11-10,,,,,,
2015-12-01,27.48,28.0,25.09,27.77,24.5,166756000.0
2016-01-01,27.48,29.67,26.26,29.57,26.09,151861200.0
2016-02-01,29.4,33.12,29.26,31.49,27.79,192209600.0
2016-02-10,,,,,,
2016-03-01,31.77,35.95,30.87,35.86,31.95,152468200.0
2016-04-01,35.74,35.95,33.18,35.09,31.27,114471500.0
2016-05-01,35.26,35.95,33.27,34.27,30.54,104867400.0
2016-05-11,,,,,,
2016-06-01,34.28,36.37,33.61,36.36,32.69,119195300.0
2016-07-01,36.45,37.55,35.37,37.28,33.52,89096000.0
2016-08-01,37.2,37.7,33.61,34.0,30.57,115563100.0
2016-08-11,,,,,,
2016-09-01,33.91,35.27,32.86,33.29,30.2,99261800.0
2016-10-01,33.25,34.13,31.68,34.07,30.91,98778500.0
2016-11-01,34.02,34.06,29.82,32.51,29.5,141540200.0
2016-11-10,,,,,,
2016-11-14,,,,,,
2016-12-01,32.32,36.36,31.77,35.49,32.87,150065200.0
2017-01-01,35.67,36.21,34.8,35.88,33.23,103396400.0
2017-02-01,35.66,37.19,34.47,36.71,34.0,102836100.0
2017-02-13,,,,,,
2017-03-01,36.32,36.63,35.3,35.98,33.64,102764600.0
2017-04-01,35.95,36.47,34.53,34.63,32.38,87882200.0
2017-05-01,34.65,36.45,33.3,36.31,33.95,135837900.0
2017-05-11,,,,,,
2017-06-01,36.25,37.44,35.8,36.07,34.05,93124200.0
2017-07-01,36.2,38.5,35.37,38.34,36.2,91111600.0
2017-08-01,38.48,38.78,37.25,37.87,35.75,91924100.0
2017-08-11,,,,,,
2017-09-01,37.95,38.5,36.63,37.67,35.88,110727400.0
2017-10-01,37.81,40.38,37.55,40.21,38.3,101862300.0
2017-11-01,40.32,42.67,39.47,41.71,39.72,97049400.0
2017-11-14,,,,,,
2017-12-01,41.89,42.09,38.76,39.41,37.83,113148600.0
2018-01-01,39.54,39.88,37.74,38.51,36.96,142034100.0
2018-02-01,38.53,38.71,35.57,37.04,35.55,157303500.0
2018-02-14,,,,,,
2018-03-01,37.18,39.32,36.5,39.01,37.8,134588600.0
2018-04-01,39.1,39.99,37.45,39.68,38.45,103171100.0
2018-05-01,40.0,41.72,39.1,41.39,40.1,141656500.0
2018-05-14,,,,,,
2018-06-01,41.39,42.72,39.63,42.6,41.63,136410600.0
2018-07-01,42.67,43.2,40.97,42.5,41.53,107736000.0
2018-08-01,42.18,45.05,41.72,43.71,42.71,109010600.0
2018-08-14,,,,,,
2018-09-01,44.09,44.85,42.19,43.66,43.01,108540700.0
2018-10-01,43.46,44.87,42.44,43.81,43.15,138624700.0
2018-11-01,43.94,46.45,43.02,46.39,45.7,118100400.0
2018-11-14,,,,,,
2018-12-01,46.35,47.4,43.1,45.1,44.76,120348700.0
2019-01-01,44.78,47.93,43.51,47.76,47.4,111130900.0
2019-02-01,47.67,48.97,46.03,48.59,48.22,107099600.0
2019-02-19,,,,,,
2019-03-01,48.7,50.85,48.1,50.13,50.13,113078800.0
2019-04-01,50.34,51.03,48.79,50.47,50.47,101404700.0
2019-04-26,50.63,51.03,50.46,50.47,50.47,4216785.0
