Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,50.34,50.35,49.44,49.84,49.84,4213000
2019-04-02,50.32,50.35,49.9,50.29,50.29,6380800
2019-04-03,50.25,50.29,49.81,49.94,49.94,4315900
2019-04-04,50.06,50.1,49.49,49.64,49.64,3986400
2019-04-05,49.71,49.96,49.52,49.9,49.9,5030900
2019-04-08,49.87,49.99,49.44,49.62,49.62,6370800
2019-04-09,49.54,49.84,49.35,49.52,49.52,5267200
2019-04-10,49.95,50.26,49.52,49.56,49.56,4489200
2019-04-11,49.48,49.8,49.38,49.78,49.78,3576500
2019-04-12,49.65,49.83,49.2,49.7,49.7,6541200
2019-04-15,49.81,50.29,49.71,50.19,50.19,5035600
2019-04-16,50.08,50.2,49.1,49.2,49.2,3682200
2019-04-17,49.29,49.32,48.79,48.89,48.89,5184400
2019-04-18,49.0,49.62,48.82,49.4,49.4,8692700
2019-04-22,49.49,49.74,49.31,49.48,49.48,6105100
2019-04-23,49.52,49.97,49.31,49.74,49.74,6573000
2019-04-24,49.79,50.34,49.73,50.07,50.07,7003800
2019-04-25,49.88,50.67,49.8,50.39,50.39,4111500
