Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,41.3,46.8,40.61,45.51,42.38,38408900.0
2014-05-29,,,,,,
2014-06-01,45.58,46.17,43.68,44.16,41.41,28425500.0
2014-07-01,44.16,45.78,43.16,43.18,40.49,22406700.0
2014-08-01,43.25,43.91,39.97,41.3,38.73,32839400.0
2014-09-01,41.34,43.18,40.5,40.58,38.05,27006600.0
2014-10-01,40.5,42.73,38.14,42.66,40.0,33523200.0
2014-11-01,42.69,47.24,42.1,46.82,43.9,24435200.0
2014-11-26,,,,,,
2014-12-01,46.75,46.8,41.97,44.61,42.13,31966900.0
2015-01-01,44.99,45.5,42.17,43.68,41.25,26694000.0
2015-02-01,43.9,49.02,43.38,48.3,45.61,21876000.0
2015-03-01,48.13,49.51,47.07,48.18,45.5,23924000.0
2015-04-01,48.0,48.22,45.27,45.83,43.28,21241600.0
2015-05-01,45.95,49.11,45.72,45.84,43.29,25547300.0
2015-05-28,,,,,,
2015-06-01,45.95,48.67,45.84,46.11,43.88,51342900.0
2015-07-01,46.56,47.24,43.92,46.87,44.6,28884500.0
2015-08-01,46.77,50.08,44.58,48.97,46.6,44601000.0
2015-09-01,47.92,50.07,45.36,47.05,44.77,64232400.0
2015-10-01,47.2,51.8,46.86,50.11,47.68,43767300.0
2015-11-01,50.06,50.86,47.59,49.08,46.7,30109400.0
2015-11-27,,,,,,
2015-12-01,48.67,49.18,44.73,45.1,43.23,62535700.0
2016-01-01,44.35,45.25,40.41,45.12,43.25,43061100.0
2016-02-01,44.94,47.46,43.61,45.78,43.89,32230100.0
2016-03-01,46.09,49.56,45.64,48.81,46.79,32212000.0
2016-04-01,48.48,50.49,46.82,49.61,47.56,25100200.0
2016-05-01,49.53,50.63,46.74,48.55,46.54,42614100.0
2016-05-27,,,,,,
2016-06-01,48.56,50.19,46.48,49.04,47.4,29112200.0
2016-07-01,49.05,50.58,48.41,49.43,47.78,19794800.0
2016-08-01,49.49,52.58,49.29,50.65,48.95,24235000.0
2016-09-01,50.94,51.9,49.87,51.52,49.8,19774800.0
2016-10-01,51.38,52.34,48.52,51.47,49.75,24633000.0
2016-11-01,51.67,53.11,47.23,52.74,50.97,39894600.0
2016-11-29,,,,,,
2016-12-01,52.95,56.37,52.48,52.96,51.58,29153700.0
2017-01-01,53.47,54.04,51.78,52.08,50.72,25975700.0
2017-02-01,51.97,57.26,51.57,56.38,54.91,22523100.0
2017-03-01,56.79,57.35,55.13,56.49,55.02,20910900.0
2017-04-01,56.19,57.75,55.12,56.09,54.63,22152200.0
2017-05-01,56.16,56.3,51.96,53.38,51.99,29161100.0
2017-05-30,,,,,,
2017-06-01,53.39,57.42,53.21,56.48,55.45,26919300.0
2017-07-01,56.76,59.9,56.06,56.18,55.15,23151700.0
2017-08-01,58.45,59.79,54.32,56.1,55.07,39067800.0
2017-09-01,56.32,60.3,56.23,59.86,58.76,20573900.0
2017-10-01,59.83,60.81,57.92,58.38,57.31,17598900.0
2017-11-01,58.67,65.41,56.45,64.78,63.59,26788300.0
2017-11-30,,,,,,
2017-12-01,64.77,66.01,63.38,64.69,63.92,20268100.0
2018-01-01,66.25,67.54,60.89,64.95,64.18,20061400.0
2018-02-01,64.48,67.63,59.1,64.96,64.19,30527600.0
2018-03-01,64.89,65.45,60.8,63.3,62.55,26524500.0
2018-04-01,63.17,65.69,60.85,63.86,63.1,22637600.0
2018-05-01,63.94,75.66,61.69,74.48,73.6,30285600.0
2018-05-31,,,,,,
2018-06-01,75.03,78.16,71.43,73.1,72.67,30667500.0
2018-07-01,72.63,76.57,71.08,76.17,75.72,24417100.0
2018-08-01,76.43,77.73,69.71,73.28,72.85,27770800.0
2018-09-01,73.17,76.64,71.89,73.53,73.09,18684700.0
2018-10-01,73.84,74.23,64.15,67.18,66.78,28700400.0
2018-11-01,67.16,77.25,66.61,76.09,75.64,28952400.0
2018-11-30,,,,,,
2018-12-01,77.69,77.69,62.9,68.09,68.09,27071900.0
2019-01-01,66.77,69.81,64.56,69.3,69.3,25209100.0
2019-02-01,69.48,76.11,68.75,74.95,74.95,21072600.0
2019-03-01,75.43,77.49,73.05,75.9,75.9,22515500.0
2019-04-01,76.44,80.69,76.26,79.28,79.28,16988200.0
2019-04-26,78.69,79.32,77.9,79.28,79.28,547201.0
