Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,101.0,101.3,99.85,101.18,101.18,1001900
2019-04-02,101.25,102.28,100.15,102.09,102.09,1988900
2019-04-03,102.15,102.61,101.0,102.19,102.19,880700
2019-04-04,102.12,102.31,100.65,100.92,100.92,442500
2019-04-05,101.14,101.71,100.8,101.64,101.64,439400
2019-04-08,101.23,101.34,99.62,100.13,100.13,1102900
2019-04-09,100.44,101.67,99.92,100.99,100.99,644600
2019-04-10,101.36,102.31,101.32,101.99,101.99,805400
2019-04-11,102.18,102.53,100.97,101.6,101.6,700100
2019-04-12,101.57,102.21,100.8,102.19,102.19,448100
2019-04-15,102.36,102.69,101.23,101.68,101.68,469600
2019-04-16,101.62,101.62,99.4,100.03,100.03,440700
2019-04-17,100.11,100.33,98.95,99.79,99.79,751200
2019-04-18,99.81,100.92,99.5,100.7,100.7,625100
2019-04-22,100.23,100.52,97.95,99.24,99.24,773700
2019-04-23,99.69,100.31,99.3,100.09,100.09,570800
2019-04-24,100.56,101.99,100.29,101.81,101.81,497200
2019-04-25,101.46,102.36,101.17,102.04,102.04,604000
