Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,8.86,9.0,8.86,8.98,8.84,45653100
2019-04-02,8.95,9.03,8.91,9.01,8.87,30699400
2019-04-03,9.07,9.27,9.06,9.13,8.99,56663600
2019-04-04,9.21,9.3,9.18,9.24,9.09,39483100
2019-04-05,9.17,9.27,9.08,9.25,9.1,37854700
2019-04-08,9.18,9.32,9.17,9.3,9.15,26221100
2019-04-09,9.27,9.36,9.17,9.21,9.06,29879100
2019-04-10,9.23,9.35,9.2,9.33,9.18,28469500
2019-04-11,9.35,9.41,9.33,9.39,9.24,26488100
2019-04-12,9.47,9.6,9.44,9.45,9.3,38646000
2019-04-15,9.48,9.5,9.26,9.33,9.18,41206700
2019-04-16,9.32,9.4,9.24,9.36,9.21,40950000
2019-04-17,9.4,9.58,9.39,9.5,9.35,30688300
2019-04-18,9.52,9.62,9.48,9.55,9.4,29843000
2019-04-22,9.58,9.58,9.46,9.5,9.35,38718500
2019-04-23,9.36,9.51,9.3,9.5,9.5,39493700
2019-04-24,9.45,9.61,9.4,9.57,9.57,39796300
2019-04-25,9.52,9.53,9.34,9.4,9.4,51540600
