Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,60.43,64.3,56.26,63.3,63.3,1120155500
2014-06-01,63.23,68.0,61.79,67.29,67.29,863389800
2014-07-01,67.58,76.74,62.21,72.65,72.65,1028365000
2014-08-01,72.22,75.99,71.55,74.82,74.82,590763600
2014-09-01,75.01,79.71,73.07,79.04,79.04,720995800
2014-10-01,78.78,81.16,70.32,74.99,74.99,1083643000
2014-11-01,75.47,78.27,72.51,77.7,77.7,490965300
2014-12-01,77.26,82.17,74.4,78.02,78.02,534527100
2015-01-01,78.58,79.25,73.54,75.91,75.91,546033100
2015-02-01,76.11,81.37,73.45,78.97,78.97,475148700
2015-03-01,79.0,86.07,77.26,82.22,82.22,575349900
2015-04-01,82.5,85.59,78.32,78.77,78.77,542124600
2015-05-01,79.24,81.85,76.79,79.19,79.19,421870700
2015-06-01,79.3,89.4,78.66,85.77,85.77,537560000
2015-07-01,86.77,99.24,85.23,94.01,94.01,790617800
2015-08-01,93.53,98.74,72.0,89.73,89.73,796692700
2015-09-01,86.85,96.49,85.72,89.9,89.9,635399800
2015-10-01,90.05,105.12,88.36,101.97,101.97,571409100
2015-11-01,101.72,110.65,100.47,104.24,104.24,547232800
2015-12-01,104.83,107.92,101.46,104.66,104.66,440171900
2016-01-01,101.95,112.84,89.37,112.21,112.21,792511900
2016-02-01,112.27,117.59,96.82,106.92,106.92,874152500
2016-03-01,107.83,116.99,104.4,114.1,114.1,521458900
2016-04-01,113.75,120.79,106.31,117.58,117.58,741539300
2016-05-01,117.83,121.08,115.88,118.81,118.81,460335600
2016-06-01,118.5,119.44,108.23,114.28,114.28,450876100
2016-07-01,114.2,128.33,112.97,123.94,123.94,470108600
2016-08-01,123.85,126.73,122.07,126.12,126.12,365670900
2016-09-01,126.38,131.98,125.6,128.27,128.27,376518100
2016-10-01,128.38,133.5,126.75,130.99,130.99,313284400
2016-11-01,131.41,131.94,113.55,118.42,118.42,643923800
2016-12-01,118.38,122.5,114.0,115.05,115.05,408728400
2017-01-01,116.03,133.14,115.51,130.32,130.32,378958900
2017-02-01,132.25,137.18,130.3,135.54,135.54,384700500
2017-03-01,136.47,142.95,136.08,142.05,142.05,342098600
2017-04-01,141.93,151.53,138.81,150.25,150.25,275586300
2017-05-01,151.74,153.6,144.42,151.46,151.46,403586900
2017-06-01,151.75,156.5,144.56,150.98,150.98,414757100
2017-07-01,151.72,175.49,147.8,169.25,169.25,419907600
2017-08-01,169.82,173.05,165.0,171.97,171.97,303622800
2017-09-01,172.4,174.0,161.56,170.87,170.87,304818300
2017-10-01,171.39,180.8,168.29,180.06,180.06,318146600
2017-11-01,182.36,184.25,174.0,177.18,177.18,350825400
2017-12-01,176.03,182.28,169.01,176.46,176.46,316990500
2018-01-01,177.68,190.66,175.8,186.89,186.89,495411300
2018-02-01,188.22,195.32,167.18,178.32,178.32,516251600
2018-03-01,179.01,186.1,149.02,159.79,159.79,995523100
2018-04-01,157.81,177.1,150.51,172.0,172.0,749046400
2018-05-01,172.0,192.72,170.23,191.78,191.78,401144100
2018-06-01,193.07,203.55,186.43,194.32,194.32,387265600
2018-07-01,193.37,218.62,166.56,172.58,172.58,647030700
2018-08-01,173.93,188.3,170.27,175.73,175.73,548743400
2018-09-01,173.5,173.89,158.87,164.46,164.46,500357000
2018-10-01,163.03,165.88,139.03,151.79,151.79,622446300
2018-11-01,151.52,154.13,126.85,140.61,140.61,518151700
2018-12-01,143.0,147.19,123.02,131.09,131.09,558786200
2019-01-01,128.99,171.68,128.56,166.69,166.69,527530800
2019-02-01,165.84,172.47,159.59,161.45,161.45,302243200
2019-03-01,162.6,174.3,159.28,166.69,166.69,388081200
2019-04-01,167.83,198.48,167.28,191.49,191.49,338923100
2019-04-26,192.5,192.89,189.11,191.49,191.49,22075002
