Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,42.14,42.14,37.28,39.98,37.36,35429900.0
2014-05-28,,,,,,
2014-06-01,39.97,41.15,38.69,39.93,37.42,36029800.0
2014-07-01,40.01,40.96,36.65,37.79,35.42,47149300.0
2014-08-01,37.72,43.85,37.14,43.21,40.5,32426900.0
2014-08-27,,,,,,
2014-09-01,43.31,44.24,40.71,41.11,38.64,24756400.0
2014-10-01,41.34,43.35,36.54,43.25,40.65,31856200.0
2014-11-01,43.27,45.99,41.77,44.92,42.22,16183700.0
2014-11-25,,,,,,
2014-12-01,44.79,46.0,42.98,45.27,42.66,18185400.0
2015-01-01,45.62,47.52,42.75,44.79,42.21,21943400.0
2015-02-01,45.05,48.17,42.8,46.32,43.65,38258400.0
2015-02-25,,,,,,
2015-03-01,46.32,47.6,43.69,47.48,44.87,25082300.0
2015-04-01,47.56,47.78,44.28,44.6,42.15,26214400.0
2015-05-01,44.38,46.67,43.79,45.86,43.34,36744000.0
2015-05-27,,,,,,
2015-06-01,45.94,47.06,45.1,45.82,43.43,23283000.0
2015-07-01,46.27,48.5,43.87,47.75,45.26,36283800.0
2015-08-01,47.95,52.85,41.17,47.85,45.36,30587400.0
2015-08-26,,,,,,
2015-09-01,47.01,53.01,46.21,47.47,45.13,31089500.0
2015-10-01,47.51,53.27,47.1,52.33,49.76,38550400.0
2015-11-01,52.74,56.01,51.29,54.97,52.27,18168400.0
2015-11-24,,,,,,
2015-12-01,55.49,56.99,53.6,55.5,52.9,26815400.0
2016-01-01,54.86,55.36,45.57,48.59,46.32,32031500.0
2016-02-01,48.32,51.64,44.19,50.22,47.87,46668100.0
2016-02-24,,,,,,
2016-03-01,50.72,56.36,50.36,56.04,53.59,23155600.0
2016-04-01,55.71,59.98,54.89,55.41,52.98,25535200.0
2016-04-25,,,,,,
2016-05-01,55.79,59.4,54.56,58.67,56.26,19122500.0
2016-05-25,,,,,,
2016-06-01,58.33,58.97,54.51,57.97,55.74,59912500.0
2016-07-01,58.0,64.47,57.25,63.27,60.84,26577400.0
2016-08-01,63.38,64.39,61.91,63.56,61.11,24487500.0
2016-08-24,,,,,,
2016-09-01,63.67,64.11,56.09,58.1,56.0,30180100.0
2016-10-01,57.79,58.11,52.05,54.63,52.66,35704100.0
2016-11-01,54.62,58.39,52.56,55.15,53.16,28103500.0
2016-11-22,,,,,,
2016-11-23,,,,,,
2016-12-01,55.14,56.92,53.24,53.46,51.82,24435900.0
2017-01-01,53.99,57.31,53.15,55.13,53.44,25426500.0
2017-02-01,55.05,58.24,55.05,57.83,56.06,22635300.0
2017-02-22,,,,,,
2017-03-01,58.56,61.67,57.71,60.85,59.17,26660200.0
2017-04-01,60.89,66.01,60.22,63.74,61.98,29888500.0
2017-05-01,63.96,63.96,62.05,63.1,61.36,22326400.0
2017-05-24,,,,,,
2017-06-01,63.27,66.35,62.2,65.24,63.62,18965800.0
2017-07-01,65.6,67.5,64.77,65.67,64.04,16762000.0
2017-08-01,65.92,66.58,61.34,62.53,60.98,25115700.0
2017-08-23,,,,,,
2017-09-01,62.79,67.77,62.37,67.23,65.75,16267900.0
2017-10-01,67.26,68.82,64.89,66.06,64.6,23410700.0
2017-11-01,66.4,68.8,63.41,68.42,66.91,15642700.0
2017-11-22,,,,,,
2017-12-01,68.38,69.76,66.31,68.44,67.12,18114800.0
2018-01-01,68.71,73.62,68.34,70.93,69.56,21174900.0
2018-02-01,70.79,71.02,60.65,60.66,59.49,45874200.0
2018-02-22,,,,,,
2018-03-01,60.68,63.69,57.75,58.89,57.93,32409800.0
2018-04-01,58.9,60.34,54.69,54.69,53.8,37315000.0
2018-05-01,54.75,58.61,53.56,56.17,55.26,39332200.0
2018-05-24,,,,,,
2018-06-01,56.5,58.75,52.63,53.69,53.0,41114000.0
2018-07-01,53.26,58.15,52.81,58.0,57.26,37203600.0
2018-08-01,57.91,58.21,52.55,52.98,52.3,28197500.0
2018-08-30,,,,,,
2018-09-01,53.05,56.31,52.32,52.36,51.88,36724100.0
2018-10-01,52.97,53.61,40.89,44.83,44.42,54678100.0
2018-11-01,45.15,47.68,41.29,43.8,43.4,45013800.0
2018-11-29,,,,,,
2018-12-01,44.71,45.33,35.27,37.99,37.82,44523400.0
2019-01-01,37.47,45.36,37.21,45.3,45.09,32759200.0
2019-02-01,44.75,49.59,44.01,47.12,46.9,35809600.0
2019-02-21,,,,,,
2019-03-01,47.64,48.49,44.79,47.61,47.61,26585100.0
2019-04-01,47.95,53.48,47.16,52.36,52.36,32299600.0
2019-04-26,52.17,52.47,51.75,52.36,52.36,2121977.0
