Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,34.22,35.88,33.43,34.05,32.1,170539000.0
2014-06-01,34.32,36.51,33.39,36.5,34.41,160375200.0
2014-07-01,36.88,39.32,36.83,37.22,35.09,230642100.0
2014-07-11,,,,,,
2014-08-01,37.12,37.53,35.63,36.37,34.57,144255900.0
2014-09-01,36.04,36.22,32.29,32.65,31.03,176408800.0
2014-10-01,32.8,32.91,27.72,28.5,27.09,330241200.0
2014-10-10,,,,,,
2014-11-01,28.7,29.92,26.64,26.85,25.78,236039600.0
2014-12-01,26.71,26.89,20.94,23.36,22.43,374111300.0
2015-01-01,23.35,23.72,16.43,16.81,16.14,455444600.0
2015-01-13,,,,,,
2015-02-01,16.98,21.9,16.81,21.63,21.05,370020600.0
2015-03-01,21.63,21.63,17.02,18.95,18.44,444577500.0
2015-04-01,19.1,23.66,18.11,23.27,22.65,419575800.0
2015-04-13,,,,,,
2015-05-01,23.38,23.97,19.65,19.65,19.18,307008200.0
2015-06-01,19.75,21.17,18.51,18.62,18.17,323926800.0
2015-07-01,18.58,18.84,11.16,11.75,11.47,629486900.0
2015-07-13,,,,,,
2015-08-01,11.64,11.87,7.76,10.64,10.41,903609800.0
2015-09-01,10.11,12.59,8.62,9.69,9.49,949624800.0
2015-10-01,9.91,14.2,9.51,11.77,11.52,751176600.0
2015-10-13,,,,,,
2015-11-01,11.79,12.75,7.94,8.18,8.04,666108600.0
2015-12-01,8.25,8.41,6.08,6.77,6.65,1066201100.0
2016-01-01,6.6,6.76,3.52,4.6,4.52,1378500700.0
2016-02-01,4.5,7.97,4.26,7.63,7.5,1140882900.0
2016-03-01,7.84,11.45,7.26,10.34,10.16,1159555000.0
2016-04-01,9.92,14.06,8.76,14.0,13.76,1035343800.0
2016-05-01,14.03,14.04,10.22,11.08,10.89,938146200.0
2016-06-01,11.08,11.93,9.82,11.14,10.95,837612400.0
2016-07-01,11.04,13.59,10.27,12.96,12.74,715005000.0
2016-08-01,13.01,13.04,10.18,10.29,10.11,583278000.0
2016-09-01,10.32,11.14,9.43,10.86,10.67,651072200.0
2016-10-01,10.98,11.2,9.24,11.18,10.99,587767000.0
2016-11-01,11.31,16.42,10.5,15.35,15.08,878188700.0
2016-12-01,15.5,16.08,13.13,13.19,12.96,559347600.0
2017-01-01,13.49,17.06,13.41,16.65,16.36,624917500.0
2017-02-01,16.63,16.89,13.16,13.4,13.17,610420100.0
2017-03-01,13.78,14.0,11.91,13.36,13.13,521005300.0
2017-04-01,13.5,13.83,12.03,12.75,12.53,407187300.0
2017-05-01,12.78,12.89,11.06,11.49,11.29,421127100.0
2017-06-01,11.47,12.61,11.05,12.01,11.8,397509900.0
2017-07-01,12.08,15.27,11.71,14.62,14.37,420379900.0
2017-08-01,14.6,15.75,13.82,14.78,14.52,445527500.0
2017-09-01,14.93,15.38,13.65,14.04,13.8,354232900.0
2017-10-01,13.98,15.59,13.84,13.98,13.74,382385300.0
2017-11-01,14.4,14.98,13.22,13.92,13.68,289163200.0
2017-12-01,13.94,19.45,13.81,18.96,18.63,398760600.0
2018-01-01,19.05,20.25,18.85,19.5,19.16,443778600.0
2018-02-01,19.45,19.74,16.64,18.6,18.28,430674800.0
2018-03-01,18.75,19.24,16.51,17.57,17.27,311626700.0
2018-04-01,17.57,19.7,15.12,15.21,14.95,415140100.0
2018-04-12,,,,,,
2018-05-01,15.12,17.78,14.64,16.9,16.65,349260400.0
2018-06-01,17.17,18.38,15.46,17.26,17.01,320049900.0
2018-07-01,17.02,18.14,15.06,16.5,16.26,401101000.0
2018-07-12,,,,,,
2018-08-01,16.12,16.16,13.28,14.05,13.88,363580900.0
2018-09-01,13.63,14.9,12.18,13.92,13.76,385041200.0
2018-10-01,13.81,14.28,10.59,11.65,11.51,527457500.0
2018-10-12,,,,,,
2018-11-01,11.86,12.69,10.71,11.94,11.84,360494100.0
2018-12-01,12.45,12.67,9.6,10.31,10.23,405348700.0
2019-01-01,10.01,12.65,9.84,11.64,11.55,603678400.0
2019-01-14,,,,,,
2019-02-01,11.56,13.86,11.4,12.9,12.85,420315900.0
2019-03-01,12.98,13.2,11.78,12.89,12.84,320001900.0
2019-04-01,13.16,14.68,12.15,12.5,12.45,423010200.0
2019-04-12,,,,,,
2019-04-26,12.26,12.69,12.23,12.5,12.5,23326223.0
