Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,41.53,41.61,41.09,41.45,41.45,3686100
2019-04-02,41.51,41.56,41.13,41.34,41.34,3406900
2019-04-03,41.24,41.4,40.94,41.09,41.09,4049200
2019-04-04,41.19,41.21,39.27,39.44,39.44,12163100
2019-04-05,40.4,41.05,40.0,40.97,40.97,13492200
2019-04-08,40.95,41.0,40.28,40.42,40.42,5707200
2019-04-09,40.32,40.87,40.15,40.85,40.85,3467300
2019-04-10,40.84,41.19,40.72,40.83,40.83,4799600
2019-04-11,40.79,41.22,40.72,41.21,41.21,4130000
2019-04-12,41.02,41.41,40.89,41.37,41.37,2557800
2019-04-15,41.35,41.55,41.18,41.28,41.28,2854400
2019-04-16,41.19,41.4,40.43,40.46,40.46,3910800
2019-04-17,40.51,40.51,40.08,40.23,40.23,3115000
2019-04-18,40.23,40.8,40.15,40.5,40.5,4477100
2019-04-22,40.54,40.75,40.35,40.59,40.59,2942400
2019-04-23,40.6,40.82,40.21,40.74,40.74,4088400
2019-04-24,40.87,41.63,40.63,40.86,40.86,3941600
2019-04-25,40.57,41.42,40.55,41.15,41.15,3142000
