Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,104.65,110.75,99.93,108.55,108.55,24998300
2014-06-01,108.93,114.14,106.57,111.44,111.44,20078300
2014-07-01,112.0,117.77,108.03,112.59,112.59,25345400
2014-08-01,109.01,124.8,109.01,124.19,124.19,20166100
2014-09-01,124.5,128.3,117.6,118.74,118.74,16527900
2014-10-01,118.5,124.0,106.82,122.98,122.98,29819200
2014-11-01,122.0,130.86,122.0,129.19,129.19,16675900
2014-12-01,129.61,136.11,126.47,130.47,130.47,16934100
2015-01-01,131.72,132.99,108.6,111.62,111.62,32611400
2015-02-01,110.29,120.66,109.19,118.12,118.12,18148100
2015-03-01,118.56,119.97,111.07,114.94,114.94,21475200
2015-04-01,114.61,126.18,111.33,122.02,122.02,29690700
2015-05-01,122.28,128.08,121.28,125.69,125.69,15165500
2015-06-01,124.4,128.0,118.56,120.35,120.35,17190400
2015-07-01,121.08,135.2,114.51,134.14,134.14,24651500
2015-08-01,130.99,134.28,112.43,121.41,121.41,18814800
2015-09-01,118.76,123.22,111.43,115.8,115.8,18318800
2015-10-01,115.97,123.25,108.0,110.2,110.2,28132200
2015-11-01,109.0,113.8,100.32,103.0,103.0,25325000
2015-12-01,103.07,105.65,94.51,96.96,96.96,26410400
2016-01-01,95.6,97.7,88.75,93.78,93.78,37263500
2016-02-01,93.12,97.72,86.03,96.17,96.17,19200100
2016-03-01,96.73,106.86,96.29,105.85,105.85,15594500
2016-04-01,104.94,107.08,93.64,104.75,104.75,23541300
2016-05-01,103.12,110.28,99.29,110.2,110.2,18841500
2016-06-01,110.02,124.91,107.19,113.84,113.84,21622000
2016-07-01,113.91,125.87,110.86,123.42,123.42,16393800
2016-08-01,123.56,127.13,121.33,122.73,122.73,13631500
2016-09-01,122.42,125.0,115.63,124.64,124.64,12427300
2016-10-01,124.16,138.55,114.45,138.21,138.21,19771600
2016-11-01,137.47,144.28,134.01,140.75,140.75,17539800
2016-12-01,141.12,148.34,136.97,144.72,144.72,11740100
2017-01-01,145.65,146.98,132.51,134.03,134.03,15365900
2017-02-01,134.07,145.55,130.61,143.27,143.27,13817500
2017-03-01,144.01,149.5,140.4,142.57,142.57,13706700
2017-04-01,142.73,142.92,125.3,129.13,129.13,20459900
2017-05-01,128.91,131.93,124.27,128.13,128.13,20318500
2017-06-01,128.85,132.2,125.96,127.06,127.06,14289400
2017-07-01,127.75,130.0,115.63,120.75,120.75,19022500
2017-08-01,121.08,121.43,115.67,119.38,119.38,14468900
2017-09-01,119.91,123.14,114.76,120.56,120.56,14480900
2017-10-01,120.81,127.48,114.63,121.27,121.27,20013200
2017-11-01,120.94,134.5,119.4,134.2,134.2,16228900
2017-12-01,134.19,136.35,129.7,131.22,131.22,13783800
2018-01-01,131.64,144.61,131.31,144.54,144.54,17867500
2018-02-01,144.57,153.08,133.14,148.52,148.52,16482600
2018-03-01,148.81,153.91,142.07,144.61,144.61,13848400
2018-04-01,143.93,163.48,138.67,163.09,163.09,16552400
2018-05-01,160.7,176.33,160.21,173.11,173.11,16366800
2018-06-01,174.57,183.27,168.03,172.45,172.45,13718100
2018-07-01,171.3,180.11,169.0,171.38,171.38,14138500
2018-08-01,171.86,191.16,168.77,189.12,189.12,12170500
2018-09-01,188.76,199.71,187.02,199.42,199.42,9346700
2018-10-01,193.68,195.41,161.25,175.28,175.28,22014400
2018-11-01,175.13,190.08,164.97,171.97,171.97,13816500
2018-12-01,175.35,176.7,149.87,162.03,162.03,13899400
2019-01-01,158.19,167.32,151.0,160.95,160.95,18128800
2019-02-01,160.79,173.44,157.88,168.14,168.14,9984700
2019-03-01,167.6,168.33,148.91,156.93,156.93,14863500
2019-04-01,163.8,168.94,156.0,159.87,159.87,11701900
2019-04-26,161.89,162.02,159.54,159.87,159.87,435604
