Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,53.51,54.97,52.13,54.15,50.41,27036800.0
2014-06-01,54.11,55.43,53.42,54.74,50.96,21793400.0
2014-06-12,,,,,,
2014-07-01,54.89,57.07,54.66,56.4,52.74,25469200.0
2014-08-01,56.11,57.65,54.79,56.75,53.06,24118700.0
2014-09-01,56.91,58.86,55.73,56.3,52.64,26043300.0
2014-09-12,,,,,,
2014-10-01,56.11,59.24,51.38,58.39,54.83,31699700.0
2014-11-01,58.62,61.66,57.19,61.19,57.45,19719100.0
2014-12-01,60.83,64.3,59.71,62.2,58.4,21076200.0
2014-12-12,,,,,,
2015-01-01,62.33,64.42,60.36,62.43,58.85,17125400.0
2015-02-01,62.86,68.98,61.65,67.59,63.71,21977400.0
2015-03-01,67.48,68.89,64.5,68.06,64.16,20918400.0
2015-03-13,,,,,,
2015-04-01,67.94,68.55,60.79,62.49,59.14,40261600.0
2015-05-01,62.7,65.7,62.18,62.7,59.34,24485100.0
2015-06-01,62.75,64.93,61.54,61.8,58.49,26165300.0
2015-06-12,,,,,,
2015-07-01,62.15,66.65,61.57,65.43,62.17,31557500.0
2015-08-01,65.5,72.3,64.31,69.06,65.62,38280000.0
2015-09-01,67.73,70.48,65.75,67.08,63.74,28915500.0
2015-09-14,,,,,,
2015-10-01,67.75,73.01,66.16,72.92,69.55,25864000.0
2015-11-01,72.28,73.6,63.58,63.67,60.73,49740100.0
2015-12-01,63.97,65.96,58.49,60.6,57.8,51167000.0
2015-12-14,,,,,,
2016-01-01,59.52,61.09,56.8,59.73,57.21,40318700.0
2016-02-01,59.38,61.04,55.11,58.25,55.8,44169500.0
2016-03-01,58.81,63.74,58.7,63.31,60.64,51920300.0
2016-03-15,,,,,,
2016-04-01,63.64,66.79,63.3,65.8,63.29,35969900.0
2016-05-01,66.0,74.59,65.72,74.27,71.44,69175100.0
2016-06-01,74.27,75.8,68.03,73.68,70.87,46497300.0
2016-06-14,,,,,,
2016-07-01,73.8,81.41,73.78,79.53,76.77,41009500.0
2016-08-01,79.73,80.72,77.73,79.33,76.57,27817800.0
2016-09-01,79.41,81.67,74.87,77.03,74.35,48024700.0
2016-09-14,,,,,,
2016-10-01,76.8,78.69,73.25,73.92,71.59,30683300.0
2016-11-01,73.91,79.23,73.89,77.19,74.76,36431300.0
2016-12-01,77.17,77.78,73.97,75.64,73.26,42523800.0
2016-12-14,,,,,,
2017-01-01,76.28,80.35,75.88,79.42,77.19,32262100.0
2017-02-01,79.68,83.86,75.52,82.27,79.96,38035800.0
2017-03-01,82.68,83.37,79.0,79.62,77.38,33491700.0
2017-03-15,,,,,,
2017-04-01,79.87,84.58,78.89,84.19,82.11,29110100.0
2017-05-01,84.26,85.96,81.72,85.87,83.75,37209800.0
2017-06-01,85.87,87.32,83.36,85.4,83.29,32925100.0
2017-06-14,,,,,,
2017-07-01,85.71,91.56,85.23,91.22,89.27,29264900.0
2017-08-01,91.71,93.06,88.97,92.92,90.93,32893000.0
2017-09-01,93.15,93.73,91.7,93.39,91.39,22426400.0
2017-09-14,,,,,,
2017-10-01,93.46,96.67,90.8,92.76,91.06,24353100.0
2017-11-01,94.12,94.89,89.31,94.33,92.61,38951400.0
2017-12-01,94.13,96.44,92.85,94.09,92.37,29446600.0
2017-12-14,,,,,,
2018-01-01,94.31,103.65,93.25,102.36,100.8,29574800.0
2018-02-01,102.3,102.88,92.12,97.18,95.7,39742100.0
2018-03-01,97.25,101.74,93.95,96.3,94.83,30593400.0
2018-03-15,,,,,,
2018-04-01,95.9,98.0,93.71,94.97,93.82,33365000.0
2018-05-01,97.0,105.02,96.37,102.22,100.98,40477400.0
2018-06-01,102.95,108.0,102.65,106.03,104.75,34091300.0
2018-06-14,,,,,,
2018-07-01,105.21,109.95,102.37,103.13,102.19,28046800.0
2018-08-01,103.27,109.39,102.23,108.17,107.18,29703800.0
2018-09-01,108.03,110.83,106.11,109.07,108.07,24532800.0
2018-09-13,,,,,,
2018-10-01,109.41,109.58,98.35,104.1,103.45,42412900.0
2018-11-01,103.98,108.64,101.75,107.95,107.28,25280600.0
2018-12-01,109.0,109.98,94.53,102.55,101.91,28742300.0
2018-12-13,,,,,,
2019-01-01,100.88,106.59,98.1,104.53,104.19,34315500.0
2019-02-01,104.54,110.05,104.54,108.15,107.8,45811200.0
2019-03-01,109.0,113.3,104.73,113.1,112.73,86411400.0
2019-03-14,,,,,,
2019-04-01,113.48,115.56,110.27,110.9,110.9,57941900.0
2019-04-26,111.87,111.87,110.5,110.9,110.9,2759476.0
