Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,30.4,31.14,29.38,30.06,30.06,49687000.0
2014-06-01,30.05,30.75,29.59,30.16,30.16,34888000.0
2014-07-01,30.31,31.55,29.84,30.83,30.83,38602200.0
2014-08-01,30.78,32.4,30.27,32.24,32.24,41095000.0
2014-09-01,32.28,33.06,31.73,32.32,32.32,34247200.0
2014-10-01,32.29,35.03,30.27,34.74,34.74,58853600.0
2014-11-01,34.81,35.96,34.56,35.74,35.74,43255000.0
2014-12-01,35.61,36.63,34.03,35.49,35.49,57582400.0
2015-01-01,35.74,37.31,34.56,36.26,36.26,46045600.0
2015-02-01,36.56,39.78,35.89,39.03,39.03,48249800.0
2015-03-01,39.16,40.49,38.17,39.7,39.7,44814200.0
2015-04-01,39.69,40.22,38.46,38.8,38.8,35226400.0
2015-05-01,39.03,40.83,38.53,40.08,40.08,40570000.0
2015-06-01,40.3,43.19,39.51,41.42,41.42,55970800.0
2015-07-01,41.73,44.38,41.58,43.43,43.43,50236600.0
2015-08-01,43.42,45.27,38.98,42.63,42.63,51976600.0
2015-09-01,41.72,44.62,41.2,43.31,43.31,54596800.0
2015-10-01,43.46,48.71,42.71,48.26,48.26,51416800.0
2015-11-01,48.42,48.76,47.11,48.12,48.12,45779800.0
2015-12-01,48.27,48.88,45.58,45.73,45.73,56374800.0
2016-01-01,45.04,47.32,42.81,47.28,47.28,51019800.0
2016-02-01,46.78,49.85,45.24,47.81,47.81,62346400.0
2016-03-01,48.36,51.44,47.83,51.29,51.29,49583000.0
2016-04-01,51.18,51.76,48.17,48.86,48.86,40889400.0
2016-05-01,48.8,53.06,48.76,52.67,52.67,43526400.0
2016-06-01,52.63,54.42,50.8,54.37,54.37,44456600.0
2016-07-01,54.26,55.76,53.99,55.18,55.18,33471200.0
2016-08-01,55.08,55.5,50.5,51.53,51.53,46965600.0
2016-09-01,51.54,52.33,48.87,49.74,49.74,43450800.0
2016-10-01,49.55,50.5,46.4,49.24,49.24,51610200.0
2016-11-01,49.37,53.95,48.53,52.31,52.31,57282200.0
2016-12-01,52.28,54.56,51.3,53.14,53.14,37701800.0
2017-01-01,53.41,55.75,53.24,53.72,53.72,34643600.0
2017-02-01,53.56,58.35,52.26,57.7,57.7,46401200.0
2017-03-01,58.09,59.15,56.65,57.65,57.65,40136800.0
2017-04-01,57.75,61.46,57.47,59.57,59.57,29869200.0
2017-05-01,59.75,62.67,58.67,62.64,62.64,34559800.0
2017-06-01,62.69,63.55,60.19,61.17,61.17,39371200.0
2017-07-01,61.38,64.29,60.37,64.25,64.25,27015000.0
2017-08-01,64.29,64.68,59.85,61.85,61.85,35891800.0
2017-09-01,62.1,64.81,60.58,64.48,64.48,31968800.0
2017-10-01,64.61,65.1,63.15,64.71,64.71,34680200.0
2017-11-01,62.0,65.93,60.19,65.72,65.72,36768100.0
2017-12-01,65.25,66.68,64.1,65.57,65.57,30374800.0
2018-01-01,65.98,72.1,64.91,70.42,70.42,38464400.0
2018-02-01,70.34,73.71,62.76,71.69,71.69,62039600.0
2018-03-01,71.93,74.46,69.77,71.31,71.31,45153300.0
2018-03-20,,,,,,
2018-04-01,71.04,72.62,69.66,70.86,70.86,32078700.0
2018-05-01,70.85,73.56,68.43,72.6,72.6,39386000.0
2018-06-01,73.01,76.98,72.12,74.09,74.09,37326600.0
2018-07-01,73.7,78.21,73.54,75.48,75.48,29014300.0
2018-08-01,75.48,80.45,73.84,80.07,80.07,40710300.0
2018-09-01,79.83,82.41,79.24,82.38,82.38,32621300.0
2018-10-01,82.66,82.79,75.74,79.3,79.3,46526700.0
2018-11-01,74.09,80.62,73.51,79.13,79.13,45932000.0
2018-12-01,79.58,80.07,68.55,73.49,73.49,45800300.0
2019-01-01,72.21,85.65,68.45,82.93,82.93,170670000.0
2019-02-01,82.63,86.29,82.29,84.69,84.69,81612700.0
2019-03-01,85.11,88.65,83.31,88.28,88.28,79507200.0
2019-04-01,88.98,91.19,84.52,85.37,85.37,78398800.0
2019-04-26,86.41,86.74,84.96,85.37,85.37,2559708.0
