Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,88.98,89.48,88.12,89.31,89.31,2821600
2019-04-02,89.54,90.18,89.27,89.78,89.78,3517900
2019-04-03,90.36,91.19,89.7,90.64,90.64,3156100
2019-04-04,90.67,90.84,89.41,90.08,90.08,2671600
2019-04-05,90.39,90.6,89.62,89.86,89.86,1924900
2019-04-08,89.63,89.63,87.98,88.33,88.33,7082300
2019-04-09,87.85,88.56,87.68,88.23,88.23,4726300
2019-04-10,88.12,88.38,86.3,86.75,86.75,6478400
2019-04-11,87.09,87.17,85.32,85.54,85.54,9136600
2019-04-12,86.04,86.82,85.25,86.3,86.3,5758600
2019-04-15,86.45,87.06,85.65,86.55,86.55,3938500
2019-04-16,86.66,86.71,84.95,85.01,85.01,5085400
2019-04-17,85.26,85.58,84.96,85.29,85.29,2984300
2019-04-18,85.92,85.92,85.01,85.06,85.06,3588600
2019-04-22,84.61,85.79,84.52,85.73,85.73,3857000
2019-04-23,85.76,87.35,85.26,87.08,87.08,3410300
2019-04-24,86.92,87.08,85.87,86.53,86.53,2621600
2019-04-25,86.54,86.76,85.67,86.3,86.3,3051200
