Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,75.57,77.81,72.7,75.08,69.17,26534000.0
2014-05-30,,,,,,
2014-06-01,75.09,79.93,74.58,76.9,71.04,23024500.0
2014-07-01,77.25,79.2,72.77,72.87,67.32,22123400.0
2014-08-01,73.92,75.55,70.82,73.89,68.26,21070300.0
2014-08-29,,,,,,
2014-09-01,73.74,74.8,66.52,66.79,61.88,32739800.0
2014-10-01,67.04,67.38,59.32,66.34,61.46,42691300.0
2014-11-01,66.52,69.69,61.79,61.99,57.43,36894100.0
2014-11-28,,,,,,
2014-12-01,61.1,63.69,55.6,60.63,56.35,56573900.0
2015-01-01,60.78,61.06,51.8,53.59,49.8,43934600.0
2015-02-01,53.97,60.19,53.84,58.0,53.9,39955600.0
2015-02-27,,,,,,
2015-03-01,57.96,58.77,56.11,57.16,53.31,26609700.0
2015-04-01,56.43,62.26,56.22,60.14,56.09,27168900.0
2015-05-01,58.24,60.62,55.89,56.22,52.44,26024300.0
2015-05-29,,,,,,
2015-06-01,56.35,57.97,52.72,53.01,49.63,24352800.0
2015-07-01,53.36,53.48,45.14,46.75,43.77,36783100.0
2015-08-01,46.51,48.95,41.88,45.62,42.71,37028100.0
2015-08-31,,,,,,
2015-09-01,44.5,45.8,40.7,42.35,39.83,31864300.0
2015-10-01,42.61,48.48,40.61,47.81,44.97,35402000.0
2015-11-01,47.6,50.91,46.47,48.6,45.71,31303000.0
2015-11-30,,,,,,
2015-12-01,48.66,49.41,44.03,47.22,44.61,35451900.0
2016-01-01,46.53,48.11,39.48,44.89,42.41,38470200.0
2016-02-01,44.52,47.6,41.06,46.04,43.49,35742500.0
2016-02-29,,,,,,
2016-03-01,46.56,55.48,46.32,53.7,50.96,36734800.0
2016-04-01,53.0,55.69,50.79,54.66,51.87,27180700.0
2016-05-01,54.68,55.29,48.96,52.78,50.08,31484700.0
2016-05-31,,,,,,
2016-06-01,49.16,54.11,45.8,49.28,46.95,27258700.0
2016-07-01,49.33,54.45,47.91,53.52,50.99,18949600.0
2016-08-01,53.52,53.75,50.09,51.9,49.44,24184600.0
2016-08-31,,,,,,
2016-09-01,51.9,52.43,48.49,51.32,49.09,21001700.0
2016-10-01,51.15,52.63,48.57,51.99,49.73,24653200.0
2016-11-01,52.21,54.92,44.05,53.51,51.18,56123400.0
2016-11-30,,,,,,
2016-12-01,54.17,57.78,52.35,52.52,50.44,30703200.0
2017-01-01,53.09,57.27,52.02,55.5,53.3,23715400.0
2017-02-01,55.83,58.37,54.19,55.39,53.19,23063700.0
2017-02-28,,,,,,
2017-03-01,56.21,57.25,49.85,52.62,50.72,28595600.0
2017-04-01,52.73,53.03,49.93,51.32,49.47,21283500.0
2017-05-01,51.52,51.83,44.02,44.86,43.24,34596700.0
2017-05-31,,,,,,
2017-06-01,45.26,47.46,43.65,45.78,44.34,26699800.0
2017-07-01,46.11,46.78,41.78,43.43,42.06,29256000.0
2017-08-01,43.62,44.16,37.04,38.57,37.35,50796800.0
2017-08-31,,,,,,
2017-09-01,38.7,42.26,38.04,42.1,40.99,26353500.0
2017-10-01,42.01,43.54,42.0,43.09,41.96,29448800.0
2017-11-01,43.43,48.77,43.14,48.41,47.14,34871700.0
2017-12-01,48.46,52.03,47.52,51.65,50.29,21689100.0
2017-12-04,,,,,,
2018-01-01,51.8,62.09,51.78,60.7,59.36,31710500.0
2018-02-01,60.43,61.03,53.22,56.9,55.65,32396100.0
2018-02-28,,,,,,
2018-03-01,56.83,59.18,54.7,57.22,56.16,22264400.0
2018-04-01,56.97,62.08,55.19,58.95,57.86,24462800.0
2018-05-01,59.04,59.45,43.86,48.74,47.84,57444300.0
2018-05-31,,,,,,
2018-06-01,49.06,50.54,47.61,48.78,48.08,25222700.0
2018-07-01,48.3,51.92,47.9,51.25,50.52,21143000.0
2018-08-01,50.84,58.94,50.08,57.41,56.59,28465100.0
2018-08-31,,,,,,
2018-09-01,57.42,59.99,55.64,58.1,57.48,18261600.0
2018-10-01,58.64,60.6,42.22,43.86,43.39,49044800.0
2018-11-01,44.06,49.45,40.14,40.93,40.49,44480700.0
2018-12-01,41.8,42.18,29.78,32.2,31.86,46525600.0
2018-12-03,,,,,,
2019-01-01,31.66,38.63,31.35,36.57,36.37,38748500.0
2019-02-01,36.56,39.0,33.49,37.6,37.39,42174600.0
2019-03-01,37.9,38.98,35.02,36.8,36.59,26940700.0
2019-03-01,,,,,,
2019-04-01,37.15,41.91,37.15,39.74,39.74,23356200.0
2019-04-26,39.86,39.95,39.28,39.74,39.74,1675661.0
