Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,45.7,46.55,45.7,46.46,46.46,1005500
2019-04-02,46.52,47.14,46.27,46.69,46.69,1646900
2019-04-03,46.86,47.29,46.75,46.92,46.92,1062500
2019-04-04,47.0,47.66,46.9,47.63,47.63,593900
2019-04-05,47.9,48.14,47.72,47.96,47.96,719800
2019-04-08,47.87,48.24,47.56,48.2,48.2,538200
2019-04-09,47.71,47.88,47.2,47.66,47.66,1013100
2019-04-10,47.7,47.83,47.35,47.81,47.81,602000
2019-04-11,47.84,48.61,47.72,48.49,48.49,535200
2019-04-12,48.81,49.3,48.52,48.97,48.97,448400
2019-04-15,48.94,49.13,48.38,48.55,48.55,749900
2019-04-16,48.65,49.13,48.28,49.11,49.11,907700
2019-04-17,49.44,49.55,48.82,48.84,48.84,726700
2019-04-18,48.95,49.55,48.71,49.45,49.45,608800
2019-04-22,49.28,50.1,49.09,49.87,49.87,723600
2019-04-23,49.83,50.44,49.63,50.15,50.15,679600
2019-04-24,50.24,50.38,49.61,49.73,49.73,1010500
2019-04-25,49.3,49.3,48.35,48.5,48.5,1169000
