Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,248.82,250.82,246.9,249.06,249.06,920300
2019-04-02,250.65,251.06,248.47,250.1,250.1,568700
2019-04-03,250.94,250.94,249.02,249.97,249.97,531100
2019-04-04,250.26,250.43,246.72,248.32,248.32,404400
2019-04-05,249.33,250.88,248.46,250.31,250.31,402500
2019-04-08,250.18,251.01,247.86,250.88,250.88,220100
2019-04-09,249.42,251.41,249.42,250.28,250.28,339600
2019-04-10,250.9,252.34,249.89,250.15,250.15,313200
2019-04-11,250.42,251.42,248.71,249.92,249.92,715100
2019-04-12,251.36,251.8,249.55,251.38,251.38,309700
2019-04-15,251.75,252.66,250.28,251.57,251.57,337400
2019-04-16,252.97,253.96,251.22,252.09,252.09,264800
2019-04-17,252.45,253.6,250.64,251.17,251.17,370300
2019-04-18,250.77,251.51,248.62,251.42,251.42,413600
2019-04-22,249.83,252.85,249.83,252.5,252.5,359000
2019-04-23,253.94,257.18,252.4,256.67,256.67,326600
2019-04-24,256.52,257.68,255.7,256.34,256.34,343100
2019-04-25,256.2,257.83,255.36,257.22,257.22,269200
