Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,66.56,66.93,61.51,66.4,61.89,26049600.0
2014-06-01,66.46,68.08,60.28,61.74,57.55,29716400.0
2014-06-26,,,,,,
2014-07-01,61.77,62.04,56.37,56.57,52.85,25717000.0
2014-08-01,56.33,58.0,55.55,57.36,53.6,27870300.0
2014-09-01,57.48,57.81,49.42,49.6,46.34,37933000.0
2014-09-26,,,,,,
2014-10-01,49.17,51.75,44.27,49.74,46.61,49687000.0
2014-11-01,49.85,50.05,47.09,47.18,44.22,23874300.0
2014-12-01,47.09,50.3,46.42,49.46,46.35,33321200.0
2014-12-29,,,,,,
2015-01-01,49.51,52.12,48.06,49.87,46.88,23213300.0
2015-02-01,50.23,56.05,48.35,55.0,51.69,25425600.0
2015-03-01,55.0,56.13,49.35,49.65,46.67,23899600.0
2015-03-27,,,,,,
2015-04-01,49.71,52.19,48.92,51.44,48.51,26286600.0
2015-05-01,51.68,53.0,49.25,49.58,46.76,24422800.0
2015-06-01,49.7,49.96,44.39,45.58,42.98,22711500.0
2015-06-26,,,,,,
2015-07-01,45.74,45.74,40.82,42.1,39.84,20401100.0
2015-08-01,42.11,43.61,34.22,36.7,34.73,31294100.0
2015-09-01,35.78,37.28,28.26,29.41,27.83,47897000.0
2015-09-28,,,,,,
2015-10-01,29.49,35.98,28.87,35.31,33.6,57019700.0
2015-11-01,35.38,37.61,33.88,37.27,35.47,28126700.0
2015-12-01,37.44,37.44,31.6,33.94,32.3,31727700.0
2015-12-29,,,,,,
2016-01-01,32.79,33.43,29.01,30.98,29.62,31083000.0
2016-02-01,30.57,34.03,27.96,32.65,31.22,30730000.0
2016-03-01,33.05,36.45,32.58,35.01,33.48,29143900.0
2016-03-29,,,,,,
2016-04-01,34.61,38.46,31.85,37.52,36.05,32798900.0
2016-05-01,37.51,42.33,37.07,41.19,39.57,46375200.0
2016-06-01,41.19,43.86,36.25,40.16,38.59,38601700.0
2016-06-28,,,,,,
2016-07-01,40.08,42.66,37.52,41.23,39.79,25220200.0
2016-08-01,41.19,42.39,39.58,40.71,39.29,23097700.0
2016-09-01,40.76,42.61,38.51,41.93,40.46,26003000.0
2016-09-28,,,,,,
2016-10-01,41.81,42.23,39.7,40.67,39.4,16241100.0
2016-11-01,40.97,48.77,39.82,48.67,47.16,32877800.0
2016-12-01,49.09,52.04,48.39,49.05,47.53,17360700.0
2016-12-28,,,,,,
2017-01-01,49.64,54.5,48.93,52.18,50.72,21809400.0
2017-02-01,52.37,52.84,49.03,49.97,48.58,32632300.0
2017-03-01,50.64,62.48,50.54,60.36,58.67,45858700.0
2017-03-29,,,,,,
2017-04-01,61.58,65.85,60.55,63.51,61.93,45259700.0
2017-05-01,63.62,65.93,60.65,65.37,63.74,35695200.0
2017-06-01,65.44,67.11,61.95,63.36,61.78,27832800.0
2017-06-28,,,,,,
2017-07-01,63.85,67.91,63.01,66.24,64.76,17748900.0
2017-08-01,66.49,76.49,65.71,74.78,73.11,31409400.0
2017-09-01,75.18,81.04,74.08,77.46,75.72,29615600.0
2017-09-28,,,,,,
2017-10-01,77.46,82.46,76.35,80.54,78.91,23494900.0
2017-11-01,81.39,82.61,75.99,81.87,80.22,27138900.0
2017-12-01,81.96,83.28,75.94,82.1,80.44,23480100.0
2017-12-28,,,,,,
2018-01-01,82.72,85.6,75.54,79.21,77.76,33440600.0
2018-02-01,78.9,79.47,68.07,68.07,66.82,35778900.0
2018-03-01,68.07,73.49,63.08,66.41,65.2,36856200.0
2018-03-28,,,,,,
2018-04-01,66.71,72.44,63.92,69.15,68.06,31981100.0
2018-05-01,68.73,80.62,67.96,75.53,74.34,38517000.0
2018-06-01,75.89,79.24,74.1,77.37,76.15,31335500.0
2018-06-28,,,,,,
2018-07-01,76.79,78.99,74.14,77.95,76.89,23011400.0
2018-08-01,77.95,79.35,71.52,74.11,73.1,25959700.0
2018-09-01,73.22,78.98,70.26,75.61,74.58,22036100.0
2018-09-27,,,,,,
2018-10-01,76.12,80.45,64.38,67.72,66.94,32177300.0
2018-11-01,68.72,73.72,67.88,71.76,70.93,34542900.0
2018-12-01,73.63,75.46,60.16,64.15,63.4,22960500.0
2018-12-27,,,,,,
2019-01-01,63.09,70.54,62.81,69.21,68.84,17857600.0
2019-02-01,73.97,78.02,69.9,77.62,77.21,20939000.0
2019-03-01,77.62,79.95,73.96,76.82,76.41,22313400.0
2019-03-04,,,,,,
2019-03-28,,,,,,
2019-04-01,77.65,81.8,77.41,79.49,79.49,15814000.0
2019-04-26,79.1,79.93,78.61,79.49,79.49,600409.0
