Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,84.59,85.93,83.27,85.22,85.22,1221400
2019-04-02,85.38,85.9,84.27,85.63,85.63,1924300
2019-04-03,86.11,87.94,86.08,87.49,87.49,1632800
2019-04-04,87.81,87.85,82.44,83.5,83.5,3227400
2019-04-05,83.93,85.05,83.47,84.11,84.11,1138600
2019-04-08,84.09,86.85,83.31,86.08,86.08,1622200
2019-04-09,85.47,87.44,85.34,87.31,87.31,1800500
2019-04-10,87.6,89.97,87.38,89.62,89.62,2780100
2019-04-11,90.0,90.87,89.02,89.68,89.68,2030200
2019-04-12,90.3,92.91,90.02,92.71,92.71,2505300
2019-04-15,92.85,95.59,92.8,95.22,95.22,2523200
2019-04-16,95.95,96.96,93.44,94.05,94.05,2184400
2019-04-17,94.37,94.96,91.56,92.37,92.37,1777600
2019-04-18,89.86,91.12,88.21,91.08,91.08,2208900
2019-04-22,90.84,91.94,90.61,91.57,91.57,1244500
2019-04-23,91.8,92.13,90.28,91.99,91.99,1793200
2019-04-24,92.45,93.21,92.04,92.26,92.26,1385000
2019-04-25,92.82,93.38,91.35,92.9,92.9,1410600
