Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,10.02,10.13,10.0,10.1,10.1,51346000
2019-04-02,10.06,10.28,10.04,10.24,10.24,51748200
2019-04-03,10.26,10.28,10.0,10.1,10.1,56139500
2019-04-04,10.1,10.12,9.97,10.03,10.03,41034100
2019-04-05,10.07,10.14,9.98,10.01,10.01,43257200
2019-04-08,9.51,9.54,9.15,9.49,9.49,176008200
2019-04-09,9.35,9.41,9.12,9.22,9.22,83170700
2019-04-10,9.25,9.26,9.08,9.16,9.16,53871400
2019-04-11,9.12,9.26,9.1,9.12,9.12,54814800
2019-04-12,9.15,9.21,8.99,9.0,9.0,68461200
2019-04-15,9.01,9.05,8.79,8.98,8.98,82946700
2019-04-16,9.04,9.19,8.99,9.14,9.14,60236000
2019-04-17,9.16,9.18,9.06,9.12,9.12,48065100
2019-04-18,9.13,9.35,9.1,9.35,9.35,51509100
2019-04-22,9.25,9.35,9.18,9.32,9.32,67122500
2019-04-23,9.3,9.37,9.22,9.33,9.33,40504600
2019-04-24,9.31,9.35,9.21,9.32,9.32,28785100
2019-04-25,9.22,9.23,8.98,9.12,9.12,62313500
