Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,87.08,87.5,83.43,86.33,75.02,11271700.0
2014-06-01,86.37,87.94,84.81,87.8,76.3,10557300.0
2014-06-04,,,,,,
2014-07-01,87.0,89.9,82.82,82.82,72.46,13631800.0
2014-08-01,82.74,88.46,82.15,87.74,76.77,10636300.0
2014-09-01,87.95,90.2,86.48,87.71,76.74,9747300.0
2014-09-03,,,,,,
2014-10-01,86.0,97.13,84.99,97.08,85.5,16358500.0
2014-11-01,96.96,103.54,96.35,102.78,90.52,10870800.0
2014-12-01,102.62,109.0,101.38,106.57,93.85,12270300.0
2014-12-03,,,,,,
2015-01-01,107.4,108.07,92.83,92.94,82.31,25250000.0
2015-02-01,93.34,98.48,91.84,96.08,85.09,21511500.0
2015-03-01,96.15,97.29,91.74,93.19,82.53,14274800.0
2015-03-04,,,,,,
2015-04-01,92.82,94.41,89.47,89.85,80.09,14440200.0
2015-05-01,90.59,94.74,90.11,90.47,80.64,13210600.0
2015-06-01,90.54,92.95,89.17,89.53,79.81,11584100.0
2015-06-03,,,,,,
2015-07-01,89.46,91.02,85.8,88.95,79.83,15926100.0
2015-08-01,88.77,89.46,78.76,83.49,74.93,12210300.0
2015-09-01,82.06,86.25,80.49,82.89,74.39,13733400.0
2015-09-02,,,,,,
2015-10-01,82.56,91.38,79.77,90.76,82.08,21217300.0
2015-11-01,90.76,92.32,85.71,90.63,81.96,14857300.0
2015-12-01,91.03,91.42,83.1,85.89,77.67,12995200.0
2015-12-02,,,,,,
2016-01-01,84.81,86.26,76.5,86.17,78.46,18803900.0
2016-02-01,83.39,93.14,82.03,90.15,82.08,21230700.0
2016-03-01,90.97,99.59,90.78,99.36,90.47,15281800.0
2016-03-02,,,,,,
2016-04-01,98.63,100.0,95.58,95.97,88.01,16390500.0
2016-05-01,96.16,98.07,92.25,96.92,88.88,12751500.0
2016-06-01,96.06,101.28,94.1,101.25,92.85,12439600.0
2016-06-01,,,,,,
2016-07-01,101.25,105.97,98.33,102.24,94.4,15501800.0
2016-08-01,102.11,105.18,99.03,102.82,94.93,12077700.0
2016-09-01,103.0,104.04,95.96,100.45,92.74,14022000.0
2016-09-07,,,,,,
2016-10-01,99.57,100.34,88.51,90.59,84.18,15830000.0
2016-11-01,90.87,98.05,86.61,96.23,89.42,16591900.0
2016-12-01,96.16,99.92,94.88,95.54,88.78,11665300.0
2016-12-07,,,,,,
2017-01-01,96.42,100.4,94.42,96.81,90.57,13186200.0
2017-02-01,96.89,100.9,94.6,95.71,89.55,12818100.0
2017-03-01,96.54,97.26,91.93,92.41,86.46,14895400.0
2017-03-08,,,,,,
2017-04-01,92.5,94.99,88.88,92.02,86.72,16774700.0
2017-05-01,92.2,93.89,89.55,92.62,87.28,18730600.0
2017-06-01,93.04,95.87,89.01,92.76,87.42,18017900.0
2017-06-07,,,,,,
2017-07-01,92.8,93.97,80.86,84.93,80.63,29366500.0
2017-08-01,85.01,85.31,79.86,82.83,78.63,16524200.0
2017-09-01,83.23,97.65,83.1,95.65,90.81,20385900.0
2017-09-07,,,,,,
2017-10-01,95.49,98.63,87.33,88.23,84.43,18813800.0
2017-11-01,88.8,93.18,84.71,92.97,88.96,16654100.0
2017-12-01,93.09,95.96,90.97,95.01,90.92,15398600.0
2017-12-07,,,,,,
2018-01-01,95.54,107.75,95.54,104.07,100.31,17158100.0
2018-02-01,103.38,104.31,91.82,91.84,88.52,20744000.0
2018-03-01,91.73,93.14,86.45,89.84,86.59,18453000.0
2018-03-08,,,,,,
2018-04-01,89.4,92.75,85.8,88.32,85.8,20854100.0
2018-05-01,88.23,94.82,87.35,90.79,88.2,22056500.0
2018-06-01,91.03,95.52,90.7,91.79,89.17,14790700.0
2018-06-07,,,,,,
2018-07-01,91.36,99.56,90.37,97.31,95.26,18329600.0
2018-08-01,97.08,100.31,96.53,99.85,97.75,11376400.0
2018-09-01,99.66,102.49,98.73,99.4,97.31,11147800.0
2018-09-06,,,,,,
2018-10-01,99.6,102.76,93.62,97.92,96.55,27722900.0
2018-11-01,97.93,103.88,96.41,103.71,102.26,23864800.0
2018-12-01,104.23,105.89,91.04,96.02,94.68,17820500.0
2018-12-06,,,,,,
2019-01-01,95.09,99.91,92.97,99.82,99.11,18180700.0
2019-02-01,99.79,112.18,99.27,108.78,108.01,22916000.0
2019-03-01,109.46,112.16,105.57,112.03,111.24,18453200.0
2019-03-07,,,,,,
2019-04-01,112.68,115.2,102.34,103.58,103.58,15886700.0
2019-04-26,103.8,103.93,102.95,103.58,103.58,591109.0
