Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,33.5,35.15,32.87,34.28,34.12,31989600.0
2014-05-14,,,,,,
2014-06-01,34.27,36.44,34.26,36.42,36.27,23140600.0
2014-07-01,36.47,37.23,34.42,34.63,34.49,24702800.0
2014-08-01,34.51,36.46,33.67,36.36,36.21,23175000.0
2014-08-13,,,,,,
2014-09-01,36.36,36.89,34.37,34.94,34.82,24330400.0
2014-10-01,34.95,40.46,34.3,40.25,40.11,44992600.0
2014-11-01,40.24,43.35,40.0,43.18,43.03,18277000.0
2014-11-12,,,,,,
2014-12-01,42.94,42.94,38.58,40.37,40.24,21796400.0
2015-01-01,40.63,44.44,38.87,43.65,43.52,15814000.0
2015-02-01,43.79,46.49,43.14,45.93,45.79,7367800.0
2015-02-11,,,,,,
2015-03-01,45.94,46.98,43.84,45.84,45.72,11782300.0
2015-04-01,45.86,51.22,45.21,50.14,50.01,18006300.0
2015-05-01,50.44,53.03,50.08,52.19,52.05,11564700.0
2015-05-13,,,,,,
2015-06-01,52.35,53.9,51.38,51.72,51.61,11621600.0
2015-07-01,52.24,57.16,51.06,56.04,55.92,13210500.0
2015-08-01,56.05,59.29,50.69,55.69,55.57,11550200.0
2015-08-12,,,,,,
2015-09-01,54.48,59.01,54.03,57.37,57.26,12982600.0
2015-10-01,57.98,69.69,56.98,68.21,68.07,44218200.0
2015-11-01,68.12,72.91,66.87,70.85,70.71,27803300.0
2015-11-03,,,,,,
2015-11-10,,,,,,
2015-11-11,,,,,,
2015-12-01,71.07,74.64,62.71,64.51,64.41,50337000.0
2016-01-01,63.51,64.08,54.79,58.95,58.85,49747400.0
2016-02-01,58.48,62.99,51.29,60.95,60.85,32313200.0
2016-02-10,,,,,,
2016-03-01,61.28,65.55,58.11,65.3,65.21,35021800.0
2016-04-01,64.53,77.53,63.99,72.18,72.08,85525300.0
2016-05-01,72.76,78.3,71.72,77.69,77.58,27365100.0
2016-05-11,,,,,,
2016-06-01,77.29,78.92,67.04,71.38,71.29,32933400.0
2016-07-01,71.51,79.93,70.7,74.66,74.56,24094200.0
2016-08-01,74.68,77.36,70.78,75.95,75.85,27597000.0
2016-08-10,,,,,,
2016-09-01,76.17,77.93,72.47,76.76,76.67,26292700.0
2016-10-01,76.4,79.24,72.14,72.52,72.44,23937900.0
2016-11-01,72.88,73.58,64.63,68.55,68.47,27768400.0
2016-11-08,,,,,,
2016-11-09,,,,,,
2016-12-01,68.9,72.62,65.91,69.41,69.35,24097900.0
2017-01-01,69.98,80.88,69.04,77.28,77.21,31300900.0
2017-02-01,77.59,80.42,76.03,79.69,79.62,22185200.0
2017-02-08,,,,,,
2017-03-01,80.42,81.63,77.31,80.68,80.62,28946600.0
2017-04-01,80.86,82.37,76.47,81.76,81.7,20016400.0
2017-05-01,81.9,93.05,80.01,91.61,91.54,27794300.0
2017-06-01,91.96,93.52,87.3,90.32,90.25,22088500.0
2017-06-07,,,,,,
2017-07-01,90.86,95.68,87.86,94.37,94.31,17885700.0
2017-08-01,95.0,97.99,92.82,95.49,95.43,22905000.0
2017-09-01,95.79,98.14,92.97,95.03,94.97,19414700.0
2017-09-14,,,,,,
2017-10-01,95.21,104.0,95.01,103.95,103.9,21950200.0
2017-11-01,104.39,104.9,97.9,100.56,100.51,23166400.0
2017-12-01,100.46,103.39,95.32,100.24,100.19,22280100.0
2017-12-14,,,,,,
2018-01-01,100.69,113.26,98.82,111.78,111.73,20623400.0
2018-02-01,111.67,115.47,99.45,113.39,113.34,26098600.0
2018-03-01,113.62,118.94,108.85,111.52,111.47,19706300.0
2018-03-15,,,,,,
2018-04-01,111.45,113.61,107.38,113.05,113.01,19674700.0
2018-05-01,112.76,116.7,108.56,111.16,111.12,23879700.0
2018-06-01,111.76,119.69,108.54,111.49,111.45,22249600.0
2018-06-14,,,,,,
2018-07-01,110.65,118.53,110.14,112.57,112.54,18030300.0
2018-08-01,112.16,125.55,111.72,124.58,124.55,23838400.0
2018-09-01,124.38,129.25,122.69,127.4,127.37,17419500.0
2018-09-13,,,,,,
2018-10-01,128.22,128.38,106.86,114.23,114.21,33708700.0
2018-11-01,114.54,116.49,100.01,111.81,111.79,24600200.0
2018-12-01,114.27,114.78,94.81,103.13,103.11,26139800.0
2018-12-13,,,,,,
2019-01-01,101.55,114.67,98.56,112.28,112.27,31320800.0
2019-02-01,112.09,130.97,112.09,130.38,130.37,27227000.0
2019-03-01,131.5,137.13,128.12,136.52,136.51,21141200.0
2019-03-14,,,,,,
2019-04-01,137.88,144.9,134.98,144.89,144.89,15754200.0
2019-04-26,144.0,144.9,143.04,144.89,144.89,536581.0
