Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,194.0,198.09,193.61,196.74,196.74,3562600
2019-04-02,196.24,197.76,195.4,197.5,197.5,2247000
2019-04-03,199.25,201.09,198.54,200.86,200.86,3227900
2019-04-04,200.8,204.29,200.5,202.23,202.23,2582300
2019-04-05,203.38,205.5,202.06,202.38,202.38,2447100
2019-04-08,202.79,203.63,201.18,202.54,202.54,1891500
2019-04-09,201.23,201.59,198.86,200.62,200.62,2400900
2019-04-10,201.8,203.17,200.27,202.98,202.98,1907100
2019-04-11,204.23,205.45,201.57,202.83,202.83,2802100
2019-04-12,207.0,209.97,206.37,207.84,207.84,5096600
2019-04-15,204.11,205.74,199.7,199.91,199.91,6617200
2019-04-16,199.62,202.94,199.24,201.84,201.84,4852600
2019-04-17,201.96,208.5,201.78,207.9,207.9,4195300
2019-04-18,207.09,207.86,205.15,205.91,205.91,2874300
2019-04-22,205.12,205.59,204.14,204.6,204.6,1591400
2019-04-23,204.25,205.19,202.74,204.14,204.14,2120900
2019-04-24,203.0,203.52,199.73,200.54,200.54,4606100
2019-04-25,199.7,202.56,199.1,201.4,201.4,2074700
