Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,29.63,30.17,29.35,30.14,30.14,11365500
2019-04-02,30.11,30.72,29.93,29.94,29.94,11866500
2019-04-03,30.13,30.46,29.75,29.93,29.93,8063000
2019-04-04,29.92,30.54,29.59,30.42,30.42,9072200
2019-04-05,30.56,31.15,30.39,30.97,30.97,8285800
2019-04-08,31.09,31.43,31.02,31.29,31.29,6805200
2019-04-09,31.06,31.09,30.58,30.81,30.81,7704200
2019-04-10,30.96,31.33,30.9,31.04,31.04,4913400
2019-04-11,31.0,31.45,30.82,31.2,31.2,5744500
2019-04-12,31.6,31.81,31.07,31.33,31.33,7024200
2019-04-15,31.26,31.71,30.98,31.29,31.29,6961100
2019-04-16,31.52,31.94,31.33,31.81,31.81,5614300
2019-04-17,32.08,32.21,31.56,31.59,31.59,10626300
2019-04-18,31.7,32.3,31.09,31.13,31.13,9759200
2019-04-22,31.82,32.09,30.61,31.09,31.09,22164600
2019-04-23,31.18,31.54,30.73,31.15,31.15,13363800
2019-04-24,30.96,31.0,30.01,30.11,30.11,11444000
2019-04-25,30.16,30.18,29.19,29.22,29.22,8589700
