Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,12.77,13.18,12.77,13.14,13.14,15140700
2019-04-02,13.1,13.33,13.05,13.18,13.18,9446300
2019-04-03,13.33,13.48,13.16,13.21,13.21,11723300
2019-04-04,13.16,13.39,13.12,13.32,13.32,13264600
2019-04-05,13.34,13.39,13.22,13.31,13.31,12583900
2019-04-08,13.3,13.4,13.27,13.4,13.4,11993500
2019-04-09,13.33,13.37,13.12,13.17,13.17,12937600
2019-04-10,13.23,13.31,13.0,13.3,13.3,11536300
2019-04-11,13.4,13.5,13.27,13.35,13.35,8451200
2019-04-12,13.54,13.81,13.46,13.69,13.69,14201700
2019-04-15,13.7,13.72,13.44,13.46,13.46,8636700
2019-04-16,13.49,13.72,13.29,13.66,13.66,15827500
2019-04-17,13.7,13.83,13.58,13.83,13.83,9547300
2019-04-18,13.82,13.82,13.6,13.61,13.61,13804800
2019-04-22,13.62,13.71,13.52,13.64,13.64,7472400
2019-04-23,13.67,13.81,13.49,13.79,13.79,9995700
2019-04-24,13.75,13.78,13.53,13.74,13.74,8957600
2019-04-25,13.54,13.96,13.21,13.68,13.68,17189100
