Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,35.75,36.32,33.64,34.65,31.44,70994900.0
2014-05-29,,,,,,
2014-06-01,34.81,36.38,34.69,35.81,32.63,45775800.0
2014-07-01,35.97,36.87,34.04,34.16,31.13,63185100.0
2014-08-01,34.07,37.32,33.64,37.05,33.76,70987700.0
2014-08-28,,,,,,
2014-09-01,37.16,38.24,36.54,37.25,34.11,64016400.0
2014-10-01,37.21,39.82,34.73,39.58,36.24,103961700.0
2014-11-01,39.79,41.69,39.21,41.3,37.82,52058300.0
2014-11-26,,,,,,
2014-12-01,41.15,42.47,39.86,41.69,38.34,65147700.0
2015-01-01,41.94,42.19,38.88,38.9,35.77,63276800.0
2015-02-01,38.93,41.77,38.65,40.96,37.67,63097400.0
2015-03-01,40.96,43.42,40.42,41.82,38.46,68176500.0
2015-03-05,,,,,,
2015-04-01,41.7,42.95,40.63,40.77,37.66,53805800.0
2015-05-01,41.07,42.5,40.67,41.11,37.97,45853200.0
2015-05-28,,,,,,
2015-06-01,41.3,44.13,40.85,41.57,38.57,57962200.0
2015-07-01,42.62,48.07,42.53,47.55,44.11,102898800.0
2015-08-01,47.84,50.95,42.04,47.01,43.61,94373100.0
2015-08-28,,,,,,
2015-09-01,44.89,46.7,43.81,45.78,42.66,68203000.0
2015-10-01,45.75,49.41,44.52,46.26,43.11,70547100.0
2015-11-01,46.42,47.79,45.02,45.64,42.53,50461900.0
2015-11-27,,,,,,
2015-12-01,45.92,46.97,41.68,43.46,40.69,54967300.0
2016-01-01,42.67,43.59,36.54,40.18,37.62,65930700.0
2016-02-01,39.87,43.33,38.06,42.12,39.43,61830700.0
2016-03-01,42.5,46.86,42.45,46.08,43.14,61108900.0
2016-03-03,,,,,,
2016-04-01,45.85,46.91,42.97,44.38,41.75,52083600.0
2016-05-01,44.67,45.89,43.46,45.17,42.49,46943500.0
2016-05-27,,,,,,
2016-06-01,44.85,45.23,40.84,44.38,41.95,51037000.0
2016-07-01,44.16,44.81,38.92,39.85,37.67,61977600.0
2016-08-01,39.88,41.12,39.49,41.07,38.82,73393400.0
2016-08-30,,,,,,
2016-09-01,41.19,43.2,40.31,42.82,40.68,72035000.0
2016-10-01,42.75,45.39,42.3,44.11,41.91,53180700.0
2016-11-01,44.28,48.17,43.18,47.12,44.77,53087100.0
2016-11-29,,,,,,
2016-12-01,47.27,48.82,47.17,47.65,45.49,47200100.0
2017-01-01,48.35,49.68,47.47,48.71,46.51,54331200.0
2017-02-01,48.98,49.12,46.79,48.89,46.68,52094300.0
2017-03-01,49.74,50.26,46.35,48.07,45.9,67654000.0
2017-03-02,,,,,,
2017-04-01,47.99,48.71,46.69,48.36,46.39,61580900.0
2017-05-01,48.53,49.9,48.21,49.39,47.37,45646100.0
2017-05-30,,,,,,
2017-06-01,49.36,53.38,49.0,52.57,50.66,52528100.0
2017-07-01,52.78,55.29,52.43,55.0,53.0,39726300.0
2017-08-01,55.29,57.16,53.59,54.07,52.11,45254900.0
2017-08-30,,,,,,
2017-09-01,54.14,55.49,51.2,55.43,53.64,43542300.0
2017-10-01,55.89,56.99,53.6,55.05,53.28,42441500.0
2017-11-01,55.3,58.16,54.84,57.44,55.59,34808700.0
2017-11-30,,,,,,
2017-12-01,57.54,58.61,54.18,56.28,54.7,50522300.0
2018-01-01,56.34,59.2,54.29,58.76,57.12,47465800.0
2018-02-01,58.6,58.93,52.58,52.85,51.37,50440500.0
2018-03-01,52.75,56.13,50.15,51.52,50.08,52960000.0
2018-03-02,,,,,,
2018-04-01,51.39,55.16,49.67,53.84,52.59,42622700.0
2018-05-01,53.67,54.04,50.83,52.33,51.11,41598400.0
2018-05-31,,,,,,
2018-06-01,52.9,53.76,50.46,51.13,50.18,45550400.0
2018-07-01,50.88,53.87,50.47,52.7,51.72,39535900.0
2018-08-01,52.86,53.07,49.82,50.37,49.43,53021900.0
2018-08-31,,,,,,
2018-09-01,50.39,52.0,48.79,49.96,49.32,47206000.0
2018-10-01,50.08,51.06,43.31,45.42,44.84,68292900.0
2018-11-01,45.69,47.23,43.32,44.19,43.62,58150300.0
2018-11-30,,,,,,
2018-12-01,44.53,44.74,40.54,44.45,44.18,70356800.0
2019-01-01,43.57,47.37,42.77,46.92,46.63,50387300.0
2019-02-01,47.11,49.53,45.93,49.36,49.06,43497700.0
2019-03-01,49.44,49.79,47.5,49.72,49.42,43954300.0
2019-03-01,,,,,,
2019-04-01,49.94,51.72,49.22,51.56,51.56,29664900.0
2019-04-26,51.12,51.6,50.92,51.56,51.56,1276617.0
