Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,160.0,161.77,159.76,161.47,161.47,2393600
2019-04-02,161.32,161.55,159.86,161.04,161.04,3332700
2019-04-03,161.63,161.95,160.16,160.29,160.29,3815200
2019-04-04,160.26,161.35,159.79,161.07,161.07,1967300
2019-04-05,161.62,162.18,161.18,161.7,161.7,1745000
2019-04-08,161.2,162.1,160.55,162.06,162.06,1854000
2019-04-09,161.18,161.53,160.55,160.85,160.85,1932500
2019-04-10,160.8,160.8,159.21,159.97,159.97,2381000
2019-04-11,160.18,161.05,159.68,160.9,160.9,1756200
2019-04-12,161.91,162.63,161.4,162.47,162.47,2118900
2019-04-15,162.75,162.87,161.79,162.0,162.0,2392800
2019-04-16,162.58,162.92,162.13,162.86,162.86,3007100
2019-04-17,163.31,164.65,162.66,162.89,162.89,3416400
2019-04-18,167.52,169.86,165.89,169.06,169.06,6376900
2019-04-22,168.25,169.42,167.5,168.24,168.24,3264700
2019-04-23,168.25,172.0,168.01,171.81,171.81,4169400
2019-04-24,171.77,172.11,171.05,171.29,171.29,3825200
2019-04-25,170.7,170.95,168.62,170.42,170.42,3340300
