Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,44.68,44.73,43.47,43.78,43.56,2196700
2019-04-02,43.75,43.77,43.05,43.08,42.86,3067200
2019-04-03,43.03,43.07,41.91,41.93,41.72,4455000
2019-04-04,42.01,42.2,41.52,41.58,41.37,2754400
2019-04-05,41.68,42.1,41.63,41.93,41.72,1937000
2019-04-08,41.87,42.33,41.64,42.32,42.11,2294400
2019-04-09,42.3,42.38,41.62,41.75,41.54,2370200
2019-04-10,41.75,42.02,41.5,41.75,41.54,2119900
2019-04-11,41.83,41.83,41.13,41.56,41.35,2591800
2019-04-12,41.27,41.33,40.91,41.15,41.15,2726400
2019-04-15,41.25,41.37,40.78,41.1,41.1,2107700
2019-04-16,41.14,41.5,40.43,40.78,40.78,2457200
2019-04-17,40.91,40.98,40.07,40.72,40.72,3869400
2019-04-18,40.67,40.89,40.25,40.39,40.39,4197300
2019-04-22,40.28,40.68,40.25,40.43,40.43,2281700
2019-04-23,38.88,39.78,38.78,39.24,39.24,6212700
2019-04-24,39.52,40.02,39.25,39.81,39.81,4916800
2019-04-25,39.67,40.4,39.53,39.66,39.66,2758800
