Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,73.34,79.32,72.74,77.25,69.04,11730300.0
2014-05-28,,,,,,
2014-06-01,77.25,77.9,74.55,75.75,68.07,10842500.0
2014-07-01,76.0,76.5,66.85,68.27,61.35,15344200.0
2014-08-01,68.05,71.9,67.93,71.39,64.15,10219300.0
2014-09-01,71.26,71.58,66.4,66.4,59.67,9978100.0
2014-09-05,,,,,,
2014-10-01,66.34,70.05,60.78,69.6,62.96,14757800.0
2014-11-01,69.7,72.13,69.55,71.67,64.84,9630900.0
2014-11-18,,,,,,
2014-12-01,71.6,74.27,68.31,71.82,65.41,16399900.0
2015-01-01,72.35,72.57,66.57,67.13,61.14,11917600.0
2015-02-01,67.54,78.91,66.15,77.68,70.75,24926500.0
2015-03-01,77.68,79.35,69.84,78.76,71.73,30662400.0
2015-03-06,,,,,,
2015-04-01,78.5,82.79,77.77,80.24,73.53,22992200.0
2015-05-01,80.77,81.43,77.17,79.22,72.59,23581300.0
2015-05-20,,,,,,
2015-06-01,79.92,80.67,76.35,76.91,70.9,18369400.0
2015-07-01,77.53,83.33,75.66,82.94,76.46,17856400.0
2015-08-01,82.75,84.78,72.49,77.06,71.04,22038700.0
2015-09-01,75.42,77.64,70.1,73.15,67.43,20837400.0
2015-09-09,,,,,,
2015-10-01,72.99,80.1,71.89,79.13,73.42,18528300.0
2015-11-01,79.3,83.95,77.0,83.13,77.13,17908200.0
2015-11-17,,,,,,
2015-12-01,83.41,89.78,81.64,86.9,81.13,20835700.0
2016-01-01,86.4,89.35,81.57,86.97,81.2,28117500.0
2016-02-01,86.08,87.14,70.97,78.02,72.84,30412000.0
2016-03-01,78.77,81.89,76.73,77.86,72.69,22753200.0
2016-03-08,,,,,,
2016-04-01,77.39,80.87,74.65,80.01,75.17,20552400.0
2016-05-01,80.13,80.95,73.32,78.77,74.01,21208000.0
2016-05-27,,,,,,
2016-05-31,,,,,,
2016-06-01,78.35,84.75,78.26,83.44,79.39,22112800.0
2016-07-01,83.5,86.77,80.78,86.62,82.42,11485000.0
2016-08-01,86.48,93.06,85.41,92.98,88.47,17232500.0
2016-09-01,93.22,94.09,88.91,91.61,87.16,14976700.0
2016-09-07,,,,,,
2016-10-01,91.31,93.39,88.89,89.21,85.36,11573500.0
2016-11-01,92.28,105.93,90.95,103.56,99.09,19852100.0
2016-11-16,,,,,,
2016-12-01,104.06,107.54,102.09,102.47,98.55,13365000.0
2017-01-01,103.38,104.71,99.13,102.71,98.78,10991500.0
2017-02-01,102.82,111.67,100.79,109.9,105.69,19279700.0
2017-03-01,110.8,113.0,109.2,111.27,107.01,17172700.0
2017-03-10,,,,,,
2017-04-01,111.38,113.58,109.01,111.89,108.13,16000500.0
2017-05-01,111.56,112.23,106.18,112.16,108.39,20867100.0
2017-05-31,,,,,,
2017-06-01,112.26,114.32,107.78,109.08,105.92,19748200.0
2017-07-01,109.8,116.09,109.08,114.47,111.16,14580400.0
2017-08-01,113.62,123.26,111.72,122.9,119.34,15544300.0
2017-09-01,123.52,132.0,121.38,131.68,127.87,13824700.0
2017-09-07,,,,,,
2017-10-01,131.82,139.53,131.52,139.32,135.92,10346100.0
2017-11-01,140.86,144.94,135.95,144.5,140.97,14748000.0
2017-11-16,,,,,,
2017-12-01,144.2,144.7,138.08,141.65,138.76,12331700.0
2018-01-01,142.04,160.23,140.84,159.38,156.13,15405700.0
2018-02-01,158.87,161.04,143.03,156.15,152.96,16204100.0
2018-03-01,156.4,164.58,150.05,161.28,157.99,18930500.0
2018-03-07,,,,,,
2018-04-01,160.98,170.54,156.08,156.42,153.8,14611100.0
2018-05-01,157.16,157.54,143.26,150.47,147.95,16742600.0
2018-05-31,,,,,,
2018-06-01,151.29,156.2,142.5,144.54,142.65,15062300.0
2018-07-01,143.7,165.84,142.95,164.95,162.79,13616200.0
2018-08-01,164.01,168.91,160.4,162.51,160.38,15307000.0
2018-09-01,162.51,169.98,159.7,169.21,166.99,11957600.0
2018-09-06,,,,,,
2018-10-01,170.0,175.5,143.16,148.71,147.38,28489100.0
2018-11-01,149.75,153.77,139.15,142.95,141.67,23828900.0
2018-11-21,,,,,,
2018-12-01,145.33,148.93,123.24,134.65,134.08,25377300.0
2019-01-01,133.03,156.27,129.46,153.18,152.53,26386000.0
2019-02-01,153.35,167.09,152.6,164.93,164.23,16641000.0
2019-03-01,165.47,166.62,156.9,159.71,159.03,16761200.0
2019-03-07,,,,,,
2019-04-01,161.59,168.4,159.29,166.45,166.45,12009600.0
2019-04-26,165.37,166.82,165.02,166.45,166.45,437672.0
