Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,161.59,163.52,161.01,163.3,163.3,720100
2019-04-02,163.71,163.94,161.79,161.9,161.9,494100
2019-04-03,162.59,163.01,159.29,160.0,160.0,683100
2019-04-04,160.36,163.48,160.36,162.31,162.31,794700
2019-04-05,162.73,164.57,162.6,164.5,164.5,832500
2019-04-08,164.49,164.76,162.99,164.01,164.01,602100
2019-04-09,163.14,163.68,162.37,163.18,163.18,733500
2019-04-10,162.99,163.17,161.87,162.69,162.69,844900
2019-04-11,162.41,165.63,162.41,165.22,165.22,625000
2019-04-12,165.75,167.99,165.66,167.84,167.84,481700
2019-04-15,168.13,168.29,165.04,165.71,165.71,612800
2019-04-16,165.97,167.27,165.97,166.12,166.12,478500
2019-04-17,166.35,167.15,165.79,166.16,166.16,556100
2019-04-18,166.09,167.35,165.54,165.65,165.65,485900
2019-04-22,165.07,165.5,163.62,164.86,164.86,610900
2019-04-23,166.59,168.28,166.0,167.52,167.52,848500
2019-04-24,168.14,168.4,165.83,166.41,166.41,632900
2019-04-25,165.84,166.02,163.16,164.75,164.75,476400
