Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,196.31,196.74,182.33,184.36,151.07,70018300.0
2014-05-07,,,,,,
2014-06-01,184.76,187.65,179.27,181.27,149.4,78501700.0
2014-07-01,181.7,196.4,181.7,191.67,157.97,97597800.0
2014-08-01,190.5,194.13,183.58,192.3,158.49,53454100.0
2014-08-06,,,,,,
2014-09-01,192.68,195.0,188.12,189.83,157.38,64179600.0
2014-10-01,189.91,190.89,161.1,164.4,136.3,146255300.0
2014-11-01,164.25,164.97,159.8,162.17,134.45,80015600.0
2014-11-06,,,,,,
2014-12-01,161.64,164.52,150.5,160.44,133.93,101583300.0
2015-01-01,161.31,163.31,149.52,153.31,127.97,117006200.0
2015-02-01,154.0,164.99,151.51,161.94,135.18,76963200.0
2015-02-06,,,,,,
2015-03-01,161.94,165.35,153.4,160.5,134.92,104847300.0
2015-04-01,160.23,175.13,158.39,171.29,143.99,93533800.0
2015-05-01,173.2,176.3,168.84,169.65,142.61,57785700.0
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-06-01,170.21,171.56,162.12,162.66,138.83,80846400.0
2015-07-01,163.97,173.78,158.5,161.99,138.26,93854600.0
2015-08-01,161.7,161.85,140.62,147.89,126.22,93667600.0
2015-08-06,,,,,,
2015-09-01,144.91,149.68,141.15,144.97,124.76,81556300.0
2015-10-01,145.31,153.15,137.33,140.08,120.55,120371200.0
2015-11-01,140.5,142.8,131.65,139.42,119.98,85427700.0
2015-11-06,,,,,,
2015-12-01,139.58,141.4,133.91,137.62,119.54,97954000.0
2016-01-01,135.6,136.89,118.0,124.79,108.4,126221600.0
2016-02-01,124.4,134.92,116.9,131.03,113.82,106605800.0
2016-02-08,,,,,,
2016-03-01,132.24,153.1,132.03,151.45,132.9,105698400.0
2016-04-01,150.51,153.52,142.61,145.94,128.06,93489400.0
2016-05-01,146.56,153.81,142.9,153.74,134.91,75181700.0
2016-05-06,,,,,,
2016-05-09,,,,,,
2016-06-01,153.0,155.48,142.5,151.78,135.76,76966700.0
2016-07-01,151.78,163.6,149.92,160.62,143.67,69408600.0
2016-08-01,160.65,164.95,157.85,158.88,142.12,69316700.0
2016-08-08,,,,,,
2016-09-01,158.32,165.0,153.21,158.85,143.32,69885800.0
2016-10-01,158.06,158.53,147.79,153.69,138.66,78230800.0
2016-11-01,153.5,164.66,151.0,162.22,146.36,76307100.0
2016-11-08,,,,,,
2016-12-01,161.95,169.95,158.3,165.99,151.12,68957500.0
2017-01-01,167.0,179.25,165.34,174.52,158.88,88746500.0
2017-02-01,175.0,182.79,172.89,179.82,163.71,59612000.0
2017-02-08,,,,,,
2017-03-01,180.48,182.55,172.09,174.14,159.79,79477000.0
2017-04-01,173.82,176.33,159.6,160.29,147.08,100052300.0
2017-05-01,160.05,160.42,149.79,152.63,140.05,103329100.0
2017-05-08,,,,,,
2017-06-01,152.8,157.2,150.8,153.83,142.53,83977000.0
2017-07-01,153.58,156.03,143.64,144.67,134.05,93293500.0
2017-08-01,145.0,145.67,139.13,143.03,132.53,80268700.0
2017-08-08,,,,,,
2017-09-01,142.98,147.42,141.64,145.08,135.85,78296700.0
2017-10-01,145.35,162.51,145.21,154.06,144.25,125345600.0
2017-11-01,154.1,154.9,146.21,153.97,144.17,89775600.0
2017-11-09,,,,,,
2017-12-01,154.4,157.85,151.49,153.42,145.09,88788100.0
2018-01-01,154.5,171.13,153.54,163.7,154.81,145006900.0
2018-02-01,163.19,164.13,144.4,155.83,147.37,102364900.0
2018-02-08,,,,,,
2018-03-01,155.53,162.11,148.54,153.43,146.53,94316900.0
2018-04-01,153.34,162.0,144.11,144.96,138.44,122745300.0
2018-05-01,144.65,146.2,139.9,141.31,134.95,88735200.0
2018-05-09,,,,,,
2018-06-01,142.43,147.52,137.45,139.7,134.9,89801400.0
2018-07-01,138.28,150.54,138.2,144.93,139.95,94954000.0
2018-08-01,144.76,147.93,142.0,146.48,141.44,79195100.0
2018-08-09,,,,,,
2018-09-01,145.98,153.35,144.81,151.21,147.59,95867900.0
2018-10-01,151.71,154.36,114.09,115.43,112.67,198093000.0
2018-11-01,115.5,125.06,114.54,124.27,121.29,141718900.0
2018-11-08,,,,,,
2018-12-01,125.67,126.59,105.94,113.67,112.36,115604100.0
2019-01-01,112.01,135.41,111.69,134.42,132.87,120260700.0
2019-02-01,134.97,140.49,132.12,138.13,136.54,68461200.0
2019-02-07,,,,,,
2019-03-01,139.31,142.12,133.58,141.1,141.1,74686800.0
2019-04-01,141.51,145.39,136.26,139.44,139.44,72600400.0
2019-04-26,139.34,139.89,138.81,139.44,139.44,2185848.0
