Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,141.51,143.41,141.51,143.3,143.3,3984300
2019-04-02,143.35,143.95,142.6,143.0,143.0,2404800
2019-04-03,143.65,144.22,143.01,143.63,143.63,2681200
2019-04-04,143.62,144.14,142.54,142.78,142.78,2771100
2019-04-05,143.29,143.5,142.46,143.28,143.28,2731800
2019-04-08,143.02,143.42,142.87,143.39,143.39,2118200
2019-04-09,142.66,142.95,141.84,142.11,142.11,3038500
2019-04-10,142.2,143.5,141.98,143.02,143.02,2678000
2019-04-11,143.8,144.11,143.03,143.78,143.78,2942000
2019-04-12,144.26,144.44,143.7,144.35,144.35,2898900
2019-04-15,144.4,144.46,143.27,143.9,143.9,3603200
2019-04-16,144.4,145.39,144.02,145.14,145.14,6301700
2019-04-17,137.37,141.98,136.26,139.11,139.11,12525700
2019-04-18,139.0,140.49,138.7,140.33,140.33,4960000
2019-04-22,139.42,140.56,138.48,138.89,138.89,4494000
2019-04-23,139.15,140.92,138.94,140.44,140.44,4462200
2019-04-24,140.6,141.31,139.78,139.95,139.95,2774900
2019-04-25,139.7,139.75,137.71,138.63,138.63,2910100
