Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,63.22,66.7,62.83,64.24,64.24,11375800.0
2014-06-01,64.25,68.07,63.76,66.79,66.79,8921400.0
2014-07-01,66.79,70.0,62.22,62.24,62.24,16649200.0
2014-08-01,62.22,64.54,60.77,61.99,61.99,16891800.0
2014-09-01,62.15,63.88,56.74,58.92,58.92,23012400.0
2014-10-01,58.69,72.25,57.56,70.83,70.83,28463400.0
2014-11-01,71.04,76.94,69.99,74.68,74.68,18647000.0
2014-12-01,74.56,75.5,71.32,74.14,74.14,14238500.0
2015-01-01,74.32,84.25,72.38,79.21,79.21,9149800.0
2015-02-01,79.54,80.46,76.16,78.42,78.42,6710700.0
2015-03-01,78.26,79.93,74.02,77.24,77.24,7030300.0
2015-04-01,76.89,82.24,61.37,62.69,62.69,10637500.0
2015-05-01,62.5,69.82,62.5,67.8,67.8,9885900.0
2015-06-01,67.89,68.51,63.37,64.14,64.14,14616300.0
2015-06-16,,,,,,
2015-07-01,64.97,73.77,61.58,72.73,72.73,21999200.0
2015-08-01,73.19,79.62,69.77,71.47,71.47,15017800.0
2015-09-01,69.94,79.11,69.46,74.25,74.25,11553900.0
2015-10-01,74.08,77.27,65.03,68.62,68.62,20183000.0
2015-11-01,68.66,71.44,66.08,70.82,70.82,10604700.0
2015-12-01,70.25,74.99,68.0,72.92,72.92,10170900.0
2016-01-01,72.35,72.82,63.48,70.14,70.14,17590700.0
2016-02-01,69.85,74.4,66.82,73.16,73.16,15301100.0
2016-03-01,73.42,79.03,72.29,78.32,78.32,12972500.0
2016-04-01,77.53,84.5,76.55,84.35,84.35,17457500.0
2016-05-01,85.0,91.94,83.65,87.57,87.57,21892100.0
2016-06-01,87.56,92.87,85.98,92.86,92.86,14228600.0
2016-07-01,93.16,95.55,92.52,93.79,93.79,8382100.0
2016-08-01,93.43,113.48,93.14,112.68,112.68,14044600.0
2016-09-01,113.01,115.06,107.71,112.73,112.73,8640400.0
2016-10-01,112.37,117.84,103.77,107.14,107.14,10287900.0
2016-11-01,110.05,121.06,102.45,117.65,117.65,12142500.0
2016-12-01,118.19,121.77,113.47,117.27,117.27,10665800.0
2017-01-01,118.29,122.47,113.92,122.33,122.33,34764900.0
2017-02-01,122.4,146.17,121.19,144.94,144.94,16550500.0
2017-03-01,145.84,155.65,145.24,154.61,154.61,16145500.0
2017-04-01,155.07,172.0,153.24,167.73,167.73,11219800.0
2017-05-01,168.3,169.23,158.83,168.39,168.39,12210700.0
2017-06-01,166.88,173.01,156.02,161.42,161.42,15625000.0
2017-07-01,162.39,171.37,157.77,166.46,166.46,10515400.0
2017-08-01,163.84,165.41,148.8,155.43,155.43,14749400.0
2017-09-01,155.72,162.49,152.96,155.49,155.49,8824600.0
2017-10-01,156.13,168.66,153.45,166.17,166.17,8890500.0
2017-11-01,167.79,167.79,146.09,156.41,156.41,12687300.0
2017-12-01,156.14,165.77,151.74,156.38,156.38,9377300.0
2018-01-01,157.59,188.55,157.53,187.04,187.04,10507300.0
2018-02-01,189.53,198.73,166.7,187.23,187.23,13556200.0
2018-03-01,187.39,207.14,180.33,191.39,191.39,11585300.0
2018-04-01,191.29,202.26,183.86,194.49,194.49,7663100.0
2018-05-01,194.02,217.89,189.42,208.21,208.21,12196100.0
2018-06-01,210.51,229.01,210.51,217.94,217.94,8600400.0
2018-07-01,216.83,252.49,215.28,244.93,244.93,8627800.0
2018-08-01,244.93,256.22,227.79,254.04,254.04,9757100.0
2018-09-01,253.37,254.28,239.01,249.66,249.66,8882700.0
2018-10-01,250.0,252.69,199.86,212.12,212.12,13318800.0
2018-11-01,196.88,212.18,188.75,203.76,203.76,11663900.0
2018-12-01,206.25,207.75,176.15,186.02,186.02,12602900.0
2019-01-01,182.49,213.0,176.11,212.78,212.78,11823700.0
2019-02-01,214.03,214.5,201.59,211.03,211.03,9840800.0
2019-03-01,213.25,226.15,198.75,223.6,223.6,10581200.0
2019-04-01,225.52,233.06,214.25,232.47,232.47,8423600.0
2019-04-26,227.79,233.06,227.05,232.47,232.47,391467.0
