Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,47.32,58.34,46.11,49.55,49.55,42725300
2014-06-01,49.41,57.36,46.55,56.44,56.44,30167000
2014-07-01,56.56,57.34,45.06,47.57,47.57,24431900
2014-08-01,47.84,55.77,46.09,54.2,54.2,16146900
2014-09-01,54.5,54.5,46.14,49.05,49.05,18480100
2014-10-01,49.14,70.33,43.86,67.06,67.06,31029100
2014-11-01,66.93,76.37,66.29,75.55,75.55,29621600
2014-12-01,75.88,80.78,69.45,73.11,73.11,24967200
2015-01-01,73.65,84.73,69.05,79.71,79.71,24670100
2015-02-01,80.44,88.44,72.62,85.85,85.85,20949200
2015-03-01,85.48,99.0,85.19,91.66,91.66,28245400
2015-04-01,92.3,111.93,87.18,97.16,97.16,26780500
2015-05-01,98.86,111.11,96.83,110.15,110.15,19350700
2015-06-01,111.63,113.55,100.59,104.21,104.21,21113600
2015-07-01,105.15,121.7,99.65,104.28,104.28,21074000
2015-08-01,104.28,121.93,89.37,116.19,116.19,30474300
2015-09-01,114.85,133.62,89.21,110.33,110.33,36655200
2015-10-01,110.37,131.33,99.8,117.53,117.53,49805200
2015-11-01,119.33,124.98,90.33,114.24,114.24,36502300
2015-12-01,114.99,118.49,105.0,108.45,108.45,26584200
2016-01-01,106.5,106.81,64.51,70.56,70.56,51595700
2016-02-01,70.0,77.29,55.0,73.5,73.5,65858100
2016-03-01,74.01,76.5,60.3,72.47,72.47,37973300
2016-04-01,73.2,84.42,70.01,72.27,72.27,26285500
2016-05-01,72.03,86.2,68.03,84.41,84.41,25682200
2016-06-01,83.92,87.88,71.75,79.98,79.98,25111000
2016-07-01,79.61,90.35,78.4,90.21,90.21,16328700
2016-08-01,90.62,92.82,75.52,81.1,81.1,30188400
2016-09-01,81.61,95.39,77.58,94.29,94.29,29681400
2016-10-01,93.72,99.48,84.02,86.97,86.97,26370700
2016-11-01,90.0,109.95,83.01,102.29,102.29,34651400
2016-12-01,102.53,107.47,98.49,100.27,100.27,25445000
2017-01-01,101.14,124.87,100.41,121.21,121.21,31159400
2017-02-01,121.12,134.97,117.18,133.1,133.1,67424200
2017-03-01,133.9,153.15,131.48,133.67,133.67,55890500
2017-04-01,135.0,144.32,122.32,124.28,124.28,38252100
2017-05-01,124.78,139.98,114.03,129.33,129.33,46935100
2017-06-01,130.0,137.3,115.2,125.91,125.91,41357500
2017-07-01,126.2,139.59,124.75,133.29,133.29,21391300
2017-08-01,132.92,140.11,118.69,137.41,137.41,26930000
2017-09-01,137.4,139.66,107.79,116.74,116.74,41402000
2017-10-01,116.83,118.32,110.85,113.25,113.25,36495000
2017-11-01,113.42,114.79,94.78,98.99,98.99,37191900
2017-12-01,98.01,99.71,92.91,94.71,94.71,27330500
2018-01-01,97.36,102.63,88.81,90.29,90.29,37743600
2018-02-01,90.52,91.28,80.85,85.16,85.16,33461900
2018-03-01,84.88,96.33,81.25,83.33,83.33,34764700
2018-04-01,82.81,84.8,61.3,61.94,61.94,86143800
2018-05-01,62.0,69.18,60.23,68.27,68.27,44036300
2018-06-01,68.53,75.15,63.51,67.0,67.0,43436600
2018-07-01,66.82,72.37,65.25,66.54,66.54,30189500
2018-08-01,65.38,74.69,61.45,73.91,73.91,37347000
2018-09-01,73.44,74.81,65.47,69.08,69.08,24291200
2018-10-01,69.47,70.58,58.33,64.82,64.82,38805600
2018-11-01,65.05,70.0,61.52,64.25,64.25,31678000
2018-12-01,65.25,68.93,57.0,63.59,63.59,28624400
2019-01-01,62.49,81.25,62.03,80.59,80.59,41593300
2019-02-01,80.83,87.83,79.41,86.23,86.23,25251000
2019-03-01,86.72,88.83,80.92,86.01,86.01,22626200
2019-04-01,87.36,87.91,72.36,75.03,75.03,26438400
2019-04-26,74.41,75.1,73.59,75.03,75.03,1139173
