Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,0.03,0.82,0.02,0.8,0.8,194401.0
2014-06-01,0.81,27.45,0.77,26.98,26.98,43365494.0
2014-07-01,27.2,27.2,25.13,25.31,25.31,14066900.0
2014-08-01,25.06,26.58,24.06,25.01,25.01,9253400.0
2014-09-01,0.78,25.51,0.01,23.35,23.35,6680086.0
2014-10-01,23.32,25.97,20.99,25.54,25.54,11051800.0
2014-11-01,25.54,26.0,23.57,25.43,25.43,7635400.0
2014-12-01,25.45,26.95,24.28,26.43,26.43,10373200.0
2015-01-01,0.01,27.2,0.01,26.25,26.25,10550386.0
2015-02-01,26.18,27.39,25.67,26.65,26.65,9524700.0
2015-03-01,26.7,27.5,25.26,26.9,26.9,8323100.0
2015-04-01,26.9,27.63,25.41,25.65,25.65,7553900.0
2015-05-01,25.79,26.85,0.01,0.01,0.01,11450814.0
2015-06-01,26.72,27.1,25.36,25.57,25.57,18572900.0
2015-07-01,25.88,27.19,25.62,26.62,26.62,7639300.0
2015-08-01,26.54,29.98,26.23,28.58,28.58,12658200.0
2015-09-01,28.34,29.75,0.01,0.01,0.01,9782800.0
2015-10-01,29.08,30.87,0.01,0.01,0.01,7616978.0
2015-11-01,30.69,30.86,28.14,29.5,29.5,11717600.0
2015-12-01,29.31,30.5,0.01,0.01,0.01,10971514.0
2016-01-01,29.9,30.3,0.01,0.01,0.01,14183850.0
2016-02-01,28.34,28.98,0.01,0.01,0.01,11001150.0
2016-03-01,27.95,35.35,0.01,0.01,0.01,37021961.0
2016-04-01,35.19,35.76,0.01,0.01,0.01,14154415.0
2016-05-01,35.0,35.43,32.96,34.37,34.37,13799100.0
2016-06-01,34.17,34.43,0.0,0.01,0.01,13160707.0
2016-07-01,32.64,36.83,31.9,35.89,35.89,74228600.0
2016-07-13,,,,,,
2016-08-01,34.73,37.5,32.9,37.32,37.32,32614100.0
2016-09-01,37.5,37.83,35.08,37.55,37.55,38005700.0
2016-10-01,37.29,37.85,35.82,36.79,36.79,35036600.0
2016-11-01,36.9,37.27,34.13,35.94,35.94,62500100.0
2016-12-01,35.88,36.15,34.2,35.41,35.41,61540300.0
2017-01-01,35.62,39.98,35.56,39.45,39.45,46483200.0
2017-02-01,39.6,40.88,38.08,39.8,39.8,43390000.0
2017-03-01,40.18,42.18,37.82,41.95,41.95,48849800.0
2017-04-01,42.04,44.0,41.43,43.4,43.4,29719800.0
2017-05-01,43.33,47.06,43.02,45.85,45.85,58230900.0
2017-06-01,46.07,47.92,44.03,44.04,44.04,147225500.0
2017-07-01,44.21,46.74,43.34,46.65,46.65,33078200.0
2017-08-01,46.75,47.23,44.98,46.84,46.84,45509900.0
2017-09-01,47.0,48.53,43.85,44.08,44.08,66544000.0
2017-10-01,44.1,44.78,42.4,42.61,42.61,46375000.0
2017-11-01,42.81,44.87,42.52,44.62,44.62,42721100.0
2017-12-01,44.81,46.1,44.39,45.15,45.15,30230500.0
2018-01-01,45.95,49.19,44.84,47.73,47.73,50990900.0
2018-02-01,47.65,47.93,43.07,47.05,47.05,36831500.0
2018-03-01,47.01,50.0,45.76,48.24,48.24,47559500.0
2018-04-01,48.14,49.77,46.59,49.13,49.13,37248100.0
2018-05-01,49.03,52.61,48.0,49.28,49.28,44092000.0
2018-06-01,49.47,53.05,49.47,51.59,51.59,49334100.0
2018-07-01,50.22,54.31,46.17,53.03,53.03,30106700.0
2018-08-01,53.01,55.15,52.63,55.0,55.0,27570700.0
2018-09-01,54.83,55.99,52.93,53.96,53.96,32142100.0
2018-10-01,54.4,54.88,48.05,52.53,52.53,43571500.0
2018-11-01,52.55,53.9,49.46,53.37,53.37,43507000.0
2018-12-01,53.95,54.46,44.52,47.97,47.97,53752600.0
2019-01-01,47.19,51.99,46.34,51.92,51.92,47678700.0
2019-02-01,51.83,53.79,51.11,53.17,53.17,32364600.0
2019-03-01,53.47,55.62,52.06,54.38,54.38,43618900.0
2019-04-01,54.73,57.69,54.03,56.57,56.57,25992500.0
2019-04-26,56.51,56.8,56.12,56.57,56.57,1233156.0
