Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,75.69,80.44,73.5,79.29,75.25,32959400.0
2014-06-01,79.39,81.99,78.35,80.53,76.43,27538700.0
2014-07-01,80.5,83.54,80.06,81.97,77.79,23718000.0
2014-07-08,,,,,,
2014-08-01,79.67,86.8,79.67,83.18,79.13,33845900.0
2014-09-01,83.35,88.79,82.0,87.65,83.38,37215200.0
2014-10-01,87.36,88.84,77.96,88.01,83.72,39254300.0
2014-10-08,,,,,,
2014-11-01,88.24,95.42,87.87,93.87,89.57,25912000.0
2014-12-01,93.25,95.84,90.45,92.19,87.97,33800400.0
2015-01-01,92.21,93.16,84.75,86.82,82.84,37163900.0
2015-01-07,,,,,,
2015-02-01,87.51,98.09,85.77,97.63,93.42,40308200.0
2015-03-01,97.56,100.88,95.01,96.96,92.78,29968600.0
2015-04-01,96.82,102.17,95.33,100.33,96.01,27351600.0
2015-04-08,,,,,,
2015-05-01,100.33,109.21,99.02,104.15,99.92,26946800.0
2015-06-01,104.77,107.95,100.76,100.77,96.68,31695800.0
2015-07-01,101.64,108.2,100.12,105.77,101.47,26729900.0
2015-07-08,,,,,,
2015-08-01,104.67,107.75,79.63,85.75,82.46,52659800.0
2015-09-01,83.35,89.77,83.1,88.75,85.35,62827700.0
2015-10-01,88.66,99.0,85.61,97.43,93.7,34483900.0
2015-10-07,,,,,,
2015-11-01,98.05,108.0,95.62,100.2,96.68,44130000.0
2015-12-01,100.94,102.58,94.68,96.5,93.11,36356500.0
2016-01-01,94.19,96.48,88.66,95.51,92.16,36567500.0
2016-01-07,,,,,,
2016-02-01,95.28,101.0,88.17,96.64,93.54,43007400.0
2016-03-01,97.67,104.51,96.39,104.01,100.67,34424900.0
2016-04-01,103.77,105.32,99.2,100.89,97.65,23874400.0
2016-04-07,,,,,,
2016-05-01,101.4,108.68,99.25,106.66,103.53,30671700.0
2016-06-01,105.85,111.79,103.03,111.61,108.34,35685800.0
2016-07-01,111.73,116.97,110.39,110.99,107.73,26609400.0
2016-07-08,,,,,,
2016-08-01,111.42,114.06,108.0,111.45,108.46,32478300.0
2016-09-01,111.28,113.11,106.34,110.01,107.06,31406000.0
2016-10-01,109.83,110.12,106.41,108.74,105.83,25716800.0
2016-10-05,,,,,,
2016-11-01,109.03,116.66,103.22,113.68,110.98,34455700.0
2016-12-01,113.79,118.66,111.48,114.61,111.89,19845000.0
2017-01-01,114.34,120.55,114.1,118.58,115.76,19303000.0
2017-01-06,,,,,,
2017-02-01,118.49,128.45,111.9,125.44,122.82,29056900.0
2017-03-01,125.89,126.67,115.3,115.99,113.57,44134600.0
2017-04-01,116.05,126.08,114.8,125.21,122.6,44457700.0
2017-04-06,,,,,,
2017-05-01,125.55,141.08,124.22,140.64,138.11,39356000.0
2017-06-01,140.55,143.81,132.35,132.81,130.42,34250100.0
2017-07-01,133.82,137.71,130.26,137.21,134.74,22467300.0
2017-07-06,,,,,,
2017-08-01,137.64,141.69,133.6,141.45,139.26,30935000.0
2017-09-01,141.83,146.72,140.07,142.14,139.94,28346600.0
2017-10-01,142.26,153.86,140.21,151.02,148.68,23759200.0
2017-10-06,,,,,,
2017-11-01,151.85,158.9,150.55,157.22,155.21,28537300.0
2017-12-01,156.14,161.44,152.58,157.78,155.76,24943000.0
2018-01-01,158.22,170.59,157.01,167.9,165.75,23176500.0
2018-01-09,,,,,,
2018-02-01,167.56,177.51,150.43,166.86,165.12,33426100.0
2018-03-01,167.4,179.3,162.59,173.35,171.54,32191000.0
2018-04-01,173.01,188.56,166.52,184.79,182.86,30001600.0
2018-04-09,,,,,,
2018-05-01,184.82,203.44,183.02,201.6,199.96,31995400.0
2018-06-01,202.28,216.63,198.03,204.31,202.65,30157200.0
2018-07-01,203.01,219.46,201.71,204.24,202.58,24646400.0
2018-07-09,,,,,,
2018-08-01,203.91,219.78,202.39,219.47,218.1,33300600.0
2018-09-01,219.94,229.86,214.71,227.4,225.98,32548200.0
2018-10-01,228.85,231.84,196.4,211.0,209.68,39088800.0
2018-10-09,,,,,,
2018-11-01,210.81,223.41,190.71,214.53,213.65,39910300.0
2018-12-01,217.72,219.85,182.61,196.85,196.04,37771600.0
2019-01-01,191.5,217.4,188.21,215.82,214.93,30602200.0
2019-01-09,,,,,,
2019-02-01,215.74,251.57,212.67,247.13,246.68,32304100.0
2019-03-01,250.0,261.63,240.01,261.41,260.94,29614300.0
2019-04-01,264.52,272.14,238.3,253.58,253.12,31523500.0
2019-04-09,,,,,,
2019-04-26,246.42,253.86,238.29,253.58,253.58,5424309.0
