Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,145.25,145.6,144.28,144.31,144.31,984900
2019-04-02,144.24,144.97,143.84,144.3,144.3,771600
2019-04-03,145.26,145.72,144.04,144.4,144.4,1865000
2019-04-04,144.84,144.84,140.88,142.23,142.23,1738000
2019-04-05,142.75,144.66,142.21,144.26,144.26,1398900
2019-04-08,144.33,144.33,141.89,144.04,144.04,757400
2019-04-09,143.76,145.22,143.49,144.29,144.29,973300
2019-04-10,144.87,146.1,144.39,144.81,144.81,1256100
2019-04-11,144.85,144.85,142.74,143.18,143.18,909400
2019-04-12,143.9,144.65,142.35,142.52,142.52,814300
2019-04-15,142.5,143.15,140.54,141.08,141.08,966500
2019-04-16,142.4,142.48,135.7,136.29,136.29,1243000
2019-04-17,137.36,137.36,131.34,132.31,132.31,2170300
2019-04-18,132.4,134.65,131.03,133.01,133.01,1190700
2019-04-22,132.86,134.59,132.21,134.37,134.37,1144800
2019-04-23,133.92,138.1,132.82,137.02,137.02,1195200
2019-04-24,137.0,137.85,134.6,135.79,135.79,1240800
2019-04-25,135.8,137.95,134.99,137.36,137.36,1200600
