Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,109.0,110.35,108.99,110.18,110.18,1428600
2019-04-02,110.45,111.0,109.52,110.26,110.26,883800
2019-04-03,110.84,111.38,110.27,110.7,110.7,1413400
2019-04-04,111.74,112.57,111.27,112.34,112.34,1831800
2019-04-05,112.65,113.45,112.04,112.6,112.6,1124000
2019-04-08,112.0,112.54,111.89,112.53,112.53,1187600
2019-04-09,112.28,112.31,111.16,111.22,111.22,1312700
2019-04-10,111.45,111.45,110.01,110.99,110.99,1330900
2019-04-11,111.19,112.75,110.64,112.68,112.68,1331900
2019-04-12,113.46,114.5,113.46,114.41,114.41,1551900
2019-04-15,114.22,114.55,113.62,113.98,113.98,1039000
2019-04-16,114.32,114.41,113.53,113.77,113.77,1181700
2019-04-17,114.25,114.35,112.78,112.83,112.83,1361700
2019-04-18,112.83,113.42,112.33,112.79,112.79,2007300
2019-04-22,112.52,113.11,111.73,112.87,112.87,795000
2019-04-23,112.75,113.76,112.54,113.4,113.4,1303100
2019-04-24,113.48,114.26,112.59,113.29,113.29,1245600
2019-04-25,112.34,112.87,111.57,111.85,111.85,1079700
