Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,26.28,28.79,24.68,28.78,20.64,41169400.0
2014-06-01,28.78,33.27,27.38,32.76,23.5,55921000.0
2014-06-23,,,,,,
2014-07-01,32.73,32.88,30.95,30.97,22.43,36055000.0
2014-08-01,31.02,33.58,30.13,33.25,24.09,27196900.0
2014-09-01,33.3,34.31,31.17,32.65,23.65,51553500.0
2014-09-23,,,,,,
2014-09-26,,,,,,
2014-10-01,32.56,36.33,31.11,36.07,27.07,46374900.0
2014-11-01,36.05,38.5,35.88,38.01,28.52,58102000.0
2014-11-25,,,,,,
2014-12-01,37.88,40.41,36.43,38.66,29.21,41795100.0
2014-12-03,,,,,,
2015-01-01,38.95,41.12,38.59,39.84,30.47,28512500.0
2015-02-01,39.85,41.53,35.84,36.75,28.11,26805000.0
2015-03-01,36.67,38.91,35.6,36.48,27.9,35042300.0
2015-03-04,,,,,,
2015-04-01,36.5,38.49,34.29,34.49,26.72,34440500.0
2015-05-01,34.5,37.73,33.88,36.47,28.25,32918800.0
2015-06-01,36.49,37.02,30.95,31.0,24.01,47477900.0
2015-06-10,,,,,,
2015-07-01,30.95,32.25,28.34,30.05,23.63,32217400.0
2015-08-01,30.09,30.62,26.49,28.34,22.29,34137500.0
2015-09-01,27.72,31.07,27.39,31.02,24.39,33250000.0
2015-09-09,,,,,,
2015-10-01,31.07,32.35,29.9,30.64,24.5,45617400.0
2015-11-01,30.66,32.24,27.73,27.78,22.22,26043600.0
2015-11-27,,,,,,
2015-12-01,27.97,28.34,25.99,27.01,21.98,28818100.0
2016-01-01,26.8,27.65,23.64,27.54,22.41,24863200.0
2016-02-01,27.24,30.0,26.08,29.38,23.9,29215900.0
2016-03-01,29.52,34.15,29.16,33.91,27.59,27667800.0
2016-03-03,,,,,,
2016-04-01,33.26,36.62,32.12,36.53,30.21,51339000.0
2016-05-01,37.36,38.64,35.71,36.74,30.38,68571400.0
2016-06-01,36.55,39.84,36.1,39.83,32.94,44566500.0
2016-06-02,,,,,,
2016-07-01,39.92,41.44,39.23,41.21,34.54,31357300.0
2016-08-01,41.23,41.5,36.38,38.41,32.19,42371600.0
2016-09-01,38.48,39.75,35.42,37.53,31.45,36134400.0
2016-09-08,,,,,,
2016-10-01,37.51,37.51,32.55,33.73,28.62,32979500.0
2016-11-01,33.29,34.65,30.75,33.0,28.0,35928100.0
2016-12-01,32.99,35.08,31.39,32.48,27.56,34133900.0
2016-12-13,,,,,,
2017-01-01,32.81,36.28,32.27,35.8,30.87,27516000.0
2017-02-01,35.79,37.75,35.3,36.35,31.35,28383900.0
2017-03-01,36.49,36.58,33.43,35.67,30.76,30569000.0
2017-03-13,,,,,,
2017-04-01,35.55,36.7,34.57,34.76,30.46,22146100.0
2017-05-01,34.95,35.69,34.3,34.92,30.6,24119200.0
2017-06-01,34.99,35.69,32.53,34.36,30.11,27845200.0
2017-06-13,,,,,,
2017-07-01,34.65,36.72,32.92,36.43,32.45,19229200.0
2017-08-01,36.37,39.74,36.37,39.42,35.11,27785500.0
2017-09-01,39.44,40.64,37.96,38.9,34.65,26705500.0
2017-09-14,,,,,,
2017-10-01,38.83,41.17,37.51,40.0,36.13,26482500.0
2017-11-01,40.18,41.53,39.56,40.87,36.91,23384500.0
2017-12-01,40.89,41.13,36.93,37.73,34.08,48557900.0
2017-12-14,,,,,,
2018-01-01,37.8,37.94,33.57,35.03,32.13,40297100.0
2018-02-01,34.94,35.25,30.95,31.46,28.86,45249200.0
2018-03-01,31.36,33.38,30.78,32.86,30.14,42294900.0
2018-03-14,,,,,,
2018-04-01,32.87,34.77,32.15,33.94,31.69,30489500.0
2018-05-01,33.97,34.72,31.87,33.29,31.09,30679900.0
2018-06-01,33.35,35.37,33.06,35.01,32.69,37313900.0
2018-06-14,,,,,,
2018-07-01,34.9,36.95,33.01,35.11,33.35,42790300.0
2018-08-01,34.85,36.8,34.0,36.1,34.29,30344400.0
2018-09-01,36.12,36.79,33.88,34.52,32.79,30437200.0
2018-09-14,,,,,,
2018-10-01,34.62,34.92,30.22,30.61,29.55,55247000.0
2018-11-01,30.73,34.1,30.5,33.97,32.8,35595900.0
2018-12-01,34.14,35.18,30.56,32.41,31.29,41470100.0
2018-12-14,,,,,,
2019-01-01,32.0,37.23,31.58,37.2,36.56,35788000.0
2019-02-01,37.25,37.32,34.62,35.42,34.81,49674000.0
2019-03-01,35.5,36.0,34.09,35.46,34.85,46756100.0
2019-03-14,,,,,,
2019-04-01,35.47,36.65,31.96,32.44,32.44,43511900.0
2019-04-26,32.71,32.71,31.96,32.44,32.44,6210950.0
