Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,19.57,19.98,19.5,19.97,19.97,4423400
2019-04-02,19.92,20.05,19.76,19.85,19.85,3475100
2019-04-03,20.1,20.19,19.91,20.12,20.12,3422100
2019-04-04,20.16,20.42,20.11,20.19,20.19,4014300
2019-04-05,20.28,20.5,20.14,20.49,20.49,7393400
2019-04-08,20.48,20.66,20.38,20.52,20.52,4740000
2019-04-09,20.46,20.52,20.25,20.3,20.3,2837800
2019-04-10,20.49,20.83,20.33,20.79,20.79,3894800
2019-04-11,20.91,21.16,20.79,20.85,20.85,3980800
2019-04-12,21.25,21.4,21.02,21.32,21.32,3475900
2019-04-15,21.28,21.43,21.0,21.07,21.07,4368400
2019-04-16,21.2,21.53,21.12,21.53,21.53,3629200
2019-04-17,21.51,21.7,21.41,21.66,21.66,2919100
2019-04-18,21.56,21.66,21.34,21.53,21.53,2559400
2019-04-22,21.47,21.55,21.35,21.38,21.38,2792500
2019-04-23,21.42,21.81,21.38,21.62,21.62,4013500
2019-04-24,21.52,21.65,21.4,21.54,21.54,4662100
2019-04-25,21.77,22.18,21.35,21.94,21.94,5892900
